tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_temp	analysts	description	software_packages	magn_moment
cb02c_LP-AN-TRM-106	cb02c	cb02c_LP-AN-TRM	1.0	268.5	-79.5	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	105	u	2.730e+02			pmagpy-4.2.92	 2.468e-10
cb02c_LP-AN-TRM-107	cb02c	cb02c_LP-AN-TRM	0.3	359.0	-2.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	106	u	2.730e+02			pmagpy-4.2.92	 8.931e-09
cb02c_LP-AN-TRM-108	cb02c	cb02c_LP-AN-TRM	0.6	89.1	0.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	107	u	2.730e+02			pmagpy-4.2.92	 8.130e-09
cb02c_LP-AN-TRM-109	cb02c	cb02c_LP-AN-TRM	0.2	106.8	85.5	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	108	u	2.730e+02			pmagpy-4.2.92	 8.666e-09
cb02c_LP-AN-TRM-110	cb02c	cb02c_LP-AN-TRM	0.3	179.2	-2.8	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	109	u	2.730e+02			pmagpy-4.2.92	 8.820e-09
cb02c_LP-AN-TRM-111	cb02c	cb02c_LP-AN-TRM	0.6	271.7	-6.1	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	110	u	2.730e+02			pmagpy-4.2.92	 8.268e-09
cb02c_LP-AN-TRM-112	cb02c	cb02c_LP-AN-TRM	0.2	281.0	-85.3	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	111	u	2.730e+02			pmagpy-4.2.92	 9.146e-09
cb05a_LP-AN-TRM-113	cb05a	cb05a_LP-AN-TRM	0.2	234.6	-81.6	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	112	u	2.730e+02			pmagpy-4.2.92	 6.172e-10
cb05a_LP-AN-TRM-114	cb05a	cb05a_LP-AN-TRM	0.3	5.1	-2.3	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	113	u	2.730e+02			pmagpy-4.2.92	 1.713e-08
cb05a_LP-AN-TRM-115	cb05a	cb05a_LP-AN-TRM	0.5	85.1	-3.9	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	114	u	2.730e+02			pmagpy-4.2.92	 1.685e-08
cb05a_LP-AN-TRM-116	cb05a	cb05a_LP-AN-TRM	0.2	51.4	87.7	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	115	u	2.730e+02			pmagpy-4.2.92	 1.620e-08
cb05a_LP-AN-TRM-117	cb05a	cb05a_LP-AN-TRM	0.3	179.3	-3.7	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	116	u	2.730e+02			pmagpy-4.2.92	 1.685e-08
cb05a_LP-AN-TRM-118	cb05a	cb05a_LP-AN-TRM	0.6	263.3	-2.2	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	117	u	2.730e+02			pmagpy-4.2.92	 1.717e-08
cb05a_LP-AN-TRM-119	cb05a	cb05a_LP-AN-TRM	0.2	331.4	-88.9	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	118	u	2.730e+02			pmagpy-4.2.92	 1.738e-08
cb05b_LP-AN-TRM-120	cb05b	cb05b_LP-AN-TRM	0.3	179.6	-84.7	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	119	u	2.730e+02			pmagpy-4.2.92	 2.609e-09
cb05b_LP-AN-TRM-121	cb05b	cb05b_LP-AN-TRM	0.3	358.8	-1.9	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	120	u	2.730e+02			pmagpy-4.2.92	 6.023e-08
cb05b_LP-AN-TRM-122	cb05b	cb05b_LP-AN-TRM	0.3	88.1	-1.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	121	u	2.730e+02			pmagpy-4.2.92	 5.705e-08
cb05b_LP-AN-TRM-123	cb05b	cb05b_LP-AN-TRM	0.2	72.7	84.8	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	122	u	2.730e+02			pmagpy-4.2.92	 4.895e-08
cb05b_LP-AN-TRM-124	cb05b	cb05b_LP-AN-TRM	0.3	176.7	-4.1	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	123	u	2.730e+02			pmagpy-4.2.92	 5.879e-08
cb05b_LP-AN-TRM-125	cb05b	cb05b_LP-AN-TRM	0.6	271.4	-5.5	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	124	u	2.730e+02			pmagpy-4.2.92	 5.611e-08
cb05b_LP-AN-TRM-126	cb05b	cb05b_LP-AN-TRM	0.2	248.0	-87.1	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	125	u	2.730e+02			pmagpy-4.2.92	 5.310e-08
cb06a_LP-AN-TRM-127	cb06a	cb06a_LP-AN-TRM	0.5	190.4	-73.2	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	126	u	2.730e+02			pmagpy-4.2.92	 2.715e-09
cb06a_LP-AN-TRM-128	cb06a	cb06a_LP-AN-TRM	0.3	359.2	-2.2	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	127	u	2.730e+02			pmagpy-4.2.92	 1.189e-07
cb06a_LP-AN-TRM-129	cb06a	cb06a_LP-AN-TRM	1.1	84.5	-4.3	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	128	u	2.730e+02			pmagpy-4.2.92	 1.121e-07
cb06a_LP-AN-TRM-130	cb06a	cb06a_LP-AN-TRM	0.2	285.1	88.4	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	129	u	2.730e+02			pmagpy-4.2.92	 9.639e-08
cb06a_LP-AN-TRM-131	cb06a	cb06a_LP-AN-TRM	0.3	179.5	-2.0	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	130	u	2.730e+02			pmagpy-4.2.92	 1.176e-07
cb06a_LP-AN-TRM-132	cb06a	cb06a_LP-AN-TRM	0.6	266.0	-0.2	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	131	u	2.730e+02			pmagpy-4.2.92	 1.099e-07
cb06a_LP-AN-TRM-133	cb06a	cb06a_LP-AN-TRM	0.2	56.4	-88.3	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	132	u	2.730e+02			pmagpy-4.2.92	 1.016e-07
cb06b_LP-AN-TRM-134	cb06b	cb06b_LP-AN-TRM	0.2	208.5	-82.4	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	133	u	2.730e+02			pmagpy-4.2.92	 3.227e-09
cb06b_LP-AN-TRM-135	cb06b	cb06b_LP-AN-TRM	0.3	3.7	-6.3	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	134	u	2.730e+02			pmagpy-4.2.92	 3.986e-08
cb06b_LP-AN-TRM-136	cb06b	cb06b_LP-AN-TRM	0.4	84.8	-5.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	135	u	2.730e+02			pmagpy-4.2.92	 3.548e-08
cb06b_LP-AN-TRM-137	cb06b	cb06b_LP-AN-TRM	0.2	127.0	88.2	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	136	u	2.730e+02			pmagpy-4.2.92	 3.685e-08
cb06b_LP-AN-TRM-138	cb06b	cb06b_LP-AN-TRM	0.3	183.7	-5.0	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	137	u	2.730e+02			pmagpy-4.2.92	 3.988e-08
cb06b_LP-AN-TRM-139	cb06b	cb06b_LP-AN-TRM	0.5	263.5	-7.1	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	138	u	2.730e+02			pmagpy-4.2.92	 3.590e-08
cb06b_LP-AN-TRM-140	cb06b	cb06b_LP-AN-TRM	0.2	264.2	-87.8	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	139	u	2.730e+02			pmagpy-4.2.92	 4.350e-08
cb09a_LP-AN-TRM-141	cb09a	cb09a_LP-AN-TRM	0.4	238.3	-64.2	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	140	u	2.730e+02			pmagpy-4.2.92	 1.603e-09
cb09a_LP-AN-TRM-142	cb09a	cb09a_LP-AN-TRM	0.3	357.0	-4.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	141	u	2.730e+02			pmagpy-4.2.92	 1.737e-08
cb09a_LP-AN-TRM-143	cb09a	cb09a_LP-AN-TRM	0.5	88.4	-4.0	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	142	u	2.730e+02			pmagpy-4.2.92	 1.649e-08
cb09a_LP-AN-TRM-144	cb09a	cb09a_LP-AN-TRM	0.2	59.6	88.5	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	143	u	2.730e+02			pmagpy-4.2.92	 1.388e-08
cb09a_LP-AN-TRM-145	cb09a	cb09a_LP-AN-TRM	0.3	178.3	-6.3	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	144	u	2.730e+02			pmagpy-4.2.92	 1.766e-08
cb09a_LP-AN-TRM-146	cb09a	cb09a_LP-AN-TRM	0.6	267.5	-7.3	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	145	u	2.730e+02			pmagpy-4.2.92	 1.757e-08
cb09a_LP-AN-TRM-147	cb09a	cb09a_LP-AN-TRM	0.2	256.1	-84.5	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	146	u	2.730e+02			pmagpy-4.2.92	 1.671e-08
cb09b_LP-AN-TRM-148	cb09b	cb09b_LP-AN-TRM	0.2	127.3	-85.5	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	147	u	2.730e+02			pmagpy-4.2.92	 4.520e-09
cb09b_LP-AN-TRM-149	cb09b	cb09b_LP-AN-TRM	0.3	1.7	-9.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	148	u	2.730e+02			pmagpy-4.2.92	 4.934e-08
cb09b_LP-AN-TRM-150	cb09b	cb09b_LP-AN-TRM	0.6	90.6	-7.8	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	149	u	2.730e+02			pmagpy-4.2.92	 5.524e-08
cb09b_LP-AN-TRM-151	cb09b	cb09b_LP-AN-TRM	0.2	205.5	87.1	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	150	u	2.730e+02			pmagpy-4.2.92	 5.056e-08
cb09b_LP-AN-TRM-152	cb09b	cb09b_LP-AN-TRM	0.3	181.8	-3.5	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	151	u	2.730e+02			pmagpy-4.2.92	 4.796e-08
cb09b_LP-AN-TRM-153	cb09b	cb09b_LP-AN-TRM	0.6	269.1	-3.7	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	152	u	2.730e+02			pmagpy-4.2.92	 5.372e-08
cb09b_LP-AN-TRM-154	cb09b	cb09b_LP-AN-TRM	0.2	18.2	-87.2	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	153	u	2.730e+02			pmagpy-4.2.92	 5.922e-08
cb09w_LP-AN-TRM-155	cb09w	cb09w_LP-AN-TRM	0.3	152.6	-86.0	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	154	u	2.730e+02			pmagpy-4.2.92	 3.566e-09
cb09w_LP-AN-TRM-156	cb09w	cb09w_LP-AN-TRM	0.3	357.4	-8.2	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	155	u	2.730e+02			pmagpy-4.2.92	 3.319e-08
cb09w_LP-AN-TRM-157	cb09w	cb09w_LP-AN-TRM	0.5	91.4	-7.7	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	156	u	2.730e+02			pmagpy-4.2.92	 3.429e-08
cb09w_LP-AN-TRM-158	cb09w	cb09w_LP-AN-TRM	0.2	96.4	87.6	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	157	u	2.730e+02			pmagpy-4.2.92	 3.165e-08
cb09w_LP-AN-TRM-159	cb09w	cb09w_LP-AN-TRM	0.4	177.2	-6.2	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	158	u	2.730e+02			pmagpy-4.2.92	 3.288e-08
cb09w_LP-AN-TRM-160	cb09w	cb09w_LP-AN-TRM	0.5	272.9	-6.4	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	159	u	2.730e+02			pmagpy-4.2.92	 3.366e-08
cb09w_LP-AN-TRM-161	cb09w	cb09w_LP-AN-TRM	0.2	4.8	-88.5	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	160	u	2.730e+02			pmagpy-4.2.92	 3.868e-08
cb09x_LP-AN-TRM-162	cb09x	cb09x_LP-AN-TRM	0.5	175.1	-70.9	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	161	u	2.730e+02			pmagpy-4.2.92	 3.639e-09
cb09x_LP-AN-TRM-163	cb09x	cb09x_LP-AN-TRM	0.4	3.1	-4.2	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	162	u	2.730e+02			pmagpy-4.2.92	 3.785e-08
cb09x_LP-AN-TRM-164	cb09x	cb09x_LP-AN-TRM	0.5	85.8	-8.4	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	163	u	2.730e+02			pmagpy-4.2.92	 3.854e-08
cb09x_LP-AN-TRM-165	cb09x	cb09x_LP-AN-TRM	0.2	229.3	87.9	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	164	u	2.730e+02			pmagpy-4.2.92	 3.159e-08
cb09x_LP-AN-TRM-166	cb09x	cb09x_LP-AN-TRM	0.3	177.4	-7.9	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	165	u	2.730e+02			pmagpy-4.2.92	 3.948e-08
cb09x_LP-AN-TRM-167	cb09x	cb09x_LP-AN-TRM	0.6	265.9	-3.9	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	166	u	2.730e+02			pmagpy-4.2.92	 3.753e-08
cb09x_LP-AN-TRM-168	cb09x	cb09x_LP-AN-TRM	0.2	133.9	-85.7	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	167	u	2.730e+02			pmagpy-4.2.92	 3.843e-08
cb11a_LP-AN-TRM-169	cb11a	cb11a_LP-AN-TRM	0.2	112.8	-85.7	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	168	u	2.730e+02			pmagpy-4.2.92	 1.810e-09
cb11a_LP-AN-TRM-170	cb11a	cb11a_LP-AN-TRM	0.3	2.0	-7.7	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	169	u	2.730e+02			pmagpy-4.2.92	 1.491e-08
cb11a_LP-AN-TRM-171	cb11a	cb11a_LP-AN-TRM	0.5	88.5	-12.9	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	170	u	2.730e+02			pmagpy-4.2.92	 1.216e-08
cb11a_LP-AN-TRM-172	cb11a	cb11a_LP-AN-TRM	0.2	327.4	88.6	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	171	u	2.730e+02			pmagpy-4.2.92	 1.181e-08
cb11a_LP-AN-TRM-173	cb11a	cb11a_LP-AN-TRM	0.3	178.8	-7.4	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	172	u	2.730e+02			pmagpy-4.2.92	 1.437e-08
cb11a_LP-AN-TRM-174	cb11a	cb11a_LP-AN-TRM	0.6	265.3	-6.1	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	173	u	2.730e+02			pmagpy-4.2.92	 1.145e-08
cb11a_LP-AN-TRM-175	cb11a	cb11a_LP-AN-TRM	0.2	78.3	-88.2	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	174	u	2.730e+02			pmagpy-4.2.92	 1.533e-08
cb11b_LP-AN-TRM-176	cb11b	cb11b_LP-AN-TRM	0.2	108.2	-79.8	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	175	u	2.730e+02			pmagpy-4.2.92	 3.813e-09
cb11b_LP-AN-TRM-177	cb11b	cb11b_LP-AN-TRM	0.3	5.0	-16.2	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	176	u	2.730e+02			pmagpy-4.2.92	 1.557e-08
cb11b_LP-AN-TRM-178	cb11b	cb11b_LP-AN-TRM	0.5	85.3	-16.9	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	177	u	2.730e+02			pmagpy-4.2.92	 1.969e-08
cb11b_LP-AN-TRM-179	cb11b	cb11b_LP-AN-TRM	0.2	170.3	87.8	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	178	u	2.730e+02			pmagpy-4.2.92	 1.374e-08
cb11b_LP-AN-TRM-180	cb11b	cb11b_LP-AN-TRM	0.3	175.8	-13.4	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	179	u	2.730e+02			pmagpy-4.2.92	 1.518e-08
cb11b_LP-AN-TRM-181	cb11b	cb11b_LP-AN-TRM	0.6	267.5	-6.9	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	180	u	2.730e+02			pmagpy-4.2.92	 1.719e-08
cb11b_LP-AN-TRM-182	cb11b	cb11b_LP-AN-TRM	0.2	78.3	-85.6	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	181	u	2.730e+02			pmagpy-4.2.92	 2.102e-08
cb12a_LP-AN-TRM-183	cb12a	cb12a_LP-AN-TRM	0.5	143.9	-77.7	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	182	u	2.730e+02			pmagpy-4.2.92	 6.220e-10
cb12a_LP-AN-TRM-184	cb12a	cb12a_LP-AN-TRM	0.3	358.3	0.1	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	183	u	2.730e+02			pmagpy-4.2.92	 2.797e-08
cb12a_LP-AN-TRM-185	cb12a	cb12a_LP-AN-TRM	0.4	91.9	-4.1	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	184	u	2.730e+02			pmagpy-4.2.92	 2.738e-08
cb12a_LP-AN-TRM-186	cb12a	cb12a_LP-AN-TRM	0.2	75.3	89.5	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	185	u	2.730e+02			pmagpy-4.2.92	 2.341e-08
cb12a_LP-AN-TRM-187	cb12a	cb12a_LP-AN-TRM	0.3	178.4	-3.6	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	186	u	2.730e+02			pmagpy-4.2.92	 2.807e-08
cb12a_LP-AN-TRM-188	cb12a	cb12a_LP-AN-TRM	0.5	271.1	0.0	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	187	u	2.730e+02			pmagpy-4.2.92	 2.711e-08
cb12a_LP-AN-TRM-189	cb12a	cb12a_LP-AN-TRM	0.2	110.6	-86.3	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	188	u	2.730e+02			pmagpy-4.2.92	 2.480e-08
cb12b_LP-AN-TRM-190	cb12b	cb12b_LP-AN-TRM	1.9	12.4	-60.8	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	189	u	2.730e+02			pmagpy-4.2.92	 1.150e-10
cb12b_LP-AN-TRM-191	cb12b	cb12b_LP-AN-TRM	0.5	1.8	-1.3	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	190	u	2.730e+02			pmagpy-4.2.92	 1.534e-08
cb12b_LP-AN-TRM-192	cb12b	cb12b_LP-AN-TRM	0.5	87.5	-2.3	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	191	u	2.730e+02			pmagpy-4.2.92	 1.636e-08
cb12b_LP-AN-TRM-193	cb12b	cb12b_LP-AN-TRM	0.2	150.0	88.6	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	192	u	2.730e+02			pmagpy-4.2.92	 1.627e-08
cb12b_LP-AN-TRM-194	cb12b	cb12b_LP-AN-TRM	0.3	178.4	-1.2	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	193	u	2.730e+02			pmagpy-4.2.92	 1.494e-08
cb12b_LP-AN-TRM-195	cb12b	cb12b_LP-AN-TRM	0.5	266.5	-0.3	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	194	u	2.730e+02			pmagpy-4.2.92	 1.609e-08
cb12b_LP-AN-TRM-196	cb12b	cb12b_LP-AN-TRM	0.2	75.2	-87.6	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	195	u	2.730e+02			pmagpy-4.2.92	 1.657e-08
cb12w_LP-AN-TRM-197	cb12w	cb12w_LP-AN-TRM	0.3	255.7	-83.1	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	196	u	2.730e+02			pmagpy-4.2.92	 8.296e-10
cb12w_LP-AN-TRM-198	cb12w	cb12w_LP-AN-TRM	0.7	0.7	-3.7	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	197	u	2.730e+02			pmagpy-4.2.92	 2.787e-08
cb12w_LP-AN-TRM-199	cb12w	cb12w_LP-AN-TRM	0.4	82.7	-2.1	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	198	u	2.730e+02			pmagpy-4.2.92	 2.526e-08
cb12w_LP-AN-TRM-200	cb12w	cb12w_LP-AN-TRM	0.2	108.7	85.4	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	199	u	2.730e+02			pmagpy-4.2.92	 2.642e-08
cb12w_LP-AN-TRM-201	cb12w	cb12w_LP-AN-TRM	0.3	182.9	-0.9	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	200	u	2.730e+02			pmagpy-4.2.92	 2.768e-08
cb12w_LP-AN-TRM-202	cb12w	cb12w_LP-AN-TRM	0.6	269.1	-3.4	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	201	u	2.730e+02			pmagpy-4.2.92	 2.502e-08
cb12w_LP-AN-TRM-203	cb12w	cb12w_LP-AN-TRM	0.2	318.9	-87.9	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	202	u	2.730e+02			pmagpy-4.2.92	 2.799e-08
cb12x_LP-AN-TRM-204	cb12x	cb12x_LP-AN-TRM	0.4	154.6	-83.0	0	0.000e+00	0	0	0	7.930e+02	This study		LT-T-Z:LP-AN-TRM	g	203	u	2.730e+02			pmagpy-4.2.92	 8.231e-10
cb12x_LP-AN-TRM-205	cb12x	cb12x_LP-AN-TRM	0.3	6.6	-3.6	0	4.000e-05	    0.0	    0.0	1	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	204	u	2.730e+02			pmagpy-4.2.92	 3.297e-08
cb12x_LP-AN-TRM-206	cb12x	cb12x_LP-AN-TRM	0.7	81.7	-5.0	0	4.000e-05	   90.0	    0.0	2	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	205	u	2.730e+02			pmagpy-4.2.92	 2.820e-08
cb12x_LP-AN-TRM-207	cb12x	cb12x_LP-AN-TRM	0.2	224.5	88.7	0	4.000e-05	    0.0	   90.0	3	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	206	u	2.730e+02			pmagpy-4.2.92	 3.318e-08
cb12x_LP-AN-TRM-208	cb12x	cb12x_LP-AN-TRM	0.3	176.8	-1.2	0	4.000e-05	  180.0	    0.0	4	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	207	u	2.730e+02			pmagpy-4.2.92	 3.258e-08
cb12x_LP-AN-TRM-209	cb12x	cb12x_LP-AN-TRM	0.5	265.0	0.3	0	4.000e-05	  270.0	    0.0	5	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	208	u	2.730e+02			pmagpy-4.2.92	 2.764e-08
cb12x_LP-AN-TRM-210	cb12x	cb12x_LP-AN-TRM	0.2	82.1	-87.5	0	4.000e-05	    0.0	  -90.0	6	7.930e+02	This study		LT-T-I:LP-AN-TRM	g	209	u	2.730e+02			pmagpy-4.2.92	 3.465e-08
