tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PI47-3a_LP-DIR-T28	PI47-3a_LP-DIR-T	PI47-3a	   17.4	238.4	 52.2 	0	0	0.00	0.00	28	  850.0	This study	hargrave 2015-11-01 08:50:25	LT-T-Z:LP-DIR-T	g	84	u	8	273			pmagpy-4.2.19	8.58e-10	1.18e-10	2.32e-10	7.00e-11
PI47-3a_LP-DIR-T29	PI47-3a_LP-DIR-T	PI47-3a	    6.4	253.6	 54.2 	0	0	0.00	0.00	29	  850.0	This study	hargrave 2015-11-03 10:31:41	LT-T-Z:LP-DIR-T	g	85	u	8	273			pmagpy-4.2.19	1.09e-09	5.35e-11	8.56e-11	6.85e-11
PI47-3a_LP-DIR-T30	PI47-3a_LP-DIR-T	PI47-3a	   28.5	242.9	 46.4 	0	0	0.00	0.00	30	  852.0	This study	hargrave 2015-11-05 12:09:43	LT-T-Z:LP-DIR-T	g	86	u	8	273			pmagpy-4.2.19	2.86e-10	1.52e-11	1.36e-10	7.75e-11
PI47-3a_LP-DIR-T31	PI47-3a_LP-DIR-T	PI47-3a	   25.5	243.4	 41.2 	0	0	0.00	0.00	31	  852.0	This study	hargrave 2015-11-05 13:19:54	LT-T-Z:LP-DIR-T	g	87	u	8	273			pmagpy-4.2.19	2.42e-10	1.58e-11	1.07e-10	5.27e-11
PI47-4a_LP-DIR-T0	PI47-4a_LP-DIR-T	PI47-4a	    2.2	299.0	 68.9 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:24:44	LT-NO:LP-DIR-T	g	88	u	8	273			pmagpy-4.2.19	7.87e-08	8.34e-10	2.81e-09	6.32e-10
PI47-4a_LP-DIR-T1	PI47-4a_LP-DIR-T	PI47-4a	    2.0	297.0	 69.2 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:34:22	LT-T-Z:LP-DIR-T	g	89	u	8	273			pmagpy-4.2.19	7.81e-08	1.00e-09	2.54e-09	6.13e-10
PI47-4a_LP-DIR-T2	PI47-4a_LP-DIR-T	PI47-4a	    2.2	294.4	 69.4 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:17:47	LT-T-Z:LP-DIR-T	g	90	u	8	273			pmagpy-4.2.19	7.76e-08	1.15e-09	2.64e-09	7.69e-10
PI47-4a_LP-DIR-T3	PI47-4a_LP-DIR-T	PI47-4a	    2.8	297.9	 69.3 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:51:45	LT-T-Z:LP-DIR-T	g	91	u	8	273			pmagpy-4.2.19	7.52e-08	8.46e-10	3.41e-09	1.07e-09
PI47-4a_LP-DIR-T4	PI47-4a_LP-DIR-T	PI47-4a	    2.8	305.3	 66.5 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:45:43	LT-T-Z:LP-DIR-T	g	92	u	8	273			pmagpy-4.2.19	7.03e-08	2.95e-09	1.37e-09	1.33e-09
PI47-4a_LP-DIR-T5	PI47-4a_LP-DIR-T	PI47-4a	    2.4	312.3	 64.0 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:28:47	LT-T-Z:LP-DIR-T	g	93	u	8	273			pmagpy-4.2.19	6.28e-08	1.30e-09	1.90e-09	1.27e-09
PI47-4a_LP-DIR-T6	PI47-4a_LP-DIR-T	PI47-4a	    2.8	324.0	 60.4 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:52:10	LT-T-Z:LP-DIR-T	g	94	u	8	273			pmagpy-4.2.19	5.69e-08	1.75e-09	1.75e-09	1.31e-09
PI47-4a_LP-DIR-T7	PI47-4a_LP-DIR-T	PI47-4a	    2.5	318.5	 59.8 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:50:25	LT-T-Z:LP-DIR-T	g	95	u	8	273			pmagpy-4.2.19	5.46e-08	1.35e-09	1.58e-09	1.11e-09
PI47-4a_LP-DIR-T8	PI47-4a_LP-DIR-T	PI47-4a	    3.6	321.8	 60.2 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:41:36	LT-T-Z:LP-DIR-T	g	96	u	8	273			pmagpy-4.2.19	5.18e-08	1.38e-09	2.54e-09	1.43e-09
PI47-4a_LP-DIR-T9	PI47-4a_LP-DIR-T	PI47-4a	    2.5	317.9	 59.7 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:00:21	LT-T-Z:LP-DIR-T	g	97	u	8	273			pmagpy-4.2.19	5.07e-08	1.50e-09	1.15e-09	1.22e-09
PI47-4a_LP-DIR-T10	PI47-4a_LP-DIR-T	PI47-4a	    3.1	320.4	 59.4 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:52:32	LT-T-Z:LP-DIR-T	g	98	u	8	273			pmagpy-4.2.19	4.82e-08	5.26e-10	2.25e-09	1.19e-09
PI47-4a_LP-DIR-T11	PI47-4a_LP-DIR-T	PI47-4a	    2.5	321.0	 59.1 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:27:43	LT-T-Z:LP-DIR-T	g	99	u	8	273			pmagpy-4.2.19	4.49e-08	1.14e-09	1.11e-09	1.12e-09
PI47-4a_LP-DIR-T12	PI47-4a_LP-DIR-T	PI47-4a	    2.6	326.1	 59.2 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:02:48	LT-T-Z:LP-DIR-T	g	100	u	8	273			pmagpy-4.2.19	4.17e-08	9.59e-10	1.41e-09	9.02e-10
PI47-4a_LP-DIR-T13	PI47-4a_LP-DIR-T	PI47-4a	    2.4	325.8	 58.6 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:48:43	LT-T-Z:LP-DIR-T	g	101	u	8	273			pmagpy-4.2.19	3.70e-08	8.57e-10	1.01e-09	7.89e-10
PI47-4a_LP-DIR-T14	PI47-4a_LP-DIR-T	PI47-4a	    3.2	321.9	 57.5 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:23:49	LT-T-Z:LP-DIR-T	g	102	u	8	273			pmagpy-4.2.19	3.23e-08	1.11e-09	1.06e-09	9.49e-10
PI47-4a_LP-DIR-T15	PI47-4a_LP-DIR-T	PI47-4a	    3.0	319.3	 58.4 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:26:39	LT-T-Z:LP-DIR-T	g	103	u	8	273			pmagpy-4.2.19	2.83e-08	8.88e-10	8.92e-10	8.04e-10
PI47-4a_LP-DIR-T16	PI47-4a_LP-DIR-T	PI47-4a	    3.2	316.7	 58.3 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:14:22	LT-T-Z:LP-DIR-T	g	104	u	8	273			pmagpy-4.2.19	2.38e-08	1.17e-09	2.30e-10	6.55e-10
PI47-4a_LP-DIR-T17	PI47-4a_LP-DIR-T	PI47-4a	    3.9	320.1	 57.8 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:55:33	LT-T-Z:LP-DIR-T	g	105	u	8	273			pmagpy-4.2.19	2.00e-08	1.17e-09	1.86e-10	6.86e-10
PI47-4a_LP-DIR-T18	PI47-4a_LP-DIR-T	PI47-4a	    3.0	312.3	 57.5 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:40:08	LT-T-Z:LP-DIR-T	g	106	u	8	273			pmagpy-4.2.19	1.63e-08	6.21e-10	4.16e-10	4.57e-10
PI47-4a_LP-DIR-T19	PI47-4a_LP-DIR-T	PI47-4a	    2.0	305.5	 58.4 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:32:23	LT-T-Z:LP-DIR-T	g	107	u	8	273			pmagpy-4.2.19	1.17e-08	2.51e-10	1.77e-10	3.06e-10
PI47-4a_LP-DIR-T20	PI47-4a_LP-DIR-T	PI47-4a	    2.7	295.3	 71.0 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:33:34	LT-T-Z:LP-DIR-T	g	108	u	8	273			pmagpy-4.2.19	9.84e-09	9.71e-11	4.24e-10	1.82e-10
PI47-4a_LP-DIR-T21	PI47-4a_LP-DIR-T	PI47-4a	    4.6	307.7	 39.4 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:30:18	LT-T-Z:LP-DIR-T	g	109	u	8	273			pmagpy-4.2.19	5.13e-09	8.47e-11	3.47e-10	2.34e-10
PI47-4a_LP-DIR-T22	PI47-4a_LP-DIR-T	PI47-4a	    6.9	197.8	 67.2 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:21:29	LT-T-Z:LP-DIR-T	g	110	u	8	273			pmagpy-4.2.19	4.18e-12	3.10e-13	4.50e-13	2.40e-13
PI47-4a_LP-DIR-T23	PI47-4a_LP-DIR-T	PI47-4a	    1.1	284.7	 54.0 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-27 12:37:19	LT-T-Z:LP-DIR-T	g	111	u	8	273			pmagpy-4.2.19	4.87e-09	3.51e-11	6.14e-11	7.07e-11
PI47-4a_LP-DIR-T24	PI47-4a_LP-DIR-T	PI47-4a	    4.7	281.4	 50.3 	0	0	0.00	0.00	24	  833.0	This study	hargrave 2015-10-29 10:55:15	LT-T-Z:LP-DIR-T	g	112	u	8	273			pmagpy-4.2.19	4.94e-09	1.23e-10	3.65e-10	1.70e-10
PI47-4a_LP-DIR-T25	PI47-4a_LP-DIR-T	PI47-4a	   18.4	266.2	 21.6 	0	0	0.00	0.00	25	  843.0	This study	hargrave 2015-10-29 16:54:08	LT-T-Z:LP-DIR-T	g	113	u	8	273			pmagpy-4.2.19	3.11e-09	2.10e-10	3.08e-09	1.22e-09
PI47-4a_LP-DIR-T26	PI47-4a_LP-DIR-T	PI47-4a	    2.8	270.1	 22.8 	0	0	0.00	0.00	26	  843.0	This study	hargrave 2015-10-29 17:37:24	LT-T-Z:LP-DIR-T	g	114	u	8	273			pmagpy-4.2.19	6.24e-09	2.17e-10	1.21e-10	1.89e-10
PI47-4a_LP-DIR-T27	PI47-4a_LP-DIR-T	PI47-4a	   44.5	298.2	 33.2 	0	0	0.00	0.00	27	  848.0	This study	hargrave 2015-10-31 12:26:14	LT-T-Z:LP-DIR-T	g	115	u	8	273			pmagpy-4.2.19	3.34e-09	1.41e-09	2.63e-09	1.95e-09
PI47-4a_LP-DIR-T28	PI47-4a_LP-DIR-T	PI47-4a	    4.0	302.2	 35.9 	0	0	0.00	0.00	28	  848.0	This study	hargrave 2015-10-31 13:38:38	LT-T-Z:LP-DIR-T	g	116	u	8	273			pmagpy-4.2.19	6.78e-09	1.37e-10	1.84e-10	4.29e-10
PI47-4a_LP-DIR-T29	PI47-4a_LP-DIR-T	PI47-4a	   37.3	275.2	 53.9 	0	0	0.00	0.00	29	  850.0	This study	hargrave 2015-10-31 19:30:35	LT-T-Z:LP-DIR-T	g	117	u	8	273			pmagpy-4.2.19	2.19e-09	1.31e-10	1.38e-09	1.89e-09
PI47-4a_LP-DIR-T30	PI47-4a_LP-DIR-T	PI47-4a	   70.7	061.1	-48.2 	0	0	0.00	0.00	30	  850.0	This study	hargrave 2015-11-01 08:53:20	LT-T-Z:LP-DIR-T	g	118	u	8	273			pmagpy-4.2.19	2.12e-12	1.95e-12	1.02e-12	3.18e-12
PI47-4a_LP-DIR-T31	PI47-4a_LP-DIR-T	PI47-4a	    4.0	280.2	 53.7 	0	0	0.00	0.00	31	  850.0	This study	hargrave 2015-11-03 10:34:28	LT-T-Z:LP-DIR-T	g	119	u	8	273			pmagpy-4.2.19	4.86e-09	1.98e-10	2.42e-10	1.61e-10
PI47-4a_LP-DIR-T32	PI47-4a_LP-DIR-T	PI47-4a	    3.4	295.8	 28.3 	0	0	0.00	0.00	32	  852.0	This study	hargrave 2015-11-05 12:11:15	LT-T-Z:LP-DIR-T	g	120	u	8	273			pmagpy-4.2.19	6.34e-09	1.83e-10	1.53e-10	3.18e-10
PI47-5a_LP-DIR-T0	PI47-5a_LP-DIR-T	PI47-5a	    0.5	074.7	 77.8 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:26:23	LT-NO:LP-DIR-T	g	121	u	8	273			pmagpy-4.2.19	9.46e-08	5.08e-10	6.95e-10	5.72e-10
PI47-5a_LP-DIR-T1	PI47-5a_LP-DIR-T	PI47-5a	    0.6	073.0	 77.8 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:36:07	LT-T-Z:LP-DIR-T	g	122	u	8	273			pmagpy-4.2.19	9.41e-08	5.53e-10	8.14e-10	5.97e-10
PI47-5a_LP-DIR-T2	PI47-5a_LP-DIR-T	PI47-5a	    0.6	074.3	 77.1 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:19:26	LT-T-Z:LP-DIR-T	g	123	u	8	273			pmagpy-4.2.19	9.29e-08	5.65e-10	8.61e-10	3.08e-10
PI47-5a_LP-DIR-T3	PI47-5a_LP-DIR-T	PI47-5a	    0.7	074.9	 76.9 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:53:20	LT-T-Z:LP-DIR-T	g	124	u	8	273			pmagpy-4.2.19	8.99e-08	7.48e-10	7.77e-10	3.52e-10
PI47-5a_LP-DIR-T4	PI47-5a_LP-DIR-T	PI47-5a	    1.1	071.5	 75.2 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:47:19	LT-T-Z:LP-DIR-T	g	125	u	8	273			pmagpy-4.2.19	8.42e-08	1.02e-09	1.08e-09	7.00e-10
PI47-5a_LP-DIR-T5	PI47-5a_LP-DIR-T	PI47-5a	    0.9	072.7	 71.5 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:30:28	LT-T-Z:LP-DIR-T	g	126	u	8	273			pmagpy-4.2.19	7.50e-08	1.00e-09	5.53e-10	4.15e-10
PI47-5a_LP-DIR-T6	PI47-5a_LP-DIR-T	PI47-5a	    0.9	071.9	 68.2 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:53:57	LT-T-Z:LP-DIR-T	g	127	u	8	273			pmagpy-4.2.19	6.80e-08	8.05e-10	6.60e-10	3.82e-10
PI47-5a_LP-DIR-T7	PI47-5a_LP-DIR-T	PI47-5a	    1.1	073.4	 68.1 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:51:50	LT-T-Z:LP-DIR-T	g	128	u	8	273			pmagpy-4.2.19	6.55e-08	1.16e-09	5.65e-10	3.20e-10
PI47-5a_LP-DIR-T8	PI47-5a_LP-DIR-T	PI47-5a	    1.4	074.0	 67.3 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:43:12	LT-T-Z:LP-DIR-T	g	129	u	8	273			pmagpy-4.2.19	6.20e-08	1.30e-09	7.11e-10	3.17e-10
PI47-5a_LP-DIR-T9	PI47-5a_LP-DIR-T	PI47-5a	    0.7	072.2	 67.5 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:01:58	LT-T-Z:LP-DIR-T	g	130	u	8	273			pmagpy-4.2.19	6.04e-08	4.67e-10	4.88e-10	3.69e-10
PI47-5a_LP-DIR-T10	PI47-5a_LP-DIR-T	PI47-5a	    0.7	072.0	 67.0 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:54:08	LT-T-Z:LP-DIR-T	g	131	u	8	273			pmagpy-4.2.19	5.76e-08	3.94e-10	6.33e-10	3.22e-10
PI47-5a_LP-DIR-T11	PI47-5a_LP-DIR-T	PI47-5a	    0.7	073.8	 66.4 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:29:19	LT-T-Z:LP-DIR-T	g	132	u	8	273			pmagpy-4.2.19	5.31e-08	4.90e-10	4.98e-10	2.83e-10
PI47-5a_LP-DIR-T12	PI47-5a_LP-DIR-T	PI47-5a	    2.6	079.0	 67.3 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:04:24	LT-T-Z:LP-DIR-T	g	133	u	8	273			pmagpy-4.2.19	4.89e-08	2.17e-09	4.22e-10	2.80e-10
PI47-5a_LP-DIR-T13	PI47-5a_LP-DIR-T	PI47-5a	    2.5	080.3	 67.2 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:50:20	LT-T-Z:LP-DIR-T	g	134	u	8	273			pmagpy-4.2.19	4.32e-08	1.83e-09	3.75e-10	2.76e-10
PI47-5a_LP-DIR-T14	PI47-5a_LP-DIR-T	PI47-5a	    1.9	081.5	 67.9 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:25:25	LT-T-Z:LP-DIR-T	g	135	u	8	273			pmagpy-4.2.19	3.77e-08	1.18e-09	3.41e-10	2.99e-10
PI47-5a_LP-DIR-T15	PI47-5a_LP-DIR-T	PI47-5a	    2.7	077.2	 68.0 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:28:15	LT-T-Z:LP-DIR-T	g	136	u	8	273			pmagpy-4.2.19	3.26e-08	1.50e-09	4.12e-10	2.44e-10
PI47-5a_LP-DIR-T16	PI47-5a_LP-DIR-T	PI47-5a	    0.7	080.5	 67.6 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:15:58	LT-T-Z:LP-DIR-T	g	137	u	8	273			pmagpy-4.2.19	2.72e-08	2.10e-10	2.46e-10	2.13e-10
PI47-5a_LP-DIR-T17	PI47-5a_LP-DIR-T	PI47-5a	    3.5	082.1	 68.8 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 16:57:09	LT-T-Z:LP-DIR-T	g	138	u	8	273			pmagpy-4.2.19	2.23e-08	1.31e-09	4.60e-10	2.11e-10
PI47-5a_LP-DIR-T18	PI47-5a_LP-DIR-T	PI47-5a	    2.6	089.9	 69.6 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:41:35	LT-T-Z:LP-DIR-T	g	139	u	8	273			pmagpy-4.2.19	1.75e-08	7.53e-10	1.97e-10	1.47e-10
PI47-5a_LP-DIR-T19	PI47-5a_LP-DIR-T	PI47-5a	    1.5	112.0	 69.3 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:33:58	LT-T-Z:LP-DIR-T	g	140	u	8	273			pmagpy-4.2.19	1.31e-08	3.33e-10	1.23e-10	8.11e-11
PI47-5a_LP-DIR-T20	PI47-5a_LP-DIR-T	PI47-5a	    1.3	188.7	 68.2 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:35:11	LT-T-Z:LP-DIR-T	g	141	u	8	273			pmagpy-4.2.19	9.97e-09	2.40e-10	1.03e-10	8.30e-11
PI47-5a_LP-DIR-T21	PI47-5a_LP-DIR-T	PI47-5a	    6.5	252.6	 65.6 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:31:55	LT-T-Z:LP-DIR-T	g	142	u	8	273			pmagpy-4.2.19	4.90e-09	2.57e-10	4.34e-10	2.74e-10
PI47-5a_LP-DIR-T22	PI47-5a_LP-DIR-T	PI47-5a	    0.7	156.1	 14.2 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:23:12	LT-T-Z:LP-DIR-T	g	143	u	8	273			pmagpy-4.2.19	5.81e-09	7.19e-11	1.02e-10	6.14e-12
PI47-5a_LP-DIR-T23	PI47-5a_LP-DIR-T	PI47-5a	    2.8	158.5	 14.8 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 10:56:52	LT-T-Z:LP-DIR-T	g	144	u	8	273			pmagpy-4.2.19	5.52e-09	2.16e-10	3.60e-10	2.51e-11
PI47-5a_LP-DIR-T24	PI47-5a_LP-DIR-T	PI47-5a	    3.5	190.2	 42.2 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 16:55:44	LT-T-Z:LP-DIR-T	g	145	u	8	273			pmagpy-4.2.19	6.81e-09	1.15e-10	4.00e-10	9.21e-11
PI47-5a_LP-DIR-T25	PI47-5a_LP-DIR-T	PI47-5a	   62.3	272.4	-24.5 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:27:51	LT-T-Z:LP-DIR-T	g	146	u	8	273			pmagpy-4.2.19	2.62e-09	1.18e-10	2.54e-09	1.16e-09
PI47-5a_LP-DIR-T26	PI47-5a_LP-DIR-T	PI47-5a	    2.3	266.4	-24.2 	0	0	0.00	0.00	26	  848.0	This study	hargrave 2015-10-31 13:40:15	LT-T-Z:LP-DIR-T	g	147	u	8	273			pmagpy-4.2.19	4.94e-09	1.77e-10	2.12e-10	1.51e-10
PI47-5a_LP-DIR-T27	PI47-5a_LP-DIR-T	PI47-5a	   47.8	070.6	-07.2 	0	0	0.00	0.00	27	  850.0	This study	hargrave 2015-10-31 19:32:10	LT-T-Z:LP-DIR-T	g	148	u	8	273			pmagpy-4.2.19	1.18e-09	4.19e-10	1.18e-09	1.61e-10
PI47-5a_LP-DIR-T28	PI47-5a_LP-DIR-T	PI47-5a	   52.4	060.7	-12.4 	0	0	0.00	0.00	28	  850.0	This study	hargrave 2015-11-01 08:54:57	LT-T-Z:LP-DIR-T	g	149	u	8	273			pmagpy-4.2.19	1.08e-09	5.55e-10	9.88e-10	2.53e-10
PI47-5a_LP-DIR-T29	PI47-5a_LP-DIR-T	PI47-5a	    5.4	065.6	 07.9 	0	0	0.00	0.00	29	  850.0	This study	hargrave 2015-11-03 10:35:59	LT-T-Z:LP-DIR-T	g	150	u	8	273			pmagpy-4.2.19	2.16e-09	5.04e-11	3.18e-10	1.46e-10
PI47-5a_LP-DIR-T30	PI47-5a_LP-DIR-T	PI47-5a	   28.0	248.3	 32.5 	0	0	0.00	0.00	30	  852.0	This study	hargrave 2015-11-05 12:12:52	LT-T-Z:LP-DIR-T	g	151	u	8	273			pmagpy-4.2.19	9.46e-10	1.16e-10	4.27e-10	2.67e-10
PI47-5a_LP-DIR-T31	PI47-5a_LP-DIR-T	PI47-5a	   20.3	255.0	 25.1 	0	0	0.00	0.00	31	  852.0	This study	hargrave 2015-11-05 13:21:30	LT-T-Z:LP-DIR-T	g	152	u	8	273			pmagpy-4.2.19	9.37e-10	4.63e-11	3.45e-10	1.86e-10
PI47-6a_LP-DIR-T0	PI47-6a_LP-DIR-T	PI47-6a	    1.5	081.6	 87.9 	0	0	0.00	0.00	0	273	This study	hargrave 2015-09-16 18:27:58	LT-NO:LP-DIR-T	g	153	u	8	273			pmagpy-4.2.19	5.16e-08	1.23e-09	6.10e-10	4.23e-10
PI47-6a_LP-DIR-T1	PI47-6a_LP-DIR-T	PI47-6a	    1.0	093.2	 88.0 	0	0	0.00	0.00	1	  323.0	This study	hargrave 2015-09-19 18:38:31	LT-T-Z:LP-DIR-T	g	154	u	8	273			pmagpy-4.2.19	5.13e-08	7.70e-10	5.05e-10	3.95e-10
PI47-6a_LP-DIR-T2	PI47-6a_LP-DIR-T	PI47-6a	    1.2	075.8	 87.3 	0	0	0.00	0.00	2	  348.0	This study	hargrave 2015-09-21 22:21:03	LT-T-Z:LP-DIR-T	g	155	u	8	273			pmagpy-4.2.19	5.03e-08	9.52e-10	4.05e-10	4.55e-10
PI47-6a_LP-DIR-T3	PI47-6a_LP-DIR-T	PI47-6a	    1.8	060.1	 86.5 	0	0	0.00	0.00	3	  373.0	This study	hargrave 2015-09-24 09:54:57	LT-T-Z:LP-DIR-T	g	156	u	8	273			pmagpy-4.2.19	4.82e-08	1.39e-09	5.47e-10	4.54e-10
PI47-6a_LP-DIR-T4	PI47-6a_LP-DIR-T	PI47-6a	    1.8	053.6	 83.8 	0	0	0.00	0.00	4	  398.0	This study	hargrave 2015-09-24 15:48:54	LT-T-Z:LP-DIR-T	g	157	u	8	273			pmagpy-4.2.19	4.41e-08	1.29e-09	5.31e-10	3.36e-10
PI47-6a_LP-DIR-T5	PI47-6a_LP-DIR-T	PI47-6a	    1.8	052.4	 79.7 	0	0	0.00	0.00	5	  423.0	This study	hargrave 2015-09-25 12:32:04	LT-T-Z:LP-DIR-T	g	158	u	8	273			pmagpy-4.2.19	3.87e-08	1.09e-09	5.47e-10	2.61e-10
PI47-6a_LP-DIR-T6	PI47-6a_LP-DIR-T	PI47-6a	    1.9	048.0	 76.0 	0	0	0.00	0.00	6	  448.0	This study	hargrave 2015-09-26 13:55:49	LT-T-Z:LP-DIR-T	g	159	u	8	273			pmagpy-4.2.19	3.47e-08	1.09e-09	5.31e-10	4.11e-10
PI47-6a_LP-DIR-T7	PI47-6a_LP-DIR-T	PI47-6a	    3.5	045.4	 75.7 	0	0	0.00	0.00	7	  473.0	This study	hargrave 2015-09-26 19:53:18	LT-T-Z:LP-DIR-T	g	160	u	8	273			pmagpy-4.2.19	3.29e-08	1.83e-09	8.83e-10	3.26e-10
PI47-6a_LP-DIR-T8	PI47-6a_LP-DIR-T	PI47-6a	    2.2	038.6	 75.4 	0	0	0.00	0.00	8	  498.0	This study	hargrave 2015-09-28 19:44:52	LT-T-Z:LP-DIR-T	g	161	u	8	273			pmagpy-4.2.19	3.11e-08	1.05e-09	5.79e-10	3.31e-10
PI47-6a_LP-DIR-T9	PI47-6a_LP-DIR-T	PI47-6a	    3.2	040.3	 74.9 	0	0	0.00	0.00	9	  523.0	This study	hargrave 2015-10-01 12:03:39	LT-T-Z:LP-DIR-T	g	162	u	8	273			pmagpy-4.2.19	3.00e-08	1.41e-09	9.08e-10	3.07e-10
PI47-6a_LP-DIR-T10	PI47-6a_LP-DIR-T	PI47-6a	    2.1	040.9	 75.0 	0	0	0.00	0.00	10	  548.0	This study	hargrave 2015-10-05 18:55:44	LT-T-Z:LP-DIR-T	g	163	u	8	273			pmagpy-4.2.19	2.85e-08	9.00e-10	5.07e-10	2.84e-10
PI47-6a_LP-DIR-T11	PI47-6a_LP-DIR-T	PI47-6a	    2.4	036.0	 75.7 	0	0	0.00	0.00	11	  573.0	This study	hargrave 2015-10-06 02:30:56	LT-T-Z:LP-DIR-T	g	164	u	8	273			pmagpy-4.2.19	2.58e-08	9.37e-10	5.50e-10	2.78e-10
PI47-6a_LP-DIR-T12	PI47-6a_LP-DIR-T	PI47-6a	    1.7	037.1	 77.1 	0	0	0.00	0.00	12	  598.0	This study	hargrave 2015-10-06 07:06:00	LT-T-Z:LP-DIR-T	g	165	u	8	273			pmagpy-4.2.19	2.40e-08	6.83e-10	2.39e-10	2.38e-10
PI47-6a_LP-DIR-T13	PI47-6a_LP-DIR-T	PI47-6a	    1.9	029.9	 76.6 	0	0	0.00	0.00	13	  623.0	This study	hargrave 2015-10-06 12:51:57	LT-T-Z:LP-DIR-T	g	166	u	8	273			pmagpy-4.2.19	2.06e-08	5.74e-10	3.43e-10	2.13e-10
PI47-6a_LP-DIR-T14	PI47-6a_LP-DIR-T	PI47-6a	    2.0	031.5	 76.1 	0	0	0.00	0.00	14	  648.0	This study	hargrave 2015-10-08 13:27:02	LT-T-Z:LP-DIR-T	g	167	u	8	273			pmagpy-4.2.19	1.76e-08	6.06e-10	1.60e-10	2.39e-10
PI47-6a_LP-DIR-T15	PI47-6a_LP-DIR-T	PI47-6a	    2.1	040.4	 74.6 	0	0	0.00	0.00	15	  673.0	This study	hargrave 2015-10-10 16:29:51	LT-T-Z:LP-DIR-T	g	168	u	8	273			pmagpy-4.2.19	1.54e-08	5.21e-10	2.46e-10	2.51e-10
