tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc
This study	474	0474a473000	0474a	0474a4730002	0474a4730002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.693	0.054	0.038	u	9.7	Recalculated from original measurements; supercedes published results.	l	14.6	0.67	0.505	2.078e-05	20.2	9	5	3e-05	-1	10.6	0.9795
This study	474	0474a481p13	0474a	0474a481p131	0474a481p131 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	523	K	-0.959	0.192	0.184	u	9.4	Recalculated from original measurements; supercedes published results.	l	35.2	0.625	0.331	2.877e-05	5.6	8	5	3e-05	-1	2.6	0.7914
This study	474	0474a481p13	0474a	0474a481p132	0474a481p132 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-0.724	0.051	0.037	u	6	Recalculated from original measurements; supercedes published results.	l	19.4	0.736	0.555	2.173e-05	11.4	6	3	3e-05	-1	11	0.9895
This study	474	0474a483p01	0474a	0474a483p011	0474a483p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	523	K	-0.546	0.034	0.018	u	3.7	Recalculated from original measurements; supercedes published results.	l	11.9	0.623	0.381	1.637e-05	7.8	8	5	3e-05	-1	15.3	0.9932
This study	474	0474a483p01	0474a	0474a483p012	0474a483p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.653	0.069	0.045	u	9.1	Recalculated from original measurements; supercedes published results.	l	6.7	0.727	0.456	1.96e-05	11.4	9	5	3e-05	-1	8.9	0.9669
This study	474	0474a484p09	0474a	0474a484p091	0474a484p091 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-0.54	0.057	0.031	u	6.3	Recalculated from original measurements; supercedes published results.	l	20	0.746	0.695	1.621e-05	11.3	6	3	3e-05	-1	8.9	0.987
This study	474	0474a484p09	0474a	0474a484p092	0474a484p092 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-0.324	0.056	0.018	u	9.1	Recalculated from original measurements; supercedes published results.	l	6	0.71	0.624	9.727e-06	13.4	6	3	3e-05	-1	8.3	0.9874
This study	474	0474a491000	0474a	0474a4910001	0474a4910001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	473	K	-0.441	0.016	0.007	u	5.7	Recalculated from original measurements; supercedes published results.	l	0.3	0.418	0.317	1.322e-05	10.2	7	4	3e-05	-1	21	0.9988
This study	474	0474a491000	0474a	0474a4910002	0474a4910002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-0.401	0.026	0.011	u	10.9	Recalculated from original measurements; supercedes published results.	l	7.1	0.501	0.354	1.202e-05	14.4	8	4	3e-05	-1	15.7	0.9958
This study	474	0474a492p04	0474a	0474a492p041	0474a492p041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.83	0.05	0.041	u	11	Recalculated from original measurements; supercedes published results.	l	3.7	0.56	0.279	2.49e-05	11.5	9	5	3e-05	-1	9.7	0.9828
This study	474	0474a492p04	0474a	0474a492p042	0474a492p042 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	523	K	-0.757	0.083	0.063	u	3.3	Recalculated from original measurements; supercedes published results.	l	1.4	0.564	0.335	2.271e-05	4.1	7	5	3e-05	-1	5.4	0.9655
This study	482	0482d111p03	0482d	0482d111p031	0482d111p031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-1.009	0.108	0.11	u	11.4	Recalculated from original measurements; supercedes published results.	l	2.5	0.647	0.357	3.028e-05	9.1	9	5	3e-05	-1	4.8	0.9193
This study	482	0482d111p03	0482d	0482d111p032	0482d111p032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-3.169	0.186	0.591	u	15.9	Recalculated from original measurements; supercedes published results.	l	32.2	0.496	0.527	9.507e-05	9.2	8	4	3e-05	-1	1.7	0.8023
This study	482	0482d112p04	0482d	0482d112p041	0482d112p041 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-1.003	0.115	0.115	u	43.3	Recalculated from original measurements; supercedes published results.	l	48.1	0.413	0.245	3.01e-05	32.9	6	3	3e-05	-1	2.4	0.9479
This study	482	0482d112p04	0482d	0482d112p042	0482d112p042 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-0.459	0.047	0.022	u	5.9	Recalculated from original measurements; supercedes published results.	l	11.1	0.82	0.675	1.378e-05	8.2	5	2	3e-05	-1	10.6	0.9932
This study	482	0482d113p3a	0482d	0482d113p3a1	0482d113p3a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-3.812	0.327	1.248	u	24.8	Recalculated from original measurements; supercedes published results.	l	6.4	0.768	0.667	0.0001144	10.5	5	2	3e-05	-1	1.7	0.7042
This study	482	0482d113p3a	0482d	0482d113p3a2	0482d113p3a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	423	K	-1.014	0.041	0.042	u	7.5	Recalculated from original measurements; supercedes published results.	l	15.4	0.683	0.377	3.043e-05	13.3	5	3	3e-05	-1	12	0.9948
This study	483	0483b121000	0483b	0483b1210001	0483b1210001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	423	K	-0.323	0.029	0.009	u	5.4	Recalculated from original measurements; supercedes published results.	l	4.6	0.461	0.543	9.703e-06	7.1	6	3	3e-05	-1	11.8	0.9966
This study	483	0483b121000	0483b	0483b1210002	0483b1210002 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-0.298	0.049	0.015	u	6.7	Recalculated from original measurements; supercedes published results.	l	12.8	0.616	0.512	8.943e-06	8.6	8	4	3e-05	-1	9.2	0.9854
This study	483	0483b132000	0483b	0483b1320001	0483b1320001 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	423	K	-1.055	0.159	0.167	u	32.2	Recalculated from original measurements; supercedes published results.	l	24.7	0.299	0.156	3.165e-05	9.5	6	4	3e-05	-1	1.4	0.902
This study	483	0483b201p13	0483b	0483b201p131	0483b201p131 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-1.004	0.016	0.017	u	2.1	Recalculated from original measurements; supercedes published results.	l	7.4	0.661	0.668	3.011e-05	2.3	5	2	3e-05	-1	29.6	0.9992
This study	483	0483b201p13	0483b	0483b201p132	0483b201p132 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-1.445	0.033	0.048	u	3.7	Recalculated from original measurements; supercedes published results.	l	5.7	0.714	0.45	4.336e-05	1.9	9	5	3e-05	-1	17.2	0.9922
This study	483	0483b211p06	0483b	0483b211p061	0483b211p061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-1.329	0.029	0.039	u	2	Recalculated from original measurements; supercedes published results.	l	0.8	0.912	0.795	3.986e-05	3.4	7	4	3e-05	-1	24.8	0.9958
This study	483	0483b212p1a	0483b	0483b212p1a1	0483b212p1a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	423	K	-0.171	0.045	0.008	u	11.4	Recalculated from original measurements; supercedes published results.	l	5.6	0.886	0.363	5.126e-06	10.8	12	6	3e-05	-1	17.3	0.9798
This study	483	0483b212p1b	0483b	0483b212p1b1	0483b212p1b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	423	K	-0.435	0.074	0.032	u	15.7	Recalculated from original measurements; supercedes published results.	l	6.8	0.387	0.391	1.306e-05	14	5	3	3e-05	-1	3.8	0.9834
This study	483	0483b221p01	0483b	0483b221p011	0483b221p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-0.119	0.045	0.005	u	6.9	Recalculated from original measurements; supercedes published results.	l	12.7	0.459	0.479	3.563e-06	10.1	5	2	3e-05	-1	6.3	0.9939
This study	483	0483b221p1a	0483b	0483b221p1a2	0483b221p1a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.243	0.08	0.019	u	16.3	Recalculated from original measurements; supercedes published results.	l	2.8	0.793	0.5	7.293e-06	15.5	9	4	3e-05	-1	8.1	0.9555
This study	483	0483b221p1b	0483b	0483b221p1b1	0483b221p1b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-0.764	0.198	0.151	u	0.7	Recalculated from original measurements; supercedes published results.	l	0.7	0.848	0.496	2.291e-05	12.5	8	4	3e-05	-1	2.7	0.7786
This study	483	0483b221p7c	0483b	0483b221p7c2	0483b221p7c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-1.002	0.037	0.037	u	0.4	Recalculated from original measurements; supercedes published results.	l	5.3	0.887	0.831	3.007e-05	2.9	6	3	3e-05	-1	17.6	0.9946
This study	483	0483b222p03	0483b	0483b222p031	0483b222p031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.182	0.124	0.023	u	14.3	Recalculated from original measurements; supercedes published results.	l	11.3	0.804	0.508	5.471e-06	11.5	7	3	3e-05	-1	5.1	0.925
This study	483	0483b222p03	0483b	0483b222p032	0483b222p032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	423	K	-1.093	0.027	0.029	u	3.2	Recalculated from original measurements; supercedes published results.	l	3.9	0.691	0.477	3.278e-05	7.2	10	5	3e-05	-1	22.3	0.9944
This study	483	0483b231p1b	0483b	0483b231p1b1	0483b231p1b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	858	373	K	-0.209	0.069	0.015	u	7.6	Recalculated from original measurements; supercedes published results.	l	7.2	1.113	0.398	6.28e-06	22	16	7	3e-05	-1	14.3	0.9337
This study	483	0483b231p1b	0483b	0483b231p1b2	0483b231p1b2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.354	0.169	0.06	u	17.9	Recalculated from original measurements; supercedes published results.	l	32.1	0.65	0.358	1.063e-05	15	9	4	3e-05	-1	3	0.8107
This study	483	0483b232p5c	0483b	0483b232p5c2	0483b232p5c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.539	0.194	0.105	u	19.5	Recalculated from original measurements; supercedes published results.	l	9.9	0.636	0.314	1.616e-05	26.7	8	4	3e-05	-1	2.1	0.7861
This study	483	0483b232p8a	0483b	0483b232p8a1	0483b232p8a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	623	K	-1.715	0.045	0.078	u	1.1	Recalculated from original measurements; supercedes published results.	l	20	0.497	0.562	5.146e-05	9.1	8	7	3e-05	-1	8.6	0.9878
This study	483	0483b233p8b	0483b	0483b233p8b1	0483b233p8b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.22	0.152	0.033	u	55.4	Recalculated from original measurements; supercedes published results.	l	0.7	0.602	0.208	6.594e-06	33	8	4	3e-05	-1	3	0.8657
This study	483	0483b241p7b	0483b	0483b241p7b1	0483b241p7b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	423	K	-0.222	0.062	0.014	u	10.4	Recalculated from original measurements; supercedes published results.	l	29	0.72	0.379	6.666e-06	9.1	9	5	3e-05	-1	9.8	0.9736
This study	483	0483b291p2b	0483b	0483b291p2b1	0483b291p2b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.624	0.049	0.03	u	24.1	Recalculated from original measurements; supercedes published results.	l	9.8	0.768	0.379	1.872e-05	14.7	8	4	3e-05	-1	13.1	0.9858
This study	483	0483b301p4d	0483b	0483b301p4d1	0483b301p4d1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	648	K	-0.948	0.041	0.039	u	15.5	Recalculated from original measurements; supercedes published results.	l	63.2	0.733	0.135	2.843e-05	19.9	8	7	3e-05	-1	15	0.9899
This study	483	0483b301p4d	0483b	0483b301p4d2	0483b301p4d2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-0.079	0.069	0.005	u	28.5	Recalculated from original measurements; supercedes published results.	l	32.5	0.478	0.144	2.357e-06	13.9	8	5	3e-05	-1	5.3	0.9718
This study	483	0483b302p09	0483b	0483b302p092	0483b302p092 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.696	0.267	0.186	u	25.9	Recalculated from original measurements; supercedes published results.	l	2.9	0.496	0.36	2.089e-05	16.3	6	3	3e-05	-1	1.4	0.7353
This study	483	0483b303p4c	0483b	0483b303p4c1	0483b303p4c1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.73	0.022	0.016	u	28.2	Recalculated from original measurements; supercedes published results.	l	1.7	0.747	0.388	2.191e-05	25.4	9	4	3e-05	-1	26	0.9967
This study	483	0483b303p4c	0483b	0483b303p4c2	0483b303p4c2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.606	0.083	0.05	u	21.4	Recalculated from original measurements; supercedes published results.	l	5.6	1.017	0.451	1.817e-05	15.1	14	6	3e-05	-1	10.7	0.9186
This study	483	0483b311p6a	0483b	0483b311p6a1	0483b311p6a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-0.372	0.043	0.016	u	33.4	Recalculated from original measurements; supercedes published results.	l	18.3	0.406	0.327	1.117e-05	17.3	5	2	3e-05	-1	6.1	0.9945
This study	483	0483b311p6a	0483b	0483b311p6a2	0483b311p6a2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.878	0.169	0.148	u	10.5	Recalculated from original measurements; supercedes published results.	l	7.9	0.437	0.449	2.634e-05	14.2	7	3	3e-05	-1	1.9	0.8625
This study	483	0483b312p7b	0483b	0483b312p7b2	0483b312p7b2 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.297	0.126	0.038	u	16.4	Recalculated from original measurements; supercedes published results.	l	19.9	0.83	0.049	8.913e-06	14.4	11	5	3e-05	-1	5.4	0.8615
This study	483	0483b323p07	0483b	0483b323p071	0483b323p071 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	648	K	-0.184	0.017	0.003	u	3.7	Recalculated from original measurements; supercedes published results.	l	11.5	0.676	0.378	5.512e-06	5.4	8	7	3e-05	-1	29.8	0.9982
This study	483	0483b323p07	0483b	0483b323p072	0483b323p072 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.157	0.074	0.012	u	24	Recalculated from original measurements; supercedes published results.	l	3.7	0.845	0.276	4.715e-06	29	13	6	3e-05	-1	9.9	0.9408
This study	483	0483b323p7b	0483b	0483b323p7b1	0483b323p7b1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.429	0.069	0.03	u	17.5	Recalculated from original measurements; supercedes published results.	l	13.8	0.687	0.427	1.286e-05	20	9	4	3e-05	-1	8.2	0.9666
This study	483	0483x211p06	0483x	0483x211p062	0483x211p062 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-1.283	0.032	0.041	u	5.2	Recalculated from original measurements; supercedes published results.	l	4.2	0.705	0.559	3.848e-05	1.5	5	2	3e-05	-1	16.1	0.997
This study	483	0483x212p08	0483x	0483x212p082	0483x212p082 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-1.786	0.029	0.052	u	4.3	Recalculated from original measurements; supercedes published results.	l	5.4	0.874	0.559	5.357e-05	14.5	12	6	3e-05	-1	25.9	0.9916
This study	483	0483x213p01	0483x	0483x213p011	0483x213p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.904	0.056	0.051	u	8.4	Recalculated from original measurements; supercedes published results.	l	6.2	0.879	0.449	2.713e-05	13.3	11	5	3e-05	-1	13.8	0.9721
This study	483	0483x213p01	0483x	0483x213p012	0483x213p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.494	0.024	0.012	u	6.7	Recalculated from original measurements; supercedes published results.	l	19.1	0.76	0.641	1.481e-05	7.8	7	3	3e-05	-1	24.5	0.9972
This study	483	0483x221p01	0483x	0483x221p011	0483x221p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-1.119	0.059	0.066	u	0.8	Recalculated from original measurements; supercedes published results.	l	2	0.729	0.574	3.356e-05	5.1	6	3	3e-05	-1	9.3	0.9859
This study	483	0483x231p8a	0483x	0483x231p8a1	0483x231p8a1 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	623	K	-1.601	0.028	0.045	u	0.4	Recalculated from original measurements; supercedes published results.	l	1	0.695	0.668	4.802e-05	2.5	8	6	3e-05	-1	20.1	0.9953
This study	495	0495x471p05	0495x	0495x471p051	0495x471p051 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.492	0.017	0.009	u	10.2	Recalculated from original measurements; supercedes published results.	l	19.6	0.788	0.678	1.476e-05	13.2	11	5	3e-05	-1	39.8	0.9973
This study	495	0495x471p05	0495x	0495x471p052	0495x471p052 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.623	0.045	0.028	u	25.5	Recalculated from original measurements; supercedes published results.	l	14.2	0.889	0.695	1.868e-05	12	15	7	3e-05	-1	18.2	0.9742
This study	495	0495x481p10	0495x	0495x481p101	0495x481p101 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	373	K	-0.624	0.042	0.026	u	8.7	Recalculated from original measurements; supercedes published results.	l	2.7	0.922	0.713	1.872e-05	7.4	14	7	3e-05	-1	19.8	0.979
This study	495	0495x481p10	0495x	0495x481p102	0495x481p102 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	423	K	-0.481	0.097	0.047	u	21.1	Recalculated from original measurements; supercedes published results.	l	2.4	0.672	0.347	1.444e-05	14.5	11	6	3e-05	-1	5.9	0.9169
This study	495	0495x482p06	0495x	0495x482p061	0495x482p061 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.6	0.018	0.011	u	4	Recalculated from original measurements; supercedes published results.	l	17.1	0.952	0.804	1.8e-05	6.5	13	6	3e-05	-1	49	0.9966
This study	495	0495x482p06	0495x	0495x482p062	0495x482p062 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	523	K	-0.302	0.076	0.023	u	29.5	Recalculated from original measurements; supercedes published results.	l	5	0.54	0.136	9.045e-06	10.8	7	5	3e-05	-1	5.6	0.971
This study	495	0495x483p03	0495x	0495x483p031	0495x483p031 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	823	373	K	-0.491	0.058	0.028	u	1.3	Recalculated from original measurements; supercedes published results.	l	6.9	0.958	0.779	1.472e-05	7	15	7	3e-05	-1	15	0.9574
This study	495	0495x483p03	0495x	0495x483p032	0495x483p032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	423	K	-0.589	0.038	0.023	u	11.7	Recalculated from original measurements; supercedes published results.	l	14.4	0.923	0.585	1.768e-05	5.7	13	7	3e-05	-1	21.6	0.9838
This study	504	0504b041p01	0504b	0504b041p012	0504b041p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	273	K	-1.3	0.041	0.054	u	18.5	Recalculated from original measurements; supercedes published results.	l	9.3	0.797	0.764	5.2e-05	7.2	10	4	4e-05	-1	14.6	0.9864
This study	504	0504b103p01	0504b	0504b103p011	0504b103p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	373	K	-0.659	0.059	0.039	u	2.2	Recalculated from original measurements; supercedes published results.	l	33.8	0.981	0.589	2.634e-05	10	15	7	4e-05	-1	13.6	0.9556
This study	504	0504b103p01	0504b	0504b103p012	0504b103p012 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	423	K	-0.618	0.199	0.123	u	43.2	Recalculated from original measurements; supercedes published results.	l	9.8	0.486	0.194	2.471e-05	21.6	7	3	4e-05	-1	1.9	0.8113
This study	504	0504b152p01	0504b	0504b152p011	0504b152p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	548	398	K	-0.826	0.482	0.398	u	113.8	Recalculated from original measurements; supercedes published results.	l	28.9	0.424	0.114	3.304e-05	10	7	3	4e-05	-1	0.3	0.1762
This study	504	0504b153p01	0504b	0504b153p011	0504b153p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-0.276	0.071	0.02	u	14.9	Recalculated from original measurements; supercedes published results.	l	3.5	0.321	0.132	1.105e-05	22.1	10	4	4e-05	-1	3.1	0.9605
This study	504	0504b154p01	0504b	0504b154p011	0504b154p011 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	548	373	K	-0.675	0.27	0.182	u	41.6	Recalculated from original measurements; supercedes published results.	l	45.3	0.419	0.112	2.699e-05	25.4	8	3	4e-05	-1	0.9	0.6098
