tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
13.8	2	Ma	1.694e-05	1	0		37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x132054	0335x	0335x1320543	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x132054	V [A] DM of sample.	ND	ND	-1	3.263e+22	1	0
13.8	2	Ma	2.279e-05	4	3.909e-06	17.15	37		325		ND	ND	i	This study : Tauxe & Yamazaki 2007	335	0335x133006	0335x	0335x1330061 : 0335x1330062 : 0335x1330063 : 0335x1330064	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	31	IE-SPEC	V[A]DM: Sample 0335x133006	V [A] DM of sample.	ND	ND	-1	4.39e+22	4	7.529e+21
8	1	Ma	1.396e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a301p01	0395a	0395a301p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a301p01	V [A] DM of sample.	ND	ND	-1	3.177e+22	1	0
8	1	Ma	1.003e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a332p14	0395a	0395a332p141	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a332p14	V [A] DM of sample.	ND	ND	-1	2.282e+22	1	0
8	1	Ma	1.141e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a411p02	0395a	0395a411p021	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a411p02	V [A] DM of sample.	ND	ND	-1	2.597e+22	1	0
8	1	Ma	1.898e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a541p6b	0395a	0395a541p6b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a541p6b	V [A] DM of sample.	ND	ND	-1	4.319e+22	1	0
8	1	Ma	1.887e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a601p08	0395a	0395a601p081	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a601p08	V [A] DM of sample.	ND	ND	-1	4.294e+22	1	0
8	1	Ma	3.695e-05	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395a661000	0395a	0395a6610001	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395a661000	V [A] DM of sample.	ND	ND	-1	8.408e+22	1	0
8	1	Ma	5.633e-06	1	0		23		314		ND	ND	i	This study : Tauxe & Yamazaki 2007	395	0395x111p11	0395x	0395x111p112	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0395x111p11	V [A] DM of sample.	ND	ND	-1	1.282e+22	1	0
10.3	0.5	Ma	1.366e-05	4	1.074e-06	7.866	22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b141028	0396b	0396b1410281 : 0396b1410282 : 0396b1410283 : 0396b1410284	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b141028	V [A] DM of sample.	ND	ND	-1	3.109e+22	4	2.444e+21
10.3	0.5	Ma	1.616e-05	1	0		22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b141p1b	0396b	0396b141p1b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b141p1b	V [A] DM of sample.	ND	ND	-1	3.677e+22	1	0
10.3	0.5	Ma	1.414e-05	3	1.836e-06	12.99	22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b143031	0396b	0396b1430313 : 0396b1430314 : 0396b1430315	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b143031	V [A] DM of sample.	ND	ND	-1	3.218e+22	3	4.178e+21
10.3	0.5	Ma	1.202e-05	3	6.912e-07	5.752	22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b151039	0396b	0396b1510391 : 0396b1510392 : 0396b1510393	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b151039	V [A] DM of sample.	ND	ND	-1	2.735e+22	3	1.573e+21
10.3	0.5	Ma	9.866e-06	1	0		22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b261p01	0396b	0396b261p011	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b261p01	V [A] DM of sample.	ND	ND	-1	2.245e+22	1	0
10.3	0.5	Ma	1.103e-05	1	0		22.5		316.5		ND	ND	i	This study : Tauxe & Yamazaki 2007	396	0396b261p1b	0396b	0396b261p1b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0396b261p1b	V [A] DM of sample.	ND	ND	-1	2.51e+22	1	0
33.3	0.1	Ma	2.944e-05	1	0		64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x462021	0407x	0407x4620211	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	54	IE-SPEC	V[A]DM: Sample 0407x462021	V [A] DM of sample.	ND	ND	-1	4.414e+22	1	0
33.3	0.1	Ma	2.714e-05	1	0		64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x463051	0407x	0407x4630513	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	54	IE-SPEC	V[A]DM: Sample 0407x463051	V [A] DM of sample.	ND	ND	-1	4.069e+22	1	0
33.3	0.1	Ma	3.104e-05	3	1.249e-06	4.024	64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x464057	0407x	0407x4640571 : 0407x4640573 : 0407x4640575	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	54	IE-SPEC	V[A]DM: Sample 0407x464057	V [A] DM of sample.	ND	ND	-1	4.654e+22	3	1.873e+21
33.3	0.1	Ma	2.695e-05	1	0		64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x473137	0407x	0407x4731372	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	54	IE-SPEC	V[A]DM: Sample 0407x473137	V [A] DM of sample.	ND	ND	-1	4.041e+22	1	0
33.3	0.1	Ma	3.198e-05	1	0		64		329		ND	ND	i	This study : Tauxe & Yamazaki 2007	407	0407x474086	0407x	0407x4740861	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	54	IE-SPEC	V[A]DM: Sample 0407x474086	V [A] DM of sample.	ND	ND	-1	4.795e+22	1	0
10.3	0.7	Ma	1.15e-05	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a017004	0410a	0410a0170041	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a017004	V [A] DM of sample.	ND	ND	-1	1.961e+22	1	0
10.3	0.7	Ma	4.145e-06	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a024081	0410a	0410a0240812	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a024081	V [A] DM of sample.	ND	ND	-1	7.068e+21	1	0
10.3	0.7	Ma	1.226e-05	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a025013	0410a	0410a0250131	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a025013	V [A] DM of sample.	ND	ND	-1	2.091e+22	1	0
10.3	0.7	Ma	1.281e-05	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a043026	0410a	0410a0430263	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a043026	V [A] DM of sample.	ND	ND	-1	2.184e+22	1	0
10.3	0.7	Ma	3.551e-06	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a063045	0410a	0410a0630452	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a063045	V [A] DM of sample.	ND	ND	-1	6.055e+21	1	0
10.3	0.7	Ma	8.037e-06	1	0		46		330		ND	ND	i	This study : Tauxe & Yamazaki 2007	410	0410a371106	0410a	0410a3711062	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	41	IE-SPEC	V[A]DM: Sample 0410a371106	V [A] DM of sample.	ND	ND	-1	1.37e+22	1	0
121	1	Ma	9.394e-06	2	4.412e-07	4.697	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p2a	0417d	0417d022p2a1 : 0417d022p2a4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p2a	V [A] DM of sample.	ND	ND	-1	2.086e+22	2	9.798e+20
121	1	Ma	1.114e-05	2	2.567e-06	23.05	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p2b	0417d	0417d022p2b1 : 0417d022p2b4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p2b	V [A] DM of sample.	ND	ND	-1	2.474e+22	2	5.701e+21
121	1	Ma	1.118e-05	2	1.344e-06	12.02	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p2d	0417d	0417d022p2d2 : 0417d022p2d4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p2d	V [A] DM of sample.	ND	ND	-1	2.483e+22	2	2.985e+21
121	1	Ma	1.777e-05	2	9.405e-07	5.291	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p2e	0417d	0417d022p2e1 : 0417d022p2e3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p2e	V [A] DM of sample.	ND	ND	-1	3.946e+22	2	2.089e+21
121	1	Ma	4.647e-06	1	0		25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p4a	0417d	0417d022p4a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p4a	V [A] DM of sample.	ND	ND	-1	1.032e+22	1	0
121	1	Ma	8.72e-06	2	8.337e-07	9.561	25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	417	0417d022p4c	0417d	0417d022p4c3 : 0417d022p4c4	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0417d022p4c	V [A] DM of sample.	ND	ND	-1	1.936e+22	2	1.851e+21
121	1	Ma	1.133e-05	1	0		25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	418	0418a035p2b	0418a	0418a035p2b5	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0418a035p2b	V [A] DM of sample.	ND	ND	-1	2.516e+22	1	0
121	1	Ma	1.493e-05	1	0		25		292		ND	ND	i	This study : Tauxe & Yamazaki 2007	418	0418a035p2c	0418a	0418a035p2c2	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0418a035p2c	V [A] DM of sample.	ND	ND	-1	3.315e+22	1	0
3.4	0.2	Ma	1.64e-05	2	4.257e-06	25.96	9		254		ND	ND	i	This study : Tauxe & Yamazaki 2007	420	0420x141000	0420x	0420x1410001 : 0420x1410002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	9	IE-SPEC	V[A]DM: Sample 0420x141000	V [A] DM of sample.	ND	ND	-1	4.086e+22	2	1.061e+22
3.4	0.2	Ma	1.568e-05	1	0		9		254		ND	ND	i	This study : Tauxe & Yamazaki 2007	420	0420x171000	0420x	0420x1710001	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	9	IE-SPEC	V[A]DM: Sample 0420x171000	V [A] DM of sample.	ND	ND	-1	3.906e+22	1	0
1.7	0.2	Ma	7.506e-06	1	0		9		255		ND	ND	i	This study : Tauxe & Yamazaki 2007	423	0423x05cp02	0423x	0423x05cp022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	9	IE-SPEC	V[A]DM: Sample 0423x05cp02	V [A] DM of sample.	ND	ND	-1	1.87e+22	1	0
1.7	0.2	Ma	7.701e-06	1	0		9		255		ND	ND	i	This study : Tauxe & Yamazaki 2007	423	0423x061p03	0423x	0423x061p032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	9	IE-SPEC	V[A]DM: Sample 0423x061p03	V [A] DM of sample.	ND	ND	-1	1.919e+22	1	0
1.7	0.2	Ma	2.196e-05	1	0		9		255		ND	ND	i	This study : Tauxe & Yamazaki 2007	423	0423x081p01	0423x	0423x081p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	9	IE-SPEC	V[A]DM: Sample 0423x081p01	V [A] DM of sample.	ND	ND	-1	5.471e+22	1	0
43	2	Ma	2.899e-05	1	0		18		133		ND	ND	i	This study : Tauxe & Yamazaki 2007	447	0447a143076	0447a	0447a1430762	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0447a143076	V [A] DM of sample.	ND	ND	-1	5.959e+22	1	0
43	2	Ma	1.322e-05	1	0		18		133		ND	ND	i	This study : Tauxe & Yamazaki 2007	447	0447a182119	0447a	0447a1821192	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0447a182119	V [A] DM of sample.	ND	ND	-1	2.718e+22	1	0
43	2	Ma	2.997e-05	1	0		18		133		ND	ND	i	This study : Tauxe & Yamazaki 2007	447	0447a254001	0447a	0447a2540013	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	26	IE-SPEC	V[A]DM: Sample 0447a254001	V [A] DM of sample.	ND	ND	-1	6.161e+22	1	0
31	1	Ma	3.653e-05	1	0		16		135		ND	ND	i	This study : Tauxe & Yamazaki 2007	448	0448a171p1w	0448a	0448a171p1w1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0448a171p1w	V [A] DM of sample.	ND	ND	-1	7.809e+22	1	0
3.7	0.2	Ma	1.858e-05	1	0		17.9113		145.1795		ND	ND	i	This study : Tauxe & Yamazaki 2007	456	0456a131p06	0456a	0456a131p061	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	18	IE-SPEC	V[A]DM: Sample 0456a131p06	V [A] DM of sample.	ND	ND	-1	4.228e+22	1	0
111	1	Ma	2.002e-05	2	1.28e-06	6.391	7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a394p07	0462a	0462a394p071 : 0462a394p072	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a394p07	V [A] DM of sample.	ND	ND	-1	3.759e+22	2	2.403e+21
111	1	Ma	1.246e-05	2	2.786e-06	22.36	7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a394p10	0462a	0462a394p102 : 0462a394p103	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a394p10	V [A] DM of sample.	ND	ND	-1	2.339e+22	2	5.231e+21
111	1	Ma	5.707e-05	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a541p8c	0462a	0462a541p8c1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a541p8c	V [A] DM of sample.	ND	ND	-1	1.072e+23	1	0
111	1	Ma	1.504e-05	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a581p8b	0462a	0462a581p8b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a581p8b	V [A] DM of sample.	ND	ND	-1	2.824e+22	1	0
111	1	Ma	1.815e-05	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a581p8c	0462a	0462a581p8c1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a581p8c	V [A] DM of sample.	ND	ND	-1	3.408e+22	1	0
111	1	Ma	7.352e-06	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a596p5a	0462a	0462a596p5a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a596p5a	V [A] DM of sample.	ND	ND	-1	1.38e+22	1	0
111	1	Ma	1.405e-05	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a623p7b	0462a	0462a623p7b3	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a623p7b	V [A] DM of sample.	ND	ND	-1	2.638e+22	1	0
111	1	Ma	1.862e-05	1	0		7		165		ND	ND	i	This study : Tauxe & Yamazaki 2007	462	0462a693p03	0462a	0462a693p032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-33	IE-SPEC	V[A]DM: Sample 0462a693p03	V [A] DM of sample.	ND	ND	-1	3.496e+22	1	0
18.7	0.2	Ma	1.365e-05	2	3.606e-06	26.42	33		239		ND	ND	i	This study : Tauxe & Yamazaki 2007	469	0469x461p01	0469x	0469x461p011 : 0469x461p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	34	IE-SPEC	V[A]DM: Sample 0469x461p01	V [A] DM of sample.	ND	ND	-1	2.531e+22	2	6.686e+21
15.2	0.5	Ma	2.997e-05	1	0		29		242		ND	ND	i	This study : Tauxe & Yamazaki 2007	470	0470a081091	0470a	0470a0810911	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	29	IE-SPEC	V[A]DM: Sample 0470a081091	V [A] DM of sample.	ND	ND	-1	5.924e+22	1	0
15.2	0.5	Ma	3.934e-05	4	3.32e-06	8.439	29		242		ND	ND	i	This study : Tauxe & Yamazaki 2007	470	0470a085075	0470a	0470a0850751 : 0470a0850752 : 0470a0850753 : 0470a0850754	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	29	IE-SPEC	V[A]DM: Sample 0470a085075	V [A] DM of sample.	ND	ND	-1	7.776e+22	4	6.562e+21
15.2	0.5	Ma	3.562e-05	3	3.305e-06	9.28	29		242		ND	ND	i	This study : Tauxe & Yamazaki 2007	470	0470a131039	0470a	0470a1310392 : 0470a1310393 : 0470a1310394	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	29	IE-SPEC	V[A]DM: Sample 0470a131039	V [A] DM of sample.	ND	ND	-1	7.041e+22	3	6.533e+21
3.1	0.2	Ma	2.476e-05	2	9.758e-07	3.941	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a463000	0474a	0474a4630001 : 0474a4630002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a463000	V [A] DM of sample.	ND	ND	-1	5.293e+22	2	2.086e+21
3.1	0.2	Ma	2.173e-05	1	0		23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a481p13	0474a	0474a481p132	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a481p13	V [A] DM of sample.	ND	ND	-1	4.645e+22	1	0
3.1	0.2	Ma	1.798e-05	2	2.284e-06	12.7	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a483p01	0474a	0474a483p011 : 0474a483p012	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a483p01	V [A] DM of sample.	ND	ND	-1	3.843e+22	2	4.882e+21
3.1	0.2	Ma	1.297e-05	2	4.584e-06	35.35	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a484p09	0474a	0474a484p091 : 0474a484p092	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a484p09	V [A] DM of sample.	ND	ND	-1	2.772e+22	2	9.799e+21
3.1	0.2	Ma	1.262e-05	2	8.485e-07	6.724	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a491000	0474a	0474a4910001 : 0474a4910002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a491000	V [A] DM of sample.	ND	ND	-1	2.698e+22	2	1.814e+21
3.1	0.2	Ma	2.38e-05	2	1.549e-06	6.505	23		251		ND	ND	i	This study : Tauxe & Yamazaki 2007	474	0474a492p04	0474a	0474a492p041 : 0474a492p042	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0474a492p04	V [A] DM of sample.	ND	ND	-1	5.087e+22	2	3.311e+21
0.3	0.3	Ma	1.378e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	482	0482d112p04	0482d	0482d112p042	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0482d112p04	V [A] DM of sample.	ND	ND	-1	2.946e+22	1	0
0.3	0.3	Ma	3.043e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	482	0482d113p3a	0482d	0482d113p3a2	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0482d113p3a	V [A] DM of sample.	ND	ND	-1	6.505e+22	1	0
2	0.2	Ma	9.323e-06	2	5.374e-07	5.764	23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b121000	0483b	0483b1210001 : 0483b1210002	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b121000	V [A] DM of sample.	ND	ND	-1	1.993e+22	2	1.149e+21
2	0.2	Ma	3.673e-05	2	9.369e-06	25.5	23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b201p13	0483b	0483b201p131 : 0483b201p132	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b201p13	V [A] DM of sample.	ND	ND	-1	7.851e+22	2	2.003e+22
2	0.2	Ma	3.986e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b211p06	0483b	0483b211p061	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b211p06	V [A] DM of sample.	ND	ND	-1	8.52e+22	1	0
2	0.2	Ma	5.126e-06	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b212p1a	0483b	0483b212p1a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b212p1a	V [A] DM of sample.	ND	ND	-1	1.096e+22	1	0
2	0.2	Ma	3.563e-06	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b221p01	0483b	0483b221p011	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b221p01	V [A] DM of sample.	ND	ND	-1	7.616e+21	1	0
2	0.2	Ma	3.007e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b221p7c	0483b	0483b221p7c2	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b221p7c	V [A] DM of sample.	ND	ND	-1	6.428e+22	1	0
2	0.2	Ma	3.278e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b222p03	0483b	0483b222p032	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b222p03	V [A] DM of sample.	ND	ND	-1	7.007e+22	1	0
2	0.2	Ma	5.146e-05	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b232p8a	0483b	0483b232p8a1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b232p8a	V [A] DM of sample.	ND	ND	-1	1.1e+23	1	0
2	0.2	Ma	6.666e-06	1	0		23		252		ND	ND	i	This study : Tauxe & Yamazaki 2007	483	0483b241p7b	0483b	0483b241p7b1	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	23	IE-SPEC	V[A]DM: Sample 0483b241p7b	V [A] DM of sample.	ND	ND	-1	1.425e+22	1	0
