tab	pmag_sites
er_site_name	er_location_name	er_specimen_names	er_sample_names	er_analyst_mail_names	er_citation_names	magic_instrument_codes	magic_method_codes	magic_software_packages	pmag_criteria_codes	site_alpha95	site_comp_name	site_dec	site_description	site_inc	site_inferred_age	site_inferred_age_sigma	site_inferred_age_unit	site_int	site_int_n	site_int_sigma	site_int_sigma_perc	site_k	site_n	site_n_lines	site_n_planes	site_polarity	site_r	site_tilt_correction
mc15	McMurdo	mc15f:mc15h:mc15c:mc15c2:mc15b:mc15a:mc15g:mc15e:mc15d	mc15f:mc15h:mc15c:mc15b:mc15a:mc15g:mc15e:mc15d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.33	0.01	Ma	0.00002802	3	0.000002569	9.167							
mc150	McMurdo	mc150e1:mc150f1:mc150g1:mc150b1:mc150c1	mc150d:mc150e:mc150f:mc150g:mc150a:mc150b:mc150c:mc150h:mc150i:mc150j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9	A	253.5	Direction included in Pmag_Results.	84.3	3.57	0.07	Ma					125.5	5	5	0	r	4.9681	0
mc152	McMurdo	mc152k1:mc152i1:mc152b1:mc152b2:mc152c1:mc152a1:mc152g1:mc152e1	mc152j:mc152k:mc152h:mc152i:mc152b:mc152c:mc152a:mc152f:mc152g:mc152d:mc152e	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.9	A	327.2	Direction included in Pmag_Results.	-85.3	3.87	0.075	Ma					1325.5	6	5	1	n	5.9966	0
mc153	McMurdo	mc153i1:mc153j1:mc153m1:mc153a1:mc153a2:mc153c1:mc153e1	mc153i:mc153h:mc153k:mc153j:mc153m:mc153l:mc153a:mc153c:mc153e:mc153d:mc153g:mc153f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC						2.53	0.065	Ma	0.00003448	1	0	0							
mc154	McMurdo	mc154a2:mc154a1:mc154b1:mc154e1:mc154f1:mc154h1:mc154j2	mc154a:mc154b:mc154c:mc154d:mc154e:mc154f:mc154g:mc154h:mc154i:mc154j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		2.19	0.04	Ma	0.00000797	2	0.0000009535	11.96							
mc155	McMurdo	mc155m1:mc155i1:mc155h1:mc155g1:mc155e2:mc155c1:mc155b1:mc155a1	mc155n:mc155m:mc155l:mc155k:mc155j:mc155i:mc155h:mc155g:mc155f:mc155e:mc155d:mc155c:mc155b:mc155a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						1.5	0.025	Ma	0.00002893	3	0.000004604	15.92							
mc156	McMurdo	mc156f1:mc156g1:mc156b1:mc156c2:mc156c1:mc156a1:mc156h1:mc156i1	mc156f:mc156g:mc156d:mc156e:mc156b:mc156c:mc156a:mc156j:mc156h:mc156i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	161.3	Direction included in Pmag_Results.	71.1	1.89	0.065	Ma					340.9	5	5	0	r	4.9883	0
mc157	McMurdo	mc157e2:mc157f1:mc157a2:mc157a1:mc157c2:mc157b1:mc157b2:mc157k1:mc157j1	mc157e:mc157d:mc157g:mc157f:mc157a:mc157c:mc157b:mc157m:mc157l:mc157n:mc157h:mc157k:mc157j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9	A	262.7	Direction included in Pmag_Results.	70.7	4	4	Ma					76.6	7	7	0	r	6.9217	0
mc158	McMurdo	mc158h1:mc158d1:mc158f1:mc158a1:mc158b2:mc158b1:mc158c1	mc158h:mc158i:mc158j:mc158d:mc158e:mc158f:mc158g:mc158a:mc158b:mc158c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						3.74	0.125	Ma	0.000004519	1	0	0							
mc160	McMurdo	mc160j2:mc160j1:mc160h2:mc160f2:mc160e2:mc160e1:mc160c1:mc160b1:mc160a2:mc160a1	mc160l:mc160k:mc160j:mc160i:mc160h:mc160g:mc160f:mc160e:mc160d:mc160c:mc160b:mc160a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		3.47	0.025	Ma	0.0000218	2	0.000001296	5.944							
mc161	McMurdo	mc161a1:mc161b1:mc161e1:mc161f1:mc161g1:mc161j1:mc161k1	mc161a:mc161b:mc161c:mc161d:mc161e:mc161f:mc161g:mc161h:mc161i:mc161j:mc161k	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00000495	2	0.000001204	24.31							
mc162	McMurdo	mc162g1:mc162f1:mc162c1:mc162b1:mc162b2:mc162i1:mc162j1	mc162e:mc162d:mc162g:mc162f:mc162a:mc162c:mc162b:mc162i:mc162h:mc162j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						2.56	0.065	Ma	0.000008423	1	0	0							
mc163	McMurdo	mc163f1:mc163d1:mc163e1:mc163b1:mc163c1:mc163a1:mc163h1	mc163f:mc163g:mc163d:mc163e:mc163b:mc163c:mc163a:mc163j:mc163k:mc163h:mc163i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2	A	175.6	Direction included in Pmag_Results.	51.5	1.5	0.75	Ma					261.2	6	5	1	r	5.9828	0
mc164	McMurdo	mc164f1:mc164i1:mc164c1:mc164b1:mc164a2-1:mc164a2:mc164a1:mc164g2:mc164j1:mc164h1:mc164l2	mc164f:mc164e:mc164d:mc164i:mc164c:mc164b:mc164a:mc164g:mc164k:mc164j:mc164h:mc164l	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.364	0.05	Ma	0.00008129	3	0.00000006483	0.07975							
mc165	McMurdo	mc165g1:mc165a1:mc165b2:mc165b1:mc165c1:mc165c2:mc165h2:mc165i2	mc165g:mc165d:mc165e:mc165f:mc165a:mc165b:mc165c:mc165h:mc165i:mc165j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.451	0.03	Ma	0.00002628	4	0.000001685	6.412							
mc166	McMurdo	mc166i2:mc166i1:mc166h2:mc166a1:mc166c1:mc166c2:mc166b1:mc166b2	mc166i:mc166h:mc166j:mc166l:mc166a:mc166c:mc166b:mc166e:mc166d:mc166g:mc166f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						1.334	0.06	Ma	0.00002911	4	0.000006716	23.07							
mc167	McMurdo	mc167j1:mc167k1:mc167h1:mc167b1:mc167a1:mc167f2:mc167d2:mc167e1:mc167e2	mc167j:mc167k:mc167h:mc167i:mc167b:mc167c:mc167a:mc167f:mc167g:mc167d:mc167e	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.5	0.75	Ma	0.00004346	3	0.000001128	2.596							
mc168	McMurdo	mc168f1:mc168d1:mc168c2:mc168c1:mc168a1:mc168k1:mc168j1:mc168i1:mc168h1:mc168h2	mc168g:mc168f:mc168e:mc168d:mc168c:mc168b:mc168a:mc168l:mc168k:mc168j:mc168i:mc168h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3	A	187.3	Direction included in Pmag_Results.	68.2	1.38	0.025	Ma					398.3	7	7	0	r	6.9849	0
mc170	McMurdo	mc170f1:mc170d1:mc170e2:mc170c2:mc170a1	mc170f:mc170g:mc170d:mc170e:mc170b:mc170c:mc170a:mc170j:mc170k:mc170h:mc170i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	0.9	A	2.7	Direction included in Pmag_Results.	-87.2	1.03	0.05	Ma					7835.9	5	5	0	n	4.9995	0
mc19	McMurdo	mc19g:mc19f:mc19e:mc19c:mc19b:mc19a:mc19d	mc19h:mc19g:mc19f:mc19e:mc19c:mc19b:mc19a:mc19d	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00002518	1	0	0							
mc20	McMurdo	mc20h:mc20c:mc20b:mc20a:mc20f:mc20e:mc20d	mc20h:mc20c:mc20b:mc20a:mc20g:mc20f:mc20e:mc20d	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9	A	138.7	Direction included in Pmag_Results.	-77.3	0.77	0.016	Ma					243.7	7	7	0	n	6.9754	0
mc200	McMurdo	mc200h1:mc200i1:mc200d2:mc200d1:mc200a2:mc200a1:mc200b2:mc200b1:mc200c2:mc200c1	mc200h:mc200i:mc200j:mc200k:mc200d:mc200e:mc200f:mc200g:mc200a:mc200b:mc200c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.073	0.005	Ma	0.00001431	3	0.000001222	8.545							
mc201	McMurdo	mc201j1:mc201c1:mc201b1:mc201b2:mc201a1:mc201e1:mc201d1	mc201j:mc201i:mc201h:mc201c:mc201b:mc201a:mc201g:mc201f:mc201e:mc201d	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4	A	256.8	Direction included in Pmag_Results.	-79.6	0.089	0.005	Ma					385.7	6	6	0	n	5.987	0
mc202	McMurdo	mc202b1:mc202c1:mc202a1:mc202f1:mc202d1:mc202j1:mc202h1	mc202b:mc202c:mc202a:mc202f:mc202g:mc202d:mc202e:mc202j:mc202h:mc202i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.3	A	341.0	Direction included in Pmag_Results.	-47.1	0.539	0.006	Ma					3519.1	5	5	0	n	4.9989	0
mc203	McMurdo	mc203a1:mc203c1:mc203b1:mc203d1:mc203g1:mc203h1	mc203a:mc203c:mc203b:mc203e:mc203d:mc203g:mc203f:mc203i:mc203h:mc203j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.8	A	137.0	Direction included in Pmag_Results.	77.1	4	4	Ma					1785.1	5	5	0	r	4.9978	0
mc204	McMurdo	mc204h1:mc204k1:mc204l1:mc204a1:mc204b1:mc204c1	mc204h:mc204i:mc204j:mc204k:mc204l:mc204a:mc204b:mc204c:mc204d:mc204e:mc204f:mc204g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	99.4	Direction included in Pmag_Results.	-75.8	0.04	0.05	Ma					586.7	5	5	0	n	4.9932	0
mc205	McMurdo	mc205e1:mc205d1:mc205c1:mc205b1:mc205a1-1:mc205a2:mc205a1:mc205k1:mc205i2:mc205h1:mc205h2	mc205g:mc205f:mc205e:mc205d:mc205c:mc205b:mc205a:mc205k:mc205j:mc205i:mc205h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						0.368	0.01	Ma	0.00004716	4	0.00001222	25.9							
mc206	McMurdo	mc206k1:mc206h1:mc206i1:mc206f1:mc206g1:mc206d1:mc206e1:mc206b1:mc206c1:mc206a1	mc206j:mc206k:mc206h:mc206i:mc206f:mc206g:mc206d:mc206e:mc206b:mc206c:mc206a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						0.5	0.5	Ma	0.00007767	1	0	0							
mc207	McMurdo	mc207h2:mc207k2:mc207d1:mc207g2:mc207a1:mc207b1	mc207i:mc207h:mc207k:mc207j:mc207e:mc207d:mc207g:mc207f:mc207a:mc207c:mc207b	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.3	A	46.8	Direction included in Pmag_Results.	-70.6	4	4	Ma					313.2	5	5	0	n	4.9872	0
mc208	McMurdo	mc208d2:mc208e2:mc208f2:mc208a1:mc208b1:mc208c2	mc208d:mc208e:mc208f:mc208g:mc208a:mc208b:mc208c:mc208h:mc208i:mc208j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9	A	38.1	Direction included in Pmag_Results.	-66.6	4	4	Ma					315.1	6	5	1	n	5.9857	0
mc209	McMurdo	mc209c2:mc209b2:mc209b1:mc209a1:mc209f1:mc209e2	mc209c:mc209b:mc209a:mc209g:mc209f:mc209e:mc209d:mc209j:mc209i:mc209h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2	A	60.3	Direction included in Pmag_Results.	-61.6	4	4	Ma					979.8	6	5	1	n	5.9954	0
mc21	McMurdo	mc21d:mc21e:mc21f:mc21g:mc21a:mc21b:mc21c:mc21h	mc21d:mc21e:mc21f:mc21g:mc21a:mc21b:mc21c:mc21h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.00004503	4	0.000003422	7.599							
mc210	McMurdo	mc210e1:mc210a2:mc210c2:mc210b1:mc210b2:mc210i2	mc210e:mc210d:mc210g:mc210f:mc210a:mc210c:mc210b:mc210i:mc210h:mc210j	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.9	A	50.0	Direction included in Pmag_Results.	-69.5	4	4	Ma					1627.2	5	5	0	n	4.9975	0
mc211	McMurdo	mc211g2:mc211g1:mc211e2:mc211e1:mc211b2:mc211b1:mc211a1:mc211h1:mc211i1	mc211f:mc211g:mc211d:mc211e:mc211b:mc211c:mc211a:mc211j:mc211h:mc211i	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00008601	2	0.00001529	17.78							
mc212	McMurdo	mc212g2:mc212d2:mc212c2:mc212b1:mc212b2:mc212a1	mc212l:mc212k:mc212j:mc212i:mc212h:mc212g:mc212f:mc212e:mc212d:mc212c:mc212b:mc212a	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2	A	43.6	Direction included in Pmag_Results.	19.2	2.6	0.15	Ma					1207.4	5	5	0	t	4.9967	0
mc213	McMurdo	mc213b1:mc213e2:mc213f2:mc213g2:mc213h2:mc213i2	mc213a:mc213b:mc213c:mc213d:mc213e:mc213f:mc213g:mc213h:mc213i:mc213j:mc213k	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.3	A	180.6	Direction included in Pmag_Results.	70.7	2.5	2.5	Ma					323.6	5	5	0	r	4.9876	0
mc214	McMurdo	mc214h1:mc214j1:mc214j2:mc214a2:mc214b1:mc214b2:mc214d2:mc214d1:mc214g2:mc214g1	mc214i:mc214h:mc214j:mc214a:mc214c:mc214b:mc214e:mc214d:mc214g:mc214f	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		2.5	2.5	Ma	0.00004381	5	0.000003126	7.134							
mc215	McMurdo	mc215h2:mc215h1:mc215i1:mc215b1:mc215c1:mc215c2:mc215a1:mc215a2:mc215d2:mc215d1	mc215j:mc215h:mc215i:mc215b:mc215c:mc215a:mc215f:mc215g:mc215d:mc215e	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1	A	341.2	Direction included in Pmag_Results.	-79.2	0.342	0.01	Ma					590.4	9	8	1	n	8.9873	0
mc216	McMurdo	mc216c1:mc216c2:mc216b1:mc216a2:mc216a1:mc216g1:mc216g2:mc216f2:mc216f1:mc216h2	mc216c:mc216b:mc216a:mc216g:mc216f:mc216e:mc216d:mc216j:mc216i:mc216h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8	A	345.1	Direction included in Pmag_Results.	-45.2	0.508	0.01	Ma					135.2	6	6	0	n	5.963	0
mc217	McMurdo	mc217d1:mc217d2:mc217e1:mc217e2:mc217a2-1:mc217a2:mc217a1:mc217b1:mc217b2:mc217c1:mc217c2	mc217d:mc217e:mc217f:mc217g:mc217a:mc217b:mc217c:mc217h:mc217i:mc217j:mc217k	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						0.157	0.005	Ma	0.00003032	5	0.000004625	15.25							
mc218	McMurdo	mc218i1:mc218i2:mc218j1:mc218j2:mc218d1:mc218d2:mc218a2:mc218a1:mc218b1:mc218b2	mc218l:mc218i:mc218h:mc218k:mc218j:mc218e:mc218d:mc218g:mc218f:mc218a:mc218c:mc218b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.026	0.005	Ma	0.0000343	5	0.00000248	7.231							
mc219	McMurdo	mc219d2:mc219d1:mc219e1:mc219e2:mc219b1:mc219b2:mc219c1:mc219c2:mc219a1:mc219a2	mc219l:mc219j:mc219k:mc219h:mc219i:mc219f:mc219g:mc219d:mc219e:mc219b:mc219c:mc219a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.334	0.122	Ma	0.00003025	4	0.000003807	12.59							
mc220	McMurdo	mc220f2:mc220d1:mc220d2:mc220e1:mc220b1:mc220b2:mc220c2:mc220c1:mc220a1:mc220a2	mc220j:mc220h:mc220i:mc220f:mc220g:mc220d:mc220e:mc220b:mc220c:mc220a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.531	0.02	Ma	0.00005394	4	0.000001238	2.295							
mc221	McMurdo	mc221i2:mc221h2:mc221j2:mc221d2:mc221c1:mc221b1	mc221i:mc221h:mc221j:mc221e:mc221d:mc221g:mc221f:mc221a:mc221c:mc221b	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	275.7	Direction included in Pmag_Results.	-82.8	0.121	0.005	Ma					470.3	6	5	1	n	5.9904	0
mc222	McMurdo	mc222h2:mc222j2:mc222a1:mc222b1:mc222c1:mc222e1	mc222h:mc222i:mc222j:mc222a:mc222b:mc222c:mc222d:mc222e:mc222f:mc222g	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.1	A	190.4	Direction included in Pmag_Results.	-52.7	0.11	0.006	Ma					273.9	6	5	1	t	5.9836	0
mc223	McMurdo	mc223g1:mc223f1:mc223e1:mc223d1:mc223c1:mc223c2:mc223b1:mc223a2:mc223a1:mc223l1	mc223g:mc223f:mc223e:mc223d:mc223c:mc223b:mc223a:mc223l:mc223k:mc223j:mc223i:mc223h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.378	0.014	Ma	0.00002153	4	0.000002646	12.29							
mc224	McMurdo	mc224b1:mc224b2:mc224c2:mc224a1:mc224f2:mc224e2	mc224b:mc224c:mc224a:mc224f:mc224g:mc224d:mc224e:mc224j:mc224k:mc224h:mc224i:mc224l:mc224m	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.5	A	190.2	Direction included in Pmag_Results.	-61.6	0.033	0.006	Ma					927.2	5	5	0	t	4.9957	0
mc225	McMurdo	mc225a1:mc225a2:mc225c2:mc225c1:mc225b1:mc225d2:mc225d1:mc225g2:mc225f2:mc225i1	mc225a:mc225c:mc225b:mc225e:mc225d:mc225g:mc225f:mc225i:mc225h:mc225k:mc225j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.057	0.005	Ma	0.00002855	4	0.000003136	10.99							
mc226	McMurdo	mc226d2:mc226f2:mc226g2:mc226a1:mc226b2:mc226b1	mc226h:mc226i:mc226j:mc226k:mc226d:mc226e:mc226f:mc226g:mc226a:mc226b:mc226c	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						0.243	0.001	Ma	0.00002528	1	0	0							
mc227	McMurdo	mc227h2:mc227c2:mc227b2:mc227b1:mc227f2:mc227d2	mc227j:mc227i:mc227h:mc227c:mc227b:mc227a:mc227g:mc227f:mc227e:mc227d	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.4	A	220.3	Direction included in Pmag_Results.	60.3	4.5	0.3	Ma					2807.9	5	5	0	r	4.9986	0
mc228	McMurdo	mc228g2:mc228g1:mc228d2:mc228d1:mc228e2:mc228e1:mc228b2:mc228b1:mc228a2:mc228a1	mc228f:mc228g:mc228d:mc228e:mc228b:mc228c:mc228a:mc228j:mc228h:mc228i	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.9	A	217.5	Direction included in Pmag_Results.	63.9	2.5	2.5	Ma					276.7	10	10	0	r	9.9675	0
mc229	McMurdo	mc229e2:mc229b2:mc229b1:mc229g1:mc229g2:mc229a2:mc229i1:mc229h2:mc229h1:mc229k1	mc229e:mc229c:mc229b:mc229d:mc229g:mc229f:mc229a:mc229i:mc229h:mc229k:mc229j	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		1.07	0.09	Ma	0.00003123	3	0.00000393	12.58							
mc26	McMurdo	mc26a:mc26c:mc26b:mc26e:mc26d:mc26g:mc26f:mc26h	mc26a:mc26c:mc26b:mc26e:mc26d:mc26g:mc26f:mc26h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00002768	2	0.000006865	24.81							
mc28	McMurdo	mc28c:mc28b:mc28a:mc28g:mc28f:mc28e:mc28d:mc28h	mc28c:mc28b:mc28a:mc28g:mc28f:mc28e:mc28d:mc28h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						0.06	0.003	Ma	0.0000129	1	0	0							
mc29	McMurdo	mc29h:mc29d:mc29e:mc29f:mc29g:mc29a:mc29b:mc29c	mc29h:mc29d:mc29e:mc29f:mc29g:mc29a:mc29b:mc29c	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3	A	12.0	Direction included in Pmag_Results.	-78.7	0.18	0.04	Ma					395.5	7	7	0	n	6.9848	0
mc30	McMurdo	mc30b:mc30c:mc30a:mc30f:mc30g:mc30d:mc30e:mc30h	mc30b:mc30c:mc30a:mc30f:mc30g:mc30d:mc30e:mc30h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		4	4	Ma	0.00004263	4	0.0000003847	0.9023							
mc31	McMurdo	mc31c:mc31b:mc31d:mc31f:mc31h	mc31a:mc31c:mc31b:mc31e:mc31d:mc31g:mc31f:mc31h	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2	A	298.7	Direction included in Pmag_Results.	-86.1	4	4	Ma					586.8	5	5	0	n	4.9932	0
mc32	McMurdo	mc32h:mc32a:mc32b:mc32c:mc32d:mc32e:mc32f:mc32g	mc32h:mc32a:mc32b:mc32c:mc32d:mc32e:mc32f:mc32g	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00003328	3	0.000005899	17.72							
mc33	McMurdo	mc33h:mc33g:mc33f:mc33e:mc33d:mc33c:mc33b:mc33a	mc33h:mc33g:mc33f:mc33e:mc33d:mc33c:mc33b:mc33a	Lisa Tauxe	This study		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3	A	9.6	Direction included in Pmag_Results.	-75.7	4	4	Ma					349.4	8	8	0	n	7.98	0
mc34	McMurdo	mc34h:mc34f:mc34d:mc34e:mc34b:mc34c:mc34a	mc34h:mc34f:mc34g:mc34d:mc34e:mc34b:mc34c:mc34a	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						4	4	Ma	0.00002305	1	0	0							
mc35	McMurdo	mc35h:mc35e:mc35d:mc35g:mc35f:mc35a:mc35c:mc35b	mc35h:mc35e:mc35d:mc35g:mc35f:mc35a:mc35c:mc35b	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.12	0.01	Ma	0.00002411	2	0.000002766	11.47							
mc36	McMurdo	mc36d:mc36e:mc36f:mc36g:mc36a:mc36b:mc36c:mc36h	mc36d:mc36e:mc36f:mc36g:mc36a:mc36b:mc36c:mc36h	Lisa Tauxe	This study		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC				Intensity included in Pmag_Results.		0.12	0.01	Ma	0.00002569	4	0.000002957	11.51							
