tab	pmag_specimens
er_specimen_name	er_sample_name	er_site_name	er_location_name	er_analyst_mail_names	er_citation_names	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_gamma	specimen_inc	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_mad	specimen_md	specimen_n	specimen_q	specimen_rsc	specimen_tilt_correction
mc126a2	mc126a	mc126	McMurdo	Lisa Tauxe	This study	mc126a2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		6.3	l					-79.9						1.2		13			0
mc126c1	mc126c	mc126	McMurdo	Lisa Tauxe	This study	mc126c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		23.3	l					-77						0.6		12			0
mc126c2	mc126c	mc126	McMurdo	Lisa Tauxe	This study	mc126c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	723	K					A	u		13.7	l					-81.1						2.8		6			0
mc126d1	mc126d	mc126	McMurdo	Lisa Tauxe	This study	mc126d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		274.0	l					-76.1						0.7		12			0
mc126e1	mc126e	mc126	McMurdo	Lisa Tauxe	This study	mc126e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		24.7	l					-77.8						0.6		11			0
mc126f1	mc126f	mc126	McMurdo	Lisa Tauxe	This study	mc126f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	673	K					A	u		350.4	l					-78.2						2.4		8			0
mc126g1	mc126g	mc126	McMurdo	Lisa Tauxe	This study	mc126g1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		343.0	l					-73.3						0.6		12			0
mc126i1	mc126i	mc126	McMurdo	Lisa Tauxe	This study	mc126i1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	823	673	K					A	u		27.0	l					-75.9						1.1		8			0
mc127a1	mc127a	mc127	McMurdo	Lisa Tauxe	This study	mc127a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		328.9	l					-67.3						1.5		13			0
mc127a2	mc127a	mc127	McMurdo	Lisa Tauxe	This study	mc127a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	423	K		-1.582	0.023	0.036		u	0.8	43.9	l	16.1	0.878	0.867	0.5	-73.1	0.000039562	1.9	16	7	0.000025		-1		35.5	0.9929	-1
mc127b1	mc127b	mc127	McMurdo	Lisa Tauxe	This study	mc127b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		327.7	l					-66.7						1		13			0
mc127c1	mc127c	mc127	McMurdo	Lisa Tauxe	This study	mc127c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	423	K		-1.496	0.01	0.015		u	0.7	347.2	l	14	0.92	0.92	0.6	-83.1	0.00003741	1.1	16	7	0.000025		-1		82.6	0.9986	-1
mc127d1	mc127d	mc127	McMurdo	Lisa Tauxe	This study	mc127d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	423	K		-1.461	0.01	0.015		u	1	325.9	l	17.2	0.908	0.89	0.6	-73.7	0.000036536	1.6	16	7	0.000025		-1		79.7	0.9985	-1
mc127f1	mc127f	mc127	McMurdo	Lisa Tauxe	This study	mc127f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		315.9	l					-65.5						1.4		12			0
mc127g2	mc127g	mc127	McMurdo	Lisa Tauxe	This study	mc127g2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.03	T					A	u		338.6	l					-67.2						1.6		9			0
mc127i1	mc127i	mc127	McMurdo	Lisa Tauxe	This study	mc127i1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		318.6	l					-70.5						2		12			0
mc128b1	mc128b	mc128	McMurdo	Lisa Tauxe	This study	mc128b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		49.5	l					-81.4						3.8		13			0
mc128b2	mc128b	mc128	McMurdo	Lisa Tauxe	This study	mc128b2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	833	473	K		-1.307	0.035	0.045		u	1.3	350.7	l	4.2	0.792	0.717	2.6	-30.9	0.000032681	3.2	12	7	0.000025		-1		20.3	0.9881	-1
mc128c2	mc128c	mc128	McMurdo	Lisa Tauxe	This study	mc128c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	838	423	K		-1.496	0.024	0.036		u	1	349.3	l	3.3	0.898	0.809	1.8	-13.9	0.000037394	3.1	14	7	0.000025		-1		32.4	0.9929	-1
mc128d1	mc128d	mc128	McMurdo	Lisa Tauxe	This study	mc128d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		47.1	l					-83						3.3		12			0
mc128e1	mc128e	mc128	McMurdo	Lisa Tauxe	This study	mc128e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	838	273	K					A	u		1.1	p					-1.1						6.8		15			0
mc128e2	mc128e	mc128	McMurdo	Lisa Tauxe	This study	mc128e2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		47.2	l					-74.8						2.8		13			0
mc128f1	mc128f	mc128	McMurdo	Lisa Tauxe	This study	mc128f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		41.8	l					-80.3						2.8		11			0
mc128h1	mc128h	mc128	McMurdo	Lisa Tauxe	This study	mc128h1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.01	T					A	u		50.2	l					-77						3.6		12			0
mc128j1	mc128j	mc128	McMurdo	Lisa Tauxe	This study	mc128j1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	423	K		-1.312	0.031	0.041		u	0.4	348.7	l	5	0.885	0.897	1.2	-10	0.000032797	2.5	15	7	0.000025		-1		25.5	0.9872	-1
mc129a1	mc129a	mc129	McMurdo	Lisa Tauxe	This study	mc129a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		27.8	l					-53.4						1.9		13			0
mc129a2	mc129a	mc129	McMurdo	Lisa Tauxe	This study	mc129a2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	843	523	K					A	u		27.3	l					-56.5						4.8		12			0
mc129b1	mc129b	mc129	McMurdo	Lisa Tauxe	This study	mc129b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	873	793	K		-1.997	0.019	0.038		u	0.2	51.3	l	42	0.39	0.667	0.4	-41.5	0.000049913	1.7	11	10	0.000025		-1		13.3	0.9968	-1
mc129c1	mc129c	mc129	McMurdo	Lisa Tauxe	This study	mc129c1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	873	793	K		-1.959	0.025	0.048		u	0.3	55.2	l	40.8	0.367	0.646	0.2	-49.9	0.000048964	1.7	11	10	0.000025		-1		9.6	0.9945	-1
mc129c2	mc129c	mc129	McMurdo	Lisa Tauxe	This study	mc129c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-DIR-T:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	843	423	K					A	u		27.3	l					-57.6						4.6		14			0
mc129f1	mc129f	mc129	McMurdo	Lisa Tauxe	This study	mc129f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		17.7	l					-51.9						4		13			0
mc129h2	mc129h	mc129	McMurdo	Lisa Tauxe	This study	mc129h2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		20.1	l					-52.8						4.4		12			0
mc129j1	mc129j	mc129	McMurdo	Lisa Tauxe	This study	mc129j1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		15.7	l					-54.2						2.9		13			0
mc129l1	mc129l	mc129	McMurdo	Lisa Tauxe	This study	mc129l1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	893	773	K		-0.726	0.018	0.013		u	0.6	337.0	l	26.8	0.485	0.518	3.3	-11.2	0.000018143	3.1	13	10	0.000025		-1		17.7	0.9965	-1
mc130a1	mc130a	mc130	McMurdo	Lisa Tauxe	This study	mc130a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	673	K		-1.173	0.181	0.212		u	2.7	203.2	l	32.1	0.688	0.505	1	15.8	0.000029331	5.3	10	7	0.000025		-1		3.2	0.7557	-1
mc130a2	mc130a	mc130	McMurdo	Lisa Tauxe	This study	mc130a2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.02	T					A	u		151.4	l					47.7						1.5		10			0
mc130b1	mc130b	mc130	McMurdo	Lisa Tauxe	This study	mc130b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		146.9	l					47.6						1.5		13			0
mc130d1	mc130d	mc130	McMurdo	Lisa Tauxe	This study	mc130d1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	723	K		-0.844	0.262	0.221		u	1.5	190.6	l	37.8	0.546	0.305	0	17.3	0.000021107	2.4	9	7	0.000025		-1		1.8	0.578	-1
mc130e1	mc130e	mc130	McMurdo	Lisa Tauxe	This study	mc130e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		158.8	l					47.9						2.4		11			0
mc130g2	mc130g	mc130	McMurdo	Lisa Tauxe	This study	mc130g2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.015	T					A	u		150.2	l					47.7						2.2		11			0
mc130h1	mc130h	mc130	McMurdo	Lisa Tauxe	This study	mc130h1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	793	K		-0.687	0.102	0.07		u	4.4	233.0	l	6	0.491	0.267	1.3	-2.5	0.000017167	3.7	9	8	0.000025		-1		4	0.9278	-1
mc131a3	mc131a	mc131	McMurdo	Lisa Tauxe	This study	mc131a3-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		14.2	l					-58						1.3		13			0
mc131b1	mc131b	mc131	McMurdo	Lisa Tauxe	This study	mc131b1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	873	423	K		-0.646	0.011	0.007		u	1.3	347.5	l	1.9	0.898	0.855	1.4	-29.2	0.000016139	2.9	20	10	0.000025		-1		76.5	0.9979	-1
mc131c2	mc131c	mc131	McMurdo	Lisa Tauxe	This study	mc131c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	843	523	K		-0.674	0.016	0.011		u	1.2	352.6	l	0.7	0.844	0.774	0.3	-31.4	0.000016846	2.9	12	6	0.000025		-1		45.8	0.9973	-1
mc131d2	mc131d	mc131	McMurdo	Lisa Tauxe	This study	mc131d2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	833	573	K		-0.646	0.021	0.014		u	1.4	329.5	l	0.6	0.717	0.668	0.2	-38.8	0.000016157	2.9	10	6	0.000025		-1		29.9	0.9965	-1
mc131e1	mc131e	mc131	McMurdo	Lisa Tauxe	This study	mc131e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	873	573	K		-0.661	0.013	0.009		u	0.9	35.4	l	2.9	0.831	0.785	2.3	-35.4	0.000016517	1.8	16	7	0.000025		-1		57.1	0.9976	-1
mc131f1	mc131f	mc131	McMurdo	Lisa Tauxe	This study	mc131f1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.04	T					A	u		25.2	l					-58.9						1.6		8			0
mc131g1	mc131g	mc131	McMurdo	Lisa Tauxe	This study	mc131g1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	893	423	K		-0.732	0.015	0.011		u	0.9	351.1	l	9.2	0.894	0.848	1.3	-11.9	0.000018297	2.5	23	8	0.000025		-1		53.7	0.995	-1
mc131k1	mc131k	mc131	McMurdo	Lisa Tauxe	This study	mc131k1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		31.6	l					-60.2						1.5		13			0
mc132a1	mc132a	mc132	McMurdo	Lisa Tauxe	This study	mc132a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	0.08	0	T					A	u		133.2	p					33.5						4.2		10			0
mc132c1	mc132c	mc132	McMurdo	Lisa Tauxe	This study	mc132c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		183.3	p					58.2						4.1		8			0
mc132d1	mc132d	mc132	McMurdo	Lisa Tauxe	This study	mc132d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.12	0.005	T					A	u		8.2	l					38.1						2.5		11			0
mc132e1	mc132e	mc132	McMurdo	Lisa Tauxe	This study	mc132e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.06	0.005	T					A	u		10.1	l					37.3						8.5		8			0
mc132e2	mc132e	mc132	McMurdo	Lisa Tauxe	This study	mc132e2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	473	K		-0.139	0.049	0.007		u	5.1	233.8	l	1.8	0.87	0.743	3	26.5	0.0000034638	3.5	10	5	0.000025		-1		15.3	0.9811	-1
mc132f2	mc132f	mc132	McMurdo	Lisa Tauxe	This study	mc132f2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	473	K		-0.131	0.059	0.008		u	9.6	190.5	l	6.3	0.835	0.695	1.2	20.1	0.000003269	7.9	10	5	0.000025		-1		12.2	0.9722	-1
mc132g2	mc132g	mc132	McMurdo	Lisa Tauxe	This study	mc132g2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	473	K		-0.131	0.088	0.012		u	4.7	309.3	l	13.8	0.796	0.731	1.4	47	0.000003283	3.9	10	5	0.000025		-1		7.9	0.9394	-1
mc132h2	mc132h	mc132	McMurdo	Lisa Tauxe	This study	mc132h2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	473	K		-0.127	0.065	0.008		u	2.7	201.1	l	12.6	0.817	0.71	4.4	36.6	0.0000031635	4.1	10	5	0.000025		-1		10.8	0.9664	-1
mc132i2	mc132i	mc132	McMurdo	Lisa Tauxe	This study	mc132i2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	813	473	K		-0.138	0.099	0.014		u	6.2	112.0	l	15.4	0.798	0.649	1.9	30.6	0.0000034481	6.2	10	5	0.000025		-1		6.5	0.9226	-1
mc132j1	mc132j	mc132	McMurdo	Lisa Tauxe	This study	mc132j1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	573	K		-0.123	0.045	0.006		u	7.5	96.3	l	8.8	0.733	0.589	3.9	38.7	0.0000030716	5.9	9	5	0.000025		-1		12.1	0.9859	-1
mc132j2	mc132j	mc132	McMurdo	Lisa Tauxe	This study	mc132j2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFP:DA-DIR-GEO	pmagpy-2.58	0.06	0	T					A	u		307.4	p					-37.6						14.3		8			0
mc132k1	mc132k	mc132	McMurdo	Lisa Tauxe	This study	mc132k1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	473	K		-0.134	0.069	0.009		u	6.9	105.6	l	17	0.824	0.671	3.7	38.9	0.0000033592	7.4	11	5	0.000025		-1		10	0.9576	-1
mc132l1	mc132l	mc132	McMurdo	Lisa Tauxe	This study	mc132l1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.08	0.005	T					A	u		357.2	l					39.9						2.1		9			0
mc133b2	mc133b	mc133	McMurdo	Lisa Tauxe	This study	mc133b2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		351.1	l					-88.4						1.3		12			0
mc133d1	mc133d	mc133	McMurdo	Lisa Tauxe	This study	mc133d1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		112.0	l					-81.6						3		12			0
mc133f1	mc133f	mc133	McMurdo	Lisa Tauxe	This study	mc133f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	423	K		-1.754	0.03	0.052		u	0.5	6.3	l	6.5	0.878	0.881	1.4	-69.8	0.000043854	1.2	16	7	0.000025		-1		25.6	0.9876	-1
mc133f2	mc133f	mc133	McMurdo	Lisa Tauxe	This study	mc133f2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		16.8	l					-80.5						1.7		12			0
mc133g1	mc133g	mc133	McMurdo	Lisa Tauxe	This study	mc133g1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	673	K		-1.95	0.022	0.043		u	0.8	27.7	l	13.3	0.564	0.559	0.6	-19	0.000048738	4.1	11	7	0.000025		-1		22	0.9957	-1
mc133h1	mc133h	mc133	McMurdo	Lisa Tauxe	This study	mc133h1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		357.4	l					-85.5						3.6		12			0
mc133j1	mc133j	mc133	McMurdo	Lisa Tauxe	This study	mc133j1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.15	0.005	T					A	u		36.1	l					-87.6						3.3		12			0
mc133l1	mc133l	mc133	McMurdo	Lisa Tauxe	This study	mc133l1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	853	773	K		-1.891	0.028	0.054		u	0.7	39.6	l	18.4	0.372	0.34	0.2	-29	0.000047263	3.2	8	7	0.000025		-1		10.1	0.9952	-1
mc134a1	mc134a	mc134	McMurdo	Lisa Tauxe	This study	mc134a1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		351.5	l					-84.3						0.8		13			0
mc134c1	mc134c	mc134	McMurdo	Lisa Tauxe	This study	mc134c1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		21.5	l					-86.1						0.7		11			0
mc134c2	mc134c	mc134	McMurdo	Lisa Tauxe	This study	mc134c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	723	423	K		-0.744	0.132	0.098		u	13.2	354.5	l	16.2	0.855	0.478	1.9	-38.1	0.000018596	10.7	7	5	0.000025		-1		5.3	0.9149	-1
mc134e1	mc134e	mc134	McMurdo	Lisa Tauxe	This study	mc134e1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		352.4	l					-85.4						1.3		13			0
mc134f1	mc134f	mc134	McMurdo	Lisa Tauxe	This study	mc134f1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	823	673	K		-0.088	0.357	0.031		u	19.9	352.0	l	35.9	0.389	0.041	1.5	-70.4	0.0000021912	17.4	7	5	0.000025		-1		0.7	0.4647	-1
mc134k1	mc134k	mc134	McMurdo	Lisa Tauxe	This study	mc134k1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		37.0	l					-82.4						1.3		12			0
mc135a1	mc135a	mc135	McMurdo	Lisa Tauxe	This study	mc135a1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	833	623	K		-1.421	0.028	0.04		u	1	341.6	l	23.4	0.726	0.774	1	-30.4	0.000035534	1.4	10	7	0.000025		-1		22	0.9935	-1
mc135b1	mc135b	mc135	McMurdo	Lisa Tauxe	This study	mc135b1-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		273.5	l					-71.4						2.8		13			0
mc135c2	mc135c	mc135	McMurdo	Lisa Tauxe	This study	mc135c2-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	773	273	K		-1.643	0.093	0.153		u	1.4	11.3	l	1.7	0.932	0.854	1.9	-66.4	0.000041081	3.5	10	7	0.000025		-1		8.2	0.9319	-1
mc135d2	mc135d	mc135	McMurdo	Lisa Tauxe	This study	mc135d2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0	0.005	T					A	u		276.5	l					-81.2						0.9		10			0
mc135e1	mc135e	mc135	McMurdo	Lisa Tauxe	This study	mc135e1-LP-PI-TRM-LP-PI-ALT-PTRM-LP-PI-BT-IZZI		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	773	623	K		-0.461	0.08	0.037		u	1.6	59.1	l	17.1	0.275	0.082	1.7	-85	0.000011516	3.4	5	6	0.000025		-1		2.4	0.9811	-1
mc135e2	mc135e	mc135	McMurdo	Lisa Tauxe	This study	mc135e2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0	0.005	T					A	u		275.1	l					-80						0.9		11			0
mc135h2	mc135h	mc135	McMurdo	Lisa Tauxe	This study	mc135h2-LP-DIR-AF		LP-DIR-AF:SO-SUN:DE-BFL:DA-DIR-GEO	pmagpy-2.58	0.18	0.005	T					A	u		245.9	l					-79.8						4.5		13			0
