tab	sites
analysts	citations	location	samples	site	specimens	magic_instrument_codes	method_codes	software_packages	criteria	dir_alpha95	geologic_classes	dir_comp_name	dir_dec	site_definition	description	height	dir_inc	age	age_sigma	age_unit	int_abs	int_n_samples	int_abs_sigma	int_abs_sigma_perc	dir_k	lat	lithologies	lon	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_types
Lisa Tauxe	This study	McMurdo	mc14h:mc14d:mc14e:mc14f:mc14g:mc14a:mc14b:mc14c	mc14	mc14h:mc14d:mc14e:mc14f:mc14g:mc14a:mc14b:mc14c		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00006945	3	0.00001431	20.61											
	This study	McMurdo		mc14							Not Specified			s												-77.46000	Not Specified	169.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc140i:mc140h:mc140j:mc140e:mc140d:mc140g:mc140f:mc140a:mc140c:mc140b	mc140	mc140h1:mc140j1:mc140e1:mc140d1:mc140g1:mc140a1:mc140c1:mc140b1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									2.043	0.045	Ma	0.00001746	4	0.000002706	15.5											
	This study	McMurdo		mc140							Not Specified			s												-78.27600	Not Specified	163.004							Not Specified
Lisa Tauxe	This study	McMurdo	mc141l:mc141j:mc141k:mc141h:mc141i:mc141f:mc141g:mc141d:mc141e:mc141b:mc141c	mc141	mc141l1:mc141k2:mc141h3:mc141g1:mc141b1:mc141b2:mc141c1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.6		A	133.0		Direction included in Pmag_Results.		83.5	1.31	0.01	Ma					549.9				7	7	0	r	6.9891	0	
	This study	McMurdo		mc141							Not Specified			s												-77.58000	Not Specified	166.246							Not Specified
Lisa Tauxe	This study	McMurdo	mc142g:mc142f:mc142e:mc142d:mc142c:mc142b:mc142a:mc142k:mc142j:mc142i:mc142h	mc142	mc142f2:mc142e1:mc142e2:mc142d1:mc142c1:mc142c2:mc142b2:mc142k1:mc142k2:mc142i2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC									1.225	0.01	Ma	0.00001563	3	0.00000274	17.54											
	This study	McMurdo		mc142							Not Specified			s												-77.85100	Not Specified	166.68							Not Specified
	This study	McMurdo		mc143							Not Specified			s												-78.24400	Not Specified	162.879							Not Specified
Lisa Tauxe	This study	McMurdo	mc143h:mc143i:mc143j:mc143k:mc143a:mc143b:mc143c:mc143d:mc143e:mc143f:mc143g	mc143	mc143h1:mc143i1:mc143a1:mc143b1:mc143c1:mc143d2:mc143g1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.1		A	29.7		Direction included in Pmag_Results.		-48.6	2.08	0.329	Ma					172.2				6	6	0	n	5.971	0	
	This study	McMurdo		mc144							Not Specified			s												-77.85000	Not Specified	166.688							Not Specified
Lisa Tauxe	This study	McMurdo	mc144a:mc144c:mc144b:mc144e:mc144d:mc144g:mc144f:mc144i:mc144h:mc144k:mc144j	mc144	mc144a1:mc144b1:mc144e1:mc144d1:mc144f1:mc144h1:mc144h2:mc144k1:mc144j1:mc144j2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									1.25	0.5	Ma	0.00001425	4	0.000005946	41.73											
	This study	McMurdo		mc145							Not Specified			s												-77.85000	Not Specified	166.688							Not Specified
Lisa Tauxe	This study	McMurdo	mc145b:mc145c:mc145a:mc145f:mc145g:mc145d:mc145e:mc145j:mc145k:mc145i:mc145n:mc145l:mc145m	mc145	mc145b1:mc145c1:mc145c2:mc145f1:mc145j1:mc145k2:mc145i1:mc145l1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.9	0.06	Ma	0.000006942	4	0.0000002155	3.105											
	This study	McMurdo		mc146							Not Specified			s												-78.22000	Not Specified	162.963							Not Specified
Lisa Tauxe	This study	McMurdo	mc146k:mc146j:mc146i:mc146h:mc146c:mc146b:mc146a:mc146g:mc146f:mc146e:mc146d	mc146	mc146k1:mc146j2:mc146j1:mc146i2:mc146h1:mc146a1:mc146f1:mc146e1:mc146d1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.37	0.21	Ma	0.00001721	2	0.0000007085	4.118											
	This study	McMurdo		mc147							Not Specified			s												-78.19600	Not Specified	162.962							Not Specified
Lisa Tauxe	This study	McMurdo	mc147l:mc147m:mc147n:mc147h:mc147i:mc147j:mc147k:mc147d:mc147e:mc147f:mc147g:mc147a:mc147b:mc147c	mc147	mc147i1:mc147j2:mc147k2:mc147a1:mc147c1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.63	0.16	Ma	0.00002277	4	0.000002539	11.15											
	This study	McMurdo		mc148							Not Specified			s												-77.49200	Not Specified	167.249							Not Specified
Lisa Tauxe	This study	McMurdo	mc148e:mc148d:mc148g:mc148f:mc148a:mc148c:mc148b:mc148i:mc148h:mc148k:mc148j	mc148	mc148d1:mc148f1:mc148a1:mc148c1:mc148b1:mc148i1:mc148k1:mc148j1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.718	0.33	Ma	0.00005156	3	0.000001558	3.021											
	This study	McMurdo		mc149							Not Specified			s												-77.48600	Not Specified	167.187							Not Specified
Lisa Tauxe	This study	McMurdo	mc15f:mc15h:mc15c:mc15b:mc15a:mc15g:mc15e:mc15d	mc15	mc15f:mc15h:mc15c:mc15c2:mc15b:mc15a:mc15g:mc15e:mc15d		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT:DA-AC-AARM	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.33	0.01	Ma	0.00002802	3	0.000002569	9.167											
	This study	McMurdo		mc15							Not Specified			s												-77.47000	Not Specified	169.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc150d:mc150e:mc150f:mc150g:mc150a:mc150b:mc150c:mc150h:mc150i:mc150j	mc150	mc150e1:mc150f1:mc150g1:mc150b1:mc150c1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9		A	253.5		Direction included in Pmag_Results.		84.3	3.57	0.07	Ma					125.5				5	5	0	r	4.9681	0	
	This study	McMurdo		mc150							Not Specified			s												-77.71400	Not Specified	162.637							Not Specified
	This study			mc151							Not Specified			s												-77.48600	Not Specified	167.187							Not Specified
Lisa Tauxe	This study	McMurdo	mc152j:mc152k:mc152h:mc152i:mc152b:mc152c:mc152a:mc152f:mc152g:mc152d:mc152e	mc152	mc152k1:mc152i1:mc152b1:mc152b2:mc152c1:mc152a1:mc152g1:mc152e1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.9		A	327.2		Direction included in Pmag_Results.		-85.3	3.87	0.075	Ma					1325.5				6	5	1	n	5.9966	0	
	This study	McMurdo		mc152							Not Specified			s												-77.71600	Not Specified	162.645							Not Specified
Lisa Tauxe	This study	McMurdo	mc153i:mc153h:mc153k:mc153j:mc153m:mc153l:mc153a:mc153c:mc153e:mc153d:mc153g:mc153f	mc153	mc153i1:mc153j1:mc153m1:mc153a1:mc153a2:mc153c1:mc153e1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC									2.53	0.065	Ma	0.00003448	1	0	0											
	This study	McMurdo		mc153							Not Specified			s												-77.76000	Not Specified	162.144							Not Specified
Lisa Tauxe	This study	McMurdo	mc154a:mc154b:mc154c:mc154d:mc154e:mc154f:mc154g:mc154h:mc154i:mc154j	mc154	mc154a2:mc154a1:mc154b1:mc154e1:mc154f1:mc154h1:mc154j2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			2.19	0.04	Ma	0.00000797	2	0.0000009535	11.96											
	This study	McMurdo		mc154							Not Specified			s												-77.71900	Not Specified	162.626							Not Specified
Lisa Tauxe	This study	McMurdo	mc155n:mc155m:mc155l:mc155k:mc155j:mc155i:mc155h:mc155g:mc155f:mc155e:mc155d:mc155c:mc155b:mc155a	mc155	mc155m1:mc155i1:mc155h1:mc155g1:mc155e2:mc155c1:mc155b1:mc155a1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									1.5	0.025	Ma	0.00002893	3	0.000004604	15.92											
	This study	McMurdo		mc155							Not Specified			s												-77.69900	Not Specified	162.253							Not Specified
	This study	McMurdo		mc156							Not Specified			s												-77.70500	Not Specified	162.592							Not Specified
Lisa Tauxe	This study	McMurdo	mc156f:mc156g:mc156d:mc156e:mc156b:mc156c:mc156a:mc156j:mc156h:mc156i	mc156	mc156f1:mc156g1:mc156b1:mc156c2:mc156c1:mc156a1:mc156h1:mc156i1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2		A	161.3		Direction included in Pmag_Results.		71.1	1.89	0.065	Ma					340.9				5	5	0	r	4.9883	0	
Lisa Tauxe	This study	McMurdo	mc157e:mc157d:mc157g:mc157f:mc157a:mc157c:mc157b:mc157m:mc157l:mc157n:mc157h:mc157k:mc157j	mc157	mc157e2:mc157f1:mc157a2:mc157a1:mc157c2:mc157b1:mc157b2:mc157k1:mc157j1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	6.9		A	262.7		Direction included in Pmag_Results.		70.7	4	4	Ma					76.6				7	7	0	r	6.9217	0	
	This study	McMurdo		mc157							Not Specified			s												-77.70300	Not Specified	162.264							Not Specified
Lisa Tauxe	This study	McMurdo	mc158h:mc158i:mc158j:mc158d:mc158e:mc158f:mc158g:mc158a:mc158b:mc158c	mc158	mc158h1:mc158d1:mc158f1:mc158a1:mc158b2:mc158b1:mc158c1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									3.74	0.125	Ma	0.000004519	1	0	0											
	This study	McMurdo		mc158							Not Specified			s												-77.68800	Not Specified	162.462							Not Specified
	This study			mc16							Not Specified			s												-77.51000	Not Specified	169.38							Not Specified
	This study	McMurdo		mc160							Not Specified			s												-77.68700	Not Specified	162.354							Not Specified
Lisa Tauxe	This study	McMurdo	mc160l:mc160k:mc160j:mc160i:mc160h:mc160g:mc160f:mc160e:mc160d:mc160c:mc160b:mc160a	mc160	mc160j2:mc160j1:mc160h2:mc160f2:mc160e2:mc160e1:mc160c1:mc160b1:mc160a2:mc160a1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			3.47	0.025	Ma	0.0000218	2	0.000001296	5.944											
Lisa Tauxe	This study	McMurdo	mc161a:mc161b:mc161c:mc161d:mc161e:mc161f:mc161g:mc161h:mc161i:mc161j:mc161k	mc161	mc161a1:mc161b1:mc161e1:mc161f1:mc161g1:mc161j1:mc161k1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00000495	2	0.000001204	24.31											
	This study	McMurdo		mc161							Not Specified			s												-77.70200	Not Specified	162.694							Not Specified
	This study	McMurdo		mc162							Not Specified			s												-77.70100	Not Specified	162.69							Not Specified
Lisa Tauxe	This study	McMurdo	mc162e:mc162d:mc162g:mc162f:mc162a:mc162c:mc162b:mc162i:mc162h:mc162j	mc162	mc162g1:mc162f1:mc162c1:mc162b1:mc162b2:mc162i1:mc162j1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									2.56	0.065	Ma	0.000008423	1	0	0											
	This study	McMurdo		mc163							Not Specified			s												-77.70000	Not Specified	162.68							Not Specified
Lisa Tauxe	This study	McMurdo	mc163f:mc163g:mc163d:mc163e:mc163b:mc163c:mc163a:mc163j:mc163k:mc163h:mc163i	mc163	mc163f1:mc163d1:mc163e1:mc163b1:mc163c1:mc163a1:mc163h1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.2		A	175.6		Direction included in Pmag_Results.		51.5	1.5	0.75	Ma					261.2				6	5	1	r	5.9828	0	
Lisa Tauxe	This study	McMurdo	mc164f:mc164e:mc164d:mc164i:mc164c:mc164b:mc164a:mc164g:mc164k:mc164j:mc164h:mc164l	mc164	mc164f1:mc164i1:mc164c1:mc164b1:mc164a2-1:mc164a2:mc164a1:mc164g2:mc164j1:mc164h1:mc164l2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.364	0.05	Ma	0.00008129	3	0.00000006483	0.07975											
	This study	McMurdo		mc164							Not Specified			s												-77.51400	Not Specified	169.33							Not Specified
Lisa Tauxe	This study	McMurdo	mc165g:mc165d:mc165e:mc165f:mc165a:mc165b:mc165c:mc165h:mc165i:mc165j	mc165	mc165g1:mc165a1:mc165b2:mc165b1:mc165c1:mc165c2:mc165h2:mc165i2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.451	0.03	Ma	0.00002628	4	0.000001685	6.412											
	This study	McMurdo		mc165							Not Specified			s												-77.51300	Not Specified	169.332							Not Specified
Lisa Tauxe	This study	McMurdo	mc166i:mc166h:mc166j:mc166l:mc166a:mc166c:mc166b:mc166e:mc166d:mc166g:mc166f	mc166	mc166i2:mc166i1:mc166h2:mc166a1:mc166c1:mc166c2:mc166b1:mc166b2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									1.334	0.06	Ma	0.00002911	4	0.000006716	23.07											
	This study	McMurdo		mc166							Not Specified			s												-77.84900	Not Specified	166.67							Not Specified
	This study	McMurdo		mc167							Not Specified			s												-77.48700	Not Specified	169.294							Not Specified
Lisa Tauxe	This study	McMurdo	mc167j:mc167k:mc167h:mc167i:mc167b:mc167c:mc167a:mc167f:mc167g:mc167d:mc167e	mc167	mc167j1:mc167k1:mc167h1:mc167b1:mc167a1:mc167f2:mc167d2:mc167e1:mc167e2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			1.5	0.75	Ma	0.00004346	3	0.000001128	2.596											
Lisa Tauxe	This study	McMurdo	mc168g:mc168f:mc168e:mc168d:mc168c:mc168b:mc168a:mc168l:mc168k:mc168j:mc168i:mc168h	mc168	mc168f1:mc168d1:mc168c2:mc168c1:mc168a1:mc168k1:mc168j1:mc168i1:mc168h1:mc168h2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3		A	187.3		Direction included in Pmag_Results.		68.2	1.38	0.025	Ma					398.3				7	7	0	r	6.9849	0	
	This study	McMurdo		mc168							Not Specified			s												-77.48800	Not Specified	169.292							Not Specified
	This study			mc169							Not Specified			s												-77.49100	Not Specified	169.28							Not Specified
	This study	McMurdo		mc170							Not Specified			s												-77.85400	Not Specified	166.714							Not Specified
Lisa Tauxe	This study	McMurdo	mc170f:mc170g:mc170d:mc170e:mc170b:mc170c:mc170a:mc170j:mc170k:mc170h:mc170i	mc170	mc170f1:mc170d1:mc170e2:mc170c2:mc170a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	0.9		A	2.7		Direction included in Pmag_Results.		-87.2	1.03	0.05	Ma					7835.9				5	5	0	n	4.9995	0	
Lisa Tauxe	This study	McMurdo	mc19h:mc19g:mc19f:mc19e:mc19c:mc19b:mc19a:mc19d	mc19	mc19g:mc19f:mc19e:mc19c:mc19b:mc19a:mc19d		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00002518	1	0	0											
	This study	McMurdo		mc19							Not Specified			s												-77.86000	Not Specified	165.23							Not Specified
Lisa Tauxe	This study	McMurdo	mc20h:mc20c:mc20b:mc20a:mc20g:mc20f:mc20e:mc20d	mc20	mc20h:mc20c:mc20b:mc20a:mc20f:mc20e:mc20d		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9		A	138.7		Direction included in Pmag_Results.		-77.3	0.77	0.016	Ma					243.7				7	7	0	n	6.9754	0	
	This study	McMurdo		mc20							Not Specified			s												-77.88000	Not Specified	165.02							Not Specified
Lisa Tauxe	This study	McMurdo	mc200h:mc200i:mc200j:mc200k:mc200d:mc200e:mc200f:mc200g:mc200a:mc200b:mc200c	mc200	mc200h1:mc200i1:mc200d2:mc200d1:mc200a2:mc200a1:mc200b2:mc200b1:mc200c2:mc200c1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.073	0.005	Ma	0.00001431	3	0.000001222	8.545											
	This study	McMurdo		mc200							Not Specified			s												-77.54995	Not Specified	166.16148							Not Specified
Lisa Tauxe	This study	McMurdo	mc201j:mc201i:mc201h:mc201c:mc201b:mc201a:mc201g:mc201f:mc201e:mc201d	mc201	mc201j1:mc201c1:mc201b1:mc201b2:mc201a1:mc201e1:mc201d1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.4		A	256.8		Direction included in Pmag_Results.		-79.6	0.089	0.005	Ma					385.7				6	6	0	n	5.987	0	
	This study	McMurdo		mc201							Not Specified			s												-77.56284	Not Specified	166.21958							Not Specified
	This study	McMurdo		mc202							Not Specified			s												-77.65674	Not Specified	166.36424							Not Specified
Lisa Tauxe	This study	McMurdo	mc202b:mc202c:mc202a:mc202f:mc202g:mc202d:mc202e:mc202j:mc202h:mc202i	mc202	mc202b1:mc202c1:mc202a1:mc202f1:mc202d1:mc202j1:mc202h1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.3		A	341.0		Direction included in Pmag_Results.		-47.1	0.539	0.006	Ma					3519.1				5	5	0	n	4.9989	0	
	This study	McMurdo		mc203							Not Specified			s												-77.58070	Not Specified	166.25055							Not Specified
Lisa Tauxe	This study	McMurdo	mc203a:mc203c:mc203b:mc203e:mc203d:mc203g:mc203f:mc203i:mc203h:mc203j	mc203	mc203a1:mc203c1:mc203b1:mc203d1:mc203g1:mc203h1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.8		A	137.0		Direction included in Pmag_Results.		77.1	4	4	Ma					1785.1				5	5	0	r	4.9978	0	
	This study	McMurdo		mc204							Not Specified			s												-77.64020	Not Specified	166.40836							Not Specified
Lisa Tauxe	This study	McMurdo	mc204h:mc204i:mc204j:mc204k:mc204l:mc204a:mc204b:mc204c:mc204d:mc204e:mc204f:mc204g	mc204	mc204h1:mc204k1:mc204l1:mc204a1:mc204b1:mc204c1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.2		A	99.4		Direction included in Pmag_Results.		-75.8	0.04	0.05	Ma					586.7				5	5	0	n	4.9932	0	
Lisa Tauxe	This study	McMurdo	mc205g:mc205f:mc205e:mc205d:mc205c:mc205b:mc205a:mc205k:mc205j:mc205i:mc205h	mc205	mc205e1:mc205d1:mc205c1:mc205b1:mc205a1-1:mc205a2:mc205a1:mc205k1:mc205i2:mc205h1:mc205h2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									0.368	0.01	Ma	0.00004716	4	0.00001222	25.9											
	This study	McMurdo		mc205							Not Specified			s												-77.65666	Not Specified	166.72515							Not Specified
	This study	McMurdo		mc206							Not Specified			s												-77.66665	Not Specified	166.78033							Not Specified
Lisa Tauxe	This study	McMurdo	mc206j:mc206k:mc206h:mc206i:mc206f:mc206g:mc206d:mc206e:mc206b:mc206c:mc206a	mc206	mc206k1:mc206h1:mc206i1:mc206f1:mc206g1:mc206d1:mc206e1:mc206b1:mc206c1:mc206a1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									0.5	0.5	Ma	0.00007767	1	0	0											
	This study	McMurdo		mc207							Not Specified			s												-77.67871	Not Specified	166.5173							Not Specified
Lisa Tauxe	This study	McMurdo	mc207i:mc207h:mc207k:mc207j:mc207e:mc207d:mc207g:mc207f:mc207a:mc207c:mc207b	mc207	mc207h2:mc207k2:mc207d1:mc207g2:mc207a1:mc207b1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.3		A	46.8		Direction included in Pmag_Results.		-70.6	4	4	Ma					313.2				5	5	0	n	4.9872	0	
	This study	McMurdo		mc208							Not Specified			s												-77.66786	Not Specified	166.53186							Not Specified
Lisa Tauxe	This study	McMurdo	mc208d:mc208e:mc208f:mc208g:mc208a:mc208b:mc208c:mc208h:mc208i:mc208j	mc208	mc208d2:mc208e2:mc208f2:mc208a1:mc208b1:mc208c2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	3.9		A	38.1		Direction included in Pmag_Results.		-66.6	4	4	Ma					315.1				6	5	1	n	5.9857	0	
Lisa Tauxe	This study	McMurdo	mc209c:mc209b:mc209a:mc209g:mc209f:mc209e:mc209d:mc209j:mc209i:mc209h	mc209	mc209c2:mc209b2:mc209b1:mc209a1:mc209f1:mc209e2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2		A	60.3		Direction included in Pmag_Results.		-61.6	4	4	Ma					979.8				6	5	1	n	5.9954	0	
	This study	McMurdo		mc209							Not Specified			s												-77.68544	Not Specified	166.36812							Not Specified
Lisa Tauxe	This study	McMurdo	mc21d:mc21e:mc21f:mc21g:mc21a:mc21b:mc21c:mc21h	mc21	mc21d:mc21e:mc21f:mc21g:mc21a:mc21b:mc21c:mc21h		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			4	4	Ma	0.00004503	4	0.000003422	7.599											
	This study	McMurdo		mc21							Not Specified			s												-78.21000	Not Specified	166.49							Not Specified
	This study	McMurdo		mc210							Not Specified			s												-77.69125	Not Specified	166.3743							Not Specified
Lisa Tauxe	This study	McMurdo	mc210e:mc210d:mc210g:mc210f:mc210a:mc210c:mc210b:mc210i:mc210h:mc210j	mc210	mc210e1:mc210a2:mc210c2:mc210b1:mc210b2:mc210i2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	1.9		A	50.0		Direction included in Pmag_Results.		-69.5	4	4	Ma					1627.2				5	5	0	n	4.9975	0	
	This study	McMurdo		mc211							Not Specified			s												-77.66147	Not Specified	166.3397							Not Specified
Lisa Tauxe	This study	McMurdo	mc211f:mc211g:mc211d:mc211e:mc211b:mc211c:mc211a:mc211j:mc211h:mc211i	mc211	mc211g2:mc211g1:mc211e2:mc211e1:mc211b2:mc211b1:mc211a1:mc211h1:mc211i1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									4	4	Ma	0.00008601	2	0.00001529	17.78											
Lisa Tauxe	This study	McMurdo	mc212l:mc212k:mc212j:mc212i:mc212h:mc212g:mc212f:mc212e:mc212d:mc212c:mc212b:mc212a	mc212	mc212g2:mc212d2:mc212c2:mc212b1:mc212b2:mc212a1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.2		A	43.6		Direction included in Pmag_Results.		19.2	2.6	0.15	Ma					1207.4				5	5	0	t	4.9967	0	
	This study	McMurdo		mc212							Not Specified			s												-77.56505	Not Specified	166.35938							Not Specified
	This study	McMurdo		mc213							Not Specified			s												-77.22331	Not Specified	166.42877							Not Specified
Lisa Tauxe	This study	McMurdo	mc213a:mc213b:mc213c:mc213d:mc213e:mc213f:mc213g:mc213h:mc213i:mc213j:mc213k	mc213	mc213b1:mc213e2:mc213f2:mc213g2:mc213h2:mc213i2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	4.3		A	180.6		Direction included in Pmag_Results.		70.7	2.5	2.5	Ma					323.6				5	5	0	r	4.9876	0	
	This study	McMurdo		mc214							Not Specified			s												-77.22355	Not Specified	166.4294							Not Specified
Lisa Tauxe	This study	McMurdo	mc214i:mc214h:mc214j:mc214a:mc214c:mc214b:mc214e:mc214d:mc214g:mc214f	mc214	mc214h1:mc214j1:mc214j2:mc214a2:mc214b1:mc214b2:mc214d2:mc214d1:mc214g2:mc214g1		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			2.5	2.5	Ma	0.00004381	5	0.000003126	7.134											
Lisa Tauxe	This study	McMurdo	mc215j:mc215h:mc215i:mc215b:mc215c:mc215a:mc215f:mc215g:mc215d:mc215e	mc215	mc215h2:mc215h1:mc215i1:mc215b1:mc215c1:mc215c2:mc215a1:mc215a2:mc215d2:mc215d1		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	2.1		A	341.2		Direction included in Pmag_Results.		-79.2	0.342	0.01	Ma					590.4				9	8	1	n	8.9873	0	
	This study	McMurdo		mc215							Not Specified			s												-77.47730	Not Specified	166.89491							Not Specified
	This study	McMurdo		mc216							Not Specified			s												-77.42391	Not Specified	166.81075							Not Specified
Lisa Tauxe	This study	McMurdo	mc216c:mc216b:mc216a:mc216g:mc216f:mc216e:mc216d:mc216j:mc216i:mc216h	mc216	mc216c1:mc216c2:mc216b1:mc216a2:mc216a1:mc216g1:mc216g2:mc216f2:mc216f1:mc216h2		DE-FM:DA-DIR-GEO	pmagpy-2.60	DE-SPEC	5.8		A	345.1		Direction included in Pmag_Results.		-45.2	0.508	0.01	Ma					135.2				6	6	0	n	5.963	0	
	This study	McMurdo		mc217							Not Specified			s												-77.50885	Not Specified	167.44064							Not Specified
Lisa Tauxe	This study	McMurdo	mc217d:mc217e:mc217f:mc217g:mc217a:mc217b:mc217c:mc217h:mc217i:mc217j:mc217k	mc217	mc217d1:mc217d2:mc217e1:mc217e2:mc217a2-1:mc217a2:mc217a1:mc217b1:mc217b2:mc217c1:mc217c2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	pmagpy-2.60	IE-SPEC									0.157	0.005	Ma	0.00003032	5	0.000004625	15.25											
Lisa Tauxe	This study	McMurdo	mc218l:mc218i:mc218h:mc218k:mc218j:mc218e:mc218d:mc218g:mc218f:mc218a:mc218c:mc218b	mc218	mc218i1:mc218i2:mc218j1:mc218j2:mc218d1:mc218d2:mc218a2:mc218a1:mc218b1:mc218b2		LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	pmagpy-2.60	IE-SPEC						Intensity included in Pmag_Results.			0.026	0.005	Ma	0.0000343	5	0.00000248	7.231											
