tab	er_samples
er_sample_name	er_site_name	er_location_name	cooling_rate_corr	cooling_rate_mcd	er_citation_names	er_sample_alternatives	er_scientist_mail_names	magic_method_codes	participantlist	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_cooling_rate	sample_declination_correction	sample_description	sample_dip	sample_height	sample_igsn	sample_lat	sample_lithology	sample_lon	sample_texture	sample_type
mc115k	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115m	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115n	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115p	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115q	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc115r	mc115	McMurdo			This study			:SO-NO					Not Specified							-78.24300	Not Specified	162.958		Not Specified
mc116a	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116b	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116c	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116d	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116e	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116f	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116g	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116h	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116i	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116j	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc116k	mc116	McMurdo			This study			:SO-NO					Not Specified							-78.22200	Not Specified	162.744		Not Specified
mc117a	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117b	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117c	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117d	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117e	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117f	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117g	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117h	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117i	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117j	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc117l	mc117	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.973		Not Specified
mc118a	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118b	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118c	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118d	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118e	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118f	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118g	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118h	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118i	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118j	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118k	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc118l	mc118	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.141		Not Specified
mc119a	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119b	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119c	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119d	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119e	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119f	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119g	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119h	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119i	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119j	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119k	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc119l	mc119	McMurdo			This study			:SO-NO					Not Specified							-78.23900	Not Specified	162.957		Not Specified
mc11a	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11b	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11c	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11d	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11e	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11f	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11g	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc11h	mc11	McMurdo			This study			:SO-NO					Not Specified							-77.57000	Not Specified	166.23		Not Specified
mc120a	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120b	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120c	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120d	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120e	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120f	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120g	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120h	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120i	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120j	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120k	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120l	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc120m	mc120	McMurdo			This study			:SO-NO					Not Specified							-78.24100	Not Specified	163.092		Not Specified
mc121a	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121b	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121c	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121d	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121e	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121f	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121g	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121h	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121i	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121j	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc121k	mc121	McMurdo			This study			:SO-NO					Not Specified							-78.23500	Not Specified	162.954		Not Specified
mc122a	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122b	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122c	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122d	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122e	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122f	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122g	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122h	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122i	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122k	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc122l	mc122	McMurdo			This study			:SO-NO					Not Specified							-78.18700	Not Specified	163.58		Not Specified
mc123a	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123b	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123c	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123d	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123e	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123f	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123g	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123h	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123i	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123j	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123k	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc123l	mc123	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.729		Not Specified
mc124a	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124b	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124c	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124d	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124e	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124f	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124g	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124h	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124i	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124j	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124k	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc124l	mc124	McMurdo			This study			:SO-NO					Not Specified							-78.18600	Not Specified	163.567		Not Specified
mc125a	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125b	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125c	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125d	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125e	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125f	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125g	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125h	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125i	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125j	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125k	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125l	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125m	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125n	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc125o	mc125	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.73		Not Specified
mc126a	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126b	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126c	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126d	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126e	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126f	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126g	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126h	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126i	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc126j	mc126	McMurdo			This study			:SO-NO					Not Specified							-78.25300	Not Specified	163.737		Not Specified
mc127a	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127b	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127c	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127d	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127e	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127f	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127g	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127h	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127i	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc127j	mc127	McMurdo			This study			:SO-NO					Not Specified							-78.25400	Not Specified	163.733		Not Specified
mc128a	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128b	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128c	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128d	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128e	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128f	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128g	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128h	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128i	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128j	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc128k	mc128	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.571		Not Specified
mc129a	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129b	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129c	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129d	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129e	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129f	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129h	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129i	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129j	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129l	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc129m	mc129	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.577		Not Specified
mc12b	mc12				This study			:SO-NO					Not Specified							-77.58000	Not Specified	166.23		Not Specified
mc130a	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130b	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130c	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130d	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130e	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130f	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130g	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130h	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130i	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc130j	mc130	McMurdo			This study			:SO-NO					Not Specified							-78.21000	Not Specified	166.579		Not Specified
mc131a	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131b	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131c	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131d	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131e	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131f	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131g	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131h	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131i	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131j	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131k	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131l	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc131m	mc131	McMurdo			This study			:SO-NO					Not Specified							-78.21400	Not Specified	166.573		Not Specified
mc132a	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132b	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132c	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132d	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132e	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132f	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132g	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132h	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132i	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132j	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132k	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc132l	mc132	McMurdo			This study			:SO-NO					Not Specified							-78.20600	Not Specified	166.552		Not Specified
mc133a	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133b	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133c	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133d	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133e	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133f	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133g	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133h	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133i	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133j	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133l	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc133m	mc133	McMurdo			This study			:SO-NO					Not Specified							-78.19900	Not Specified	166.584		Not Specified
mc134a	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134b	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134c	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134d	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134e	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134f	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134g	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134h	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134i	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134j	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc134k	mc134	McMurdo			This study			:SO-NO					Not Specified							-78.21900	Not Specified	166.607		Not Specified
mc135a	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135b	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135c	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135d	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135e	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135f	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135g	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135h	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135i	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc135j	mc135	McMurdo			This study			:SO-NO					Not Specified							-78.23100	Not Specified	166.565		Not Specified
mc136a	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136b	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136c	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136d	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136e	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136f	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136g	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136h	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136i	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136j	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc136k	mc136	McMurdo			This study			:SO-NO					Not Specified							-78.28200	Not Specified	163.329		Not Specified
mc137a	mc137	McMurdo			This study			:SO-NO					Not Specified							-78.26100	Not Specified	163.257		Not Specified
mc137b	mc137	McMurdo			This study			:SO-NO					Not Specified							-78.26100	Not Specified	163.257		Not Specified
mc137c	mc137	McMurdo			This study			:SO-NO					Not Specified							-78.26100	Not Specified	163.257		Not Specified
mc137d	mc137	McMurdo			This study			:SO-NO					Not Specified							-78.26100	Not Specified	163.257		Not Specified
