tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	measurement_chi_mass	measurement_dec	measurement_flag	measurement_inc	measurement_magn_mass	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	DSDP Site 522	17-2-122	17-2-122	17-2-122	17-2-122:LP-ARM	LT-AF-I			g		1.326e-04	1302	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-122	17-2-122	17-2-122	17-2-122:LP-IRM	LT-IRM			g		2.653e-03	1303	u	300	0	1.0	300
This study	DSDP Site 522	17-2-122	17-2-122	17-2-122	17-2-122:LP-X	LP-X	1.810e-07					1304		300	10e-3	0	300
This study	DSDP Site 522	17-2-125	17-2-125	17-2-125	17-2-125:LP-AF-DIR	LT-AF-Z		178.0	g	59.8	3.697e-06	1305	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-125	17-2-125	17-2-125	17-2-125:LP-ARM	LT-AF-I			g		1.398e-04	1306	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-125	17-2-125	17-2-125	17-2-125:LP-IRM	LT-IRM			g		2.746e-03	1307	u	300	0	1.0	300
This study	DSDP Site 522	17-2-125	17-2-125	17-2-125	17-2-125:LP-X	LP-X	1.915e-07					1308		300	10e-3	0	300
This study	DSDP Site 522	17-2-128	17-2-128	17-2-128	17-2-128:LP-AF-DIR	LT-AF-Z		181.0	g	62.2	6.849e-06	1309	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-128	17-2-128	17-2-128	17-2-128:LP-ARM	LT-AF-I			g		1.461e-04	1310	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-128	17-2-128	17-2-128	17-2-128:LP-IRM	LT-IRM			g		2.731e-03	1311	u	300	0	1.0	300
This study	DSDP Site 522	17-2-128	17-2-128	17-2-128	17-2-128:LP-X	LP-X	1.911e-07					1312		300	10e-3	0	300
This study	DSDP Site 522	17-2-131	17-2-131	17-2-131	17-2-131:LP-AF-DIR	LT-AF-Z		173.1	g	39.5	4.026e-06	1313	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-131	17-2-131	17-2-131	17-2-131:LP-ARM	LT-AF-I			g		1.546e-04	1314	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-131	17-2-131	17-2-131	17-2-131:LP-IRM	LT-IRM			g		2.855e-03	1315	u	300	0	1.0	300
This study	DSDP Site 522	17-2-131	17-2-131	17-2-131	17-2-131:LP-X	LP-X	1.980e-07					1316		300	10e-3	0	300
This study	DSDP Site 522	17-2-134	17-2-134	17-2-134	17-2-134:LP-AF-DIR	LT-AF-Z		187.6	g	41.2	5.839e-06	1317	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-134	17-2-134	17-2-134	17-2-134:LP-ARM	LT-AF-I			g		1.603e-04	1318	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-134	17-2-134	17-2-134	17-2-134:LP-IRM	LT-IRM			g		3.383e-03	1319	u	300	0	1.0	300
This study	DSDP Site 522	17-2-134	17-2-134	17-2-134	17-2-134:LP-X	LP-X	2.427e-07					1320		300	10e-3	0	300
This study	DSDP Site 522	17-2-137	17-2-137	17-2-137	17-2-137:LP-AF-DIR	LT-AF-Z		173.8	g	45.6	5.227e-06	1321	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-137	17-2-137	17-2-137	17-2-137:LP-ARM	LT-AF-I			g		1.925e-04	1322	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-137	17-2-137	17-2-137	17-2-137:LP-IRM	LT-IRM			g		3.912e-03	1323	u	300	0	1.0	300
This study	DSDP Site 522	17-2-137	17-2-137	17-2-137	17-2-137:LP-X	LP-X	2.714e-07					1324		300	10e-3	0	300
This study	DSDP Site 522	17-2-141	17-2-141	17-2-141	17-2-141:LP-AF-DIR	LT-AF-Z		153.3	g	70.1	6.533e-06	1325	u	300	15e-3	0	300
This study	DSDP Site 522	17-2-141	17-2-141	17-2-141	17-2-141:LP-ARM	LT-AF-I			g		2.173e-04	1326	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-2-141	17-2-141	17-2-141	17-2-141:LP-IRM	LT-IRM			g		4.554e-03	1327	u	300	0	1.0	300
This study	DSDP Site 522	17-2-141	17-2-141	17-2-141	17-2-141:LP-X	LP-X	3.122e-07					1328		300	10e-3	0	300
This study	DSDP Site 522	17-3-004	17-3-004	17-3-004	17-3-004:LP-AF-DIR	LT-AF-Z		180.8	g	58.7	6.023e-06	1329	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-004	17-3-004	17-3-004	17-3-004:LP-ARM	LT-AF-I			g		1.801e-04	1330	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-004	17-3-004	17-3-004	17-3-004:LP-IRM	LT-IRM			g		3.626e-03	1331	u	300	0	1.0	300
This study	DSDP Site 522	17-3-004	17-3-004	17-3-004	17-3-004:LP-X	LP-X	2.520e-07					1332		300	10e-3	0	300
This study	DSDP Site 522	17-3-007	17-3-007	17-3-007	17-3-007:LP-AF-DIR	LT-AF-Z		168.7	g	68.3	1.070e-05	1333	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-007	17-3-007	17-3-007	17-3-007:LP-ARM	LT-AF-I			g		3.189e-04	1334	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-007	17-3-007	17-3-007	17-3-007:LP-IRM	LT-IRM			g		6.183e-03	1335	u	300	0	1.0	300
This study	DSDP Site 522	17-3-007	17-3-007	17-3-007	17-3-007:LP-X	LP-X	4.286e-07					1336		300	10e-3	0	300
This study	DSDP Site 522	17-3-010	17-3-010	17-3-010	17-3-010:LP-AF-DIR	LT-AF-Z		154.4	g	62.8	3.610e-06	1337	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-010	17-3-010	17-3-010	17-3-010:LP-ARM	LT-AF-I			g		1.209e-04	1338	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-010	17-3-010	17-3-010	17-3-010:LP-IRM	LT-IRM			g		2.449e-03	1339	u	300	0	1.0	300
This study	DSDP Site 522	17-3-010	17-3-010	17-3-010	17-3-010:LP-X	LP-X	1.713e-07					1340		300	10e-3	0	300
This study	DSDP Site 522	17-3-013	17-3-013	17-3-013	17-3-013:LP-AF-DIR	LT-AF-Z		185.9	g	64.3	3.084e-06	1341	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-013	17-3-013	17-3-013	17-3-013:LP-ARM	LT-AF-I			g		1.202e-04	1342	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-013	17-3-013	17-3-013	17-3-013:LP-IRM	LT-IRM			g		2.522e-03	1343	u	300	0	1.0	300
This study	DSDP Site 522	17-3-013	17-3-013	17-3-013	17-3-013:LP-X	LP-X	1.739e-07					1344		300	10e-3	0	300
This study	DSDP Site 522	17-3-017	17-3-017	17-3-017	17-3-017:LP-AF-DIR	LT-AF-Z		204.9	g	69.6	2.650e-06	1345	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-017	17-3-017	17-3-017	17-3-017:LP-ARM	LT-AF-I			g		1.164e-04	1346	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-017	17-3-017	17-3-017	17-3-017:LP-IRM	LT-IRM			g		2.359e-03	1347	u	300	0	1.0	300
This study	DSDP Site 522	17-3-017	17-3-017	17-3-017	17-3-017:LP-X	LP-X	1.668e-07					1348		300	10e-3	0	300
This study	DSDP Site 522	17-3-019	17-3-019	17-3-019	17-3-019:LP-AF-DIR	LT-AF-Z		203.3	g	74.5	1.109e-06	1349	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-019	17-3-019	17-3-019	17-3-019:LP-ARM	LT-AF-I			g		1.121e-04	1350	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-019	17-3-019	17-3-019	17-3-019:LP-IRM	LT-IRM			g		2.200e-03	1351	u	300	0	1.0	300
This study	DSDP Site 522	17-3-019	17-3-019	17-3-019	17-3-019:LP-X	LP-X	1.570e-07					1352		300	10e-3	0	300
This study	DSDP Site 522	17-3-022	17-3-022	17-3-022	17-3-022:LP-AF-DIR	LT-AF-Z		243.2	g	65.1	1.099e-06	1353	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-022	17-3-022	17-3-022	17-3-022:LP-ARM	LT-AF-I			g		1.290e-04	1354	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-022	17-3-022	17-3-022	17-3-022:LP-IRM	LT-IRM			g		2.395e-03	1355	u	300	0	1.0	300
This study	DSDP Site 522	17-3-022	17-3-022	17-3-022	17-3-022:LP-X	LP-X	1.774e-07					1356		300	10e-3	0	300
This study	DSDP Site 522	17-3-025	17-3-025	17-3-025	17-3-025:LP-AF-DIR	LT-AF-Z		172.0	g	84.8	1.260e-06	1357	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-025	17-3-025	17-3-025	17-3-025:LP-ARM	LT-AF-I			g		1.308e-04	1358	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-025	17-3-025	17-3-025	17-3-025:LP-IRM	LT-IRM			g		2.504e-03	1359	u	300	0	1.0	300
This study	DSDP Site 522	17-3-025	17-3-025	17-3-025	17-3-025:LP-X	LP-X	1.869e-07					1360		300	10e-3	0	300
This study	DSDP Site 522	17-3-027	17-3-027	17-3-027	17-3-027:LP-AF-DIR	LT-AF-Z		126.8	g	78.7	1.660e-06	1361	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-027	17-3-027	17-3-027	17-3-027:LP-ARM	LT-AF-I			g		1.354e-04	1362	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-027	17-3-027	17-3-027	17-3-027:LP-IRM	LT-IRM			g		2.484e-03	1363	u	300	0	1.0	300
This study	DSDP Site 522	17-3-027	17-3-027	17-3-027	17-3-027:LP-X	LP-X	1.804e-07					1364		300	10e-3	0	300
This study	DSDP Site 522	17-3-030	17-3-030	17-3-030	17-3-030:LP-AF-DIR	LT-AF-Z		136.1	g	73.4	1.971e-06	1365	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-030	17-3-030	17-3-030	17-3-030:LP-ARM	LT-AF-I			g		1.277e-04	1366	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-030	17-3-030	17-3-030	17-3-030:LP-IRM	LT-IRM			g		2.455e-03	1367	u	300	0	1.0	300
This study	DSDP Site 522	17-3-030	17-3-030	17-3-030	17-3-030:LP-X	LP-X	1.773e-07					1368		300	10e-3	0	300
This study	DSDP Site 522	17-3-034	17-3-034	17-3-034	17-3-034:LP-AF-DIR	LT-AF-Z		182.3	g	73.9	2.552e-06	1369	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-034	17-3-034	17-3-034	17-3-034:LP-ARM	LT-AF-I			g		1.319e-04	1370	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-034	17-3-034	17-3-034	17-3-034:LP-IRM	LT-IRM			g		2.574e-03	1371	u	300	0	1.0	300
This study	DSDP Site 522	17-3-034	17-3-034	17-3-034	17-3-034:LP-X	LP-X	1.823e-07					1372		300	10e-3	0	300
This study	DSDP Site 522	17-3-036	17-3-036	17-3-036	17-3-036:LP-AF-DIR	LT-AF-Z		171.8	g	70.1	2.333e-06	1373	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-036	17-3-036	17-3-036	17-3-036:LP-ARM	LT-AF-I			g		1.284e-04	1374	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-036	17-3-036	17-3-036	17-3-036:LP-IRM	LT-IRM			g		2.522e-03	1375	u	300	0	1.0	300
This study	DSDP Site 522	17-3-036	17-3-036	17-3-036	17-3-036:LP-X	LP-X	1.791e-07					1376		300	10e-3	0	300
This study	DSDP Site 522	17-3-039	17-3-039	17-3-039	17-3-039:LP-AF-DIR	LT-AF-Z		164.3	g	66	2.497e-06	1377	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-039	17-3-039	17-3-039	17-3-039:LP-ARM	LT-AF-I			g		1.273e-04	1378	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-039	17-3-039	17-3-039	17-3-039:LP-IRM	LT-IRM			g		2.591e-03	1379	u	300	0	1.0	300
This study	DSDP Site 522	17-3-039	17-3-039	17-3-039	17-3-039:LP-X	LP-X	1.844e-07					1380		300	10e-3	0	300
This study	DSDP Site 522	17-3-043	17-3-043	17-3-043	17-3-043:LP-AF-DIR	LT-AF-Z		177.4	g	61.2	4.911e-06	1381	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-043	17-3-043	17-3-043	17-3-043:LP-ARM	LT-AF-I			g		1.259e-04	1382	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-043	17-3-043	17-3-043	17-3-043:LP-IRM	LT-IRM			g		2.501e-03	1383	u	300	0	1.0	300
This study	DSDP Site 522	17-3-043	17-3-043	17-3-043	17-3-043:LP-X	LP-X	1.752e-07					1384		300	10e-3	0	300
This study	DSDP Site 522	17-3-046	17-3-046	17-3-046	17-3-046:LP-AF-DIR	LT-AF-Z		158.4	g	66.8	5.462e-06	1385	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-046	17-3-046	17-3-046	17-3-046:LP-ARM	LT-AF-I			g		1.398e-04	1386	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-046	17-3-046	17-3-046	17-3-046:LP-IRM	LT-IRM			g		2.666e-03	1387	u	300	0	1.0	300
This study	DSDP Site 522	17-3-046	17-3-046	17-3-046	17-3-046:LP-X	LP-X	1.834e-07					1388		300	10e-3	0	300
This study	DSDP Site 522	17-3-049	17-3-049	17-3-049	17-3-049:LP-AF-DIR	LT-AF-Z		167.1	g	65	4.121e-06	1389	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-049	17-3-049	17-3-049	17-3-049:LP-ARM	LT-AF-I			g		1.438e-04	1390	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-049	17-3-049	17-3-049	17-3-049:LP-IRM	LT-IRM			g		2.904e-03	1391	u	300	0	1.0	300
This study	DSDP Site 522	17-3-049	17-3-049	17-3-049	17-3-049:LP-X	LP-X	2.085e-07					1392		300	10e-3	0	300
This study	DSDP Site 522	17-3-053	17-3-053	17-3-053	17-3-053:LP-AF-DIR	LT-AF-Z		156.2	g	59.5	6.463e-06	1393	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-053	17-3-053	17-3-053	17-3-053:LP-ARM	LT-AF-I			g		1.370e-04	1394	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-053	17-3-053	17-3-053	17-3-053:LP-IRM	LT-IRM			g		2.809e-03	1395	u	300	0	1.0	300
This study	DSDP Site 522	17-3-053	17-3-053	17-3-053	17-3-053:LP-X	LP-X	1.934e-07					1396		300	10e-3	0	300
This study	DSDP Site 522	17-3-056	17-3-056	17-3-056	17-3-056:LP-AF-DIR	LT-AF-Z		168.3	g	67.5	4.672e-06	1397	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-056	17-3-056	17-3-056	17-3-056:LP-ARM	LT-AF-I			g		1.407e-04	1398	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-056	17-3-056	17-3-056	17-3-056:LP-IRM	LT-IRM			g		2.853e-03	1399	u	300	0	1.0	300
This study	DSDP Site 522	17-3-056	17-3-056	17-3-056	17-3-056:LP-X	LP-X	1.889e-07					1400		300	10e-3	0	300
This study	DSDP Site 522	17-3-060	17-3-060	17-3-060	17-3-060:LP-AF-DIR	LT-AF-Z		233.7	g	75	3.200e-06	1401	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-060	17-3-060	17-3-060	17-3-060:LP-ARM	LT-AF-I			g		1.440e-04	1402	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-060	17-3-060	17-3-060	17-3-060:LP-IRM	LT-IRM			g		2.836e-03	1403	u	300	0	1.0	300
This study	DSDP Site 522	17-3-060	17-3-060	17-3-060	17-3-060:LP-X	LP-X	1.917e-07					1404		300	10e-3	0	300
This study	DSDP Site 522	17-3-063	17-3-063	17-3-063	17-3-063:LP-AF-DIR	LT-AF-Z		196.9	g	63.3	2.811e-06	1405	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-063	17-3-063	17-3-063	17-3-063:LP-ARM	LT-AF-I			g		1.390e-04	1406	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-063	17-3-063	17-3-063	17-3-063:LP-IRM	LT-IRM			g		2.805e-03	1407	u	300	0	1.0	300
This study	DSDP Site 522	17-3-063	17-3-063	17-3-063	17-3-063:LP-X	LP-X	1.943e-07					1408		300	10e-3	0	300
This study	DSDP Site 522	17-3-066	17-3-066	17-3-066	17-3-066:LP-AF-DIR	LT-AF-Z		179.5	g	55.7	3.127e-06	1409	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-066	17-3-066	17-3-066	17-3-066:LP-ARM	LT-AF-I			g		1.344e-04	1410	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-066	17-3-066	17-3-066	17-3-066:LP-IRM	LT-IRM			g		2.731e-03	1411	u	300	0	1.0	300
This study	DSDP Site 522	17-3-066	17-3-066	17-3-066	17-3-066:LP-X	LP-X	1.913e-07					1412		300	10e-3	0	300
This study	DSDP Site 522	17-3-070	17-3-070	17-3-070	17-3-070:LP-AF-DIR	LT-AF-Z		186.1	g	63	5.185e-06	1413	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-070	17-3-070	17-3-070	17-3-070:LP-ARM	LT-AF-I			g		1.345e-04	1414	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-070	17-3-070	17-3-070	17-3-070:LP-IRM	LT-IRM			g		2.794e-03	1415	u	300	0	1.0	300
This study	DSDP Site 522	17-3-070	17-3-070	17-3-070	17-3-070:LP-X	LP-X	1.871e-07					1416		300	10e-3	0	300
This study	DSDP Site 522	17-3-073	17-3-073	17-3-073	17-3-073:LP-AF-DIR	LT-AF-Z		178.9	g	60.9	6.304e-06	1417	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-073	17-3-073	17-3-073	17-3-073:LP-ARM	LT-AF-I			g		1.334e-04	1418	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-073	17-3-073	17-3-073	17-3-073:LP-IRM	LT-IRM			g		2.766e-03	1419	u	300	0	1.0	300
This study	DSDP Site 522	17-3-073	17-3-073	17-3-073	17-3-073:LP-X	LP-X	1.916e-07					1420		300	10e-3	0	300
This study	DSDP Site 522	17-3-076	17-3-076	17-3-076	17-3-076:LP-AF-DIR	LT-AF-Z		178.4	g	56.4	9.638e-06	1421	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-076	17-3-076	17-3-076	17-3-076:LP-ARM	LT-AF-I			g		1.372e-04	1422	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-076	17-3-076	17-3-076	17-3-076:LP-IRM	LT-IRM			g		2.794e-03	1423	u	300	0	1.0	300
This study	DSDP Site 522	17-3-076	17-3-076	17-3-076	17-3-076:LP-X	LP-X	1.877e-07					1424		300	10e-3	0	300
This study	DSDP Site 522	17-3-079	17-3-079	17-3-079	17-3-079:LP-AF-DIR	LT-AF-Z		192.4	g	58.6	7.118e-06	1425	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-079	17-3-079	17-3-079	17-3-079:LP-ARM	LT-AF-I			g		1.389e-04	1426	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-079	17-3-079	17-3-079	17-3-079:LP-IRM	LT-IRM			g		2.808e-03	1427	u	300	0	1.0	300
This study	DSDP Site 522	17-3-079	17-3-079	17-3-079	17-3-079:LP-X	LP-X	1.913e-07					1428		300	10e-3	0	300
This study	DSDP Site 522	17-3-082	17-3-082	17-3-082	17-3-082:LP-AF-DIR	LT-AF-Z		197.0	g	66.1	5.617e-06	1429	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-082	17-3-082	17-3-082	17-3-082:LP-ARM	LT-AF-I			g		1.278e-04	1430	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-082	17-3-082	17-3-082	17-3-082:LP-IRM	LT-IRM			g		2.533e-03	1431	u	300	0	1.0	300
This study	DSDP Site 522	17-3-082	17-3-082	17-3-082	17-3-082:LP-X	LP-X	1.740e-07					1432		300	10e-3	0	300
This study	DSDP Site 522	17-3-084	17-3-084	17-3-084	17-3-084:LP-AF-DIR	LT-AF-Z		191.7	g	65	5.066e-06	1433	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-084	17-3-084	17-3-084	17-3-084:LP-ARM	LT-AF-I			g		1.342e-04	1434	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-084	17-3-084	17-3-084	17-3-084:LP-IRM	LT-IRM			g		2.705e-03	1435	u	300	0	1.0	300
This study	DSDP Site 522	17-3-084	17-3-084	17-3-084	17-3-084:LP-X	LP-X	1.895e-07					1436		300	10e-3	0	300
This study	DSDP Site 522	17-3-088	17-3-088	17-3-088	17-3-088:LP-AF-DIR	LT-AF-Z		185.2	g	67.9	5.307e-06	1437	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-088	17-3-088	17-3-088	17-3-088:LP-ARM	LT-AF-I			g		1.410e-04	1438	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-088	17-3-088	17-3-088	17-3-088:LP-IRM	LT-IRM			g		2.787e-03	1439	u	300	0	1.0	300
This study	DSDP Site 522	17-3-088	17-3-088	17-3-088	17-3-088:LP-X	LP-X	1.954e-07					1440		300	10e-3	0	300
This study	DSDP Site 522	17-3-091	17-3-091	17-3-091	17-3-091:LP-AF-DIR	LT-AF-Z		182.3	g	62.3	5.481e-06	1441	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-091	17-3-091	17-3-091	17-3-091:LP-ARM	LT-AF-I			g		1.482e-04	1442	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-091	17-3-091	17-3-091	17-3-091:LP-IRM	LT-IRM			g		2.919e-03	1443	u	300	0	1.0	300
This study	DSDP Site 522	17-3-091	17-3-091	17-3-091	17-3-091:LP-X	LP-X	2.075e-07					1444		300	10e-3	0	300
This study	DSDP Site 522	17-3-094	17-3-094	17-3-094	17-3-094:LP-AF-DIR	LT-AF-Z		154.3	g	67.4	5.307e-06	1445	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-094	17-3-094	17-3-094	17-3-094:LP-ARM	LT-AF-I			g		1.458e-04	1446	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-094	17-3-094	17-3-094	17-3-094:LP-IRM	LT-IRM			g		2.857e-03	1447	u	300	0	1.0	300
This study	DSDP Site 522	17-3-094	17-3-094	17-3-094	17-3-094:LP-X	LP-X	2.054e-07					1448		300	10e-3	0	300
This study	DSDP Site 522	17-3-097	17-3-097	17-3-097	17-3-097:LP-AF-DIR	LT-AF-Z		191.9	g	61.1	5.226e-06	1449	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-097	17-3-097	17-3-097	17-3-097:LP-ARM	LT-AF-I			g		1.394e-04	1450	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-097	17-3-097	17-3-097	17-3-097:LP-IRM	LT-IRM			g		2.818e-03	1451	u	300	0	1.0	300
This study	DSDP Site 522	17-3-097	17-3-097	17-3-097	17-3-097:LP-X	LP-X	1.980e-07					1452		300	10e-3	0	300
This study	DSDP Site 522	17-3-099	17-3-099	17-3-099	17-3-099:LP-AF-DIR	LT-AF-Z		192.4	g	67.4	5.783e-06	1453	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-099	17-3-099	17-3-099	17-3-099:LP-ARM	LT-AF-I			g		1.388e-04	1454	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-099	17-3-099	17-3-099	17-3-099:LP-IRM	LT-IRM			g		2.865e-03	1455	u	300	0	1.0	300
This study	DSDP Site 522	17-3-099	17-3-099	17-3-099	17-3-099:LP-X	LP-X	1.977e-07					1456		300	10e-3	0	300
This study	DSDP Site 522	17-3-103	17-3-103	17-3-103	17-3-103:LP-AF-DIR	LT-AF-Z		179.2	g	64.1	7.405e-06	1457	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-103	17-3-103	17-3-103	17-3-103:LP-ARM	LT-AF-I			g		1.434e-04	1458	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-103	17-3-103	17-3-103	17-3-103:LP-IRM	LT-IRM			g		3.128e-03	1459	u	300	0	1.0	300
This study	DSDP Site 522	17-3-103	17-3-103	17-3-103	17-3-103:LP-X	LP-X	2.109e-07					1460		300	10e-3	0	300
This study	DSDP Site 522	17-3-106	17-3-106	17-3-106	17-3-106:LP-AF-DIR	LT-AF-Z		203.8	g	66.7	7.661e-06	1461	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-106	17-3-106	17-3-106	17-3-106:LP-ARM	LT-AF-I			g		1.432e-04	1462	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-106	17-3-106	17-3-106	17-3-106:LP-IRM	LT-IRM			g		3.223e-03	1463	u	300	0	1.0	300
This study	DSDP Site 522	17-3-106	17-3-106	17-3-106	17-3-106:LP-X	LP-X	2.251e-07					1464		300	10e-3	0	300
This study	DSDP Site 522	17-3-110	17-3-110	17-3-110	17-3-110:LP-AF-DIR	LT-AF-Z		203.8	g	61.4	7.466e-06	1465	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-110	17-3-110	17-3-110	17-3-110:LP-ARM	LT-AF-I			g		1.371e-04	1466	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-110	17-3-110	17-3-110	17-3-110:LP-IRM	LT-IRM			g		2.956e-03	1467	u	300	0	1.0	300
This study	DSDP Site 522	17-3-110	17-3-110	17-3-110	17-3-110:LP-X	LP-X	2.044e-07					1468		300	10e-3	0	300
This study	DSDP Site 522	17-3-113	17-3-113	17-3-113	17-3-113:LP-AF-DIR	LT-AF-Z		218.4	g	62.7	7.782e-06	1469	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-113	17-3-113	17-3-113	17-3-113:LP-ARM	LT-AF-I			g		1.407e-04	1470	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-113	17-3-113	17-3-113	17-3-113:LP-IRM	LT-IRM			g		3.223e-03	1471	u	300	0	1.0	300
This study	DSDP Site 522	17-3-113	17-3-113	17-3-113	17-3-113:LP-X	LP-X	2.257e-07					1472		300	10e-3	0	300
This study	DSDP Site 522	17-3-117	17-3-117	17-3-117	17-3-117:LP-AF-DIR	LT-AF-Z		224.8	g	61.9	8.634e-06	1473	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-117	17-3-117	17-3-117	17-3-117:LP-ARM	LT-AF-I			g		1.408e-04	1474	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-117	17-3-117	17-3-117	17-3-117:LP-IRM	LT-IRM			g		3.166e-03	1475	u	300	0	1.0	300
This study	DSDP Site 522	17-3-117	17-3-117	17-3-117	17-3-117:LP-X	LP-X	2.211e-07					1476		300	10e-3	0	300
This study	DSDP Site 522	17-3-120	17-3-120	17-3-120	17-3-120:LP-AF-DIR	LT-AF-Z		225.9	g	60.4	4.182e-06	1477	u	300	15e-3	0	300
This study	DSDP Site 522	17-3-120	17-3-120	17-3-120	17-3-120:LP-ARM	LT-AF-I			g		1.470e-04	1478	u	300	80e-3	50e-6	300
This study	DSDP Site 522	17-3-120	17-3-120	17-3-120	17-3-120:LP-IRM	LT-IRM			g		3.369e-03	1479	u	300	0	1.0	300
This study	DSDP Site 522	17-3-120	17-3-120	17-3-120	17-3-120:LP-X	LP-X	2.336e-07					1480		300	10e-3	0	300
This study	DSDP Site 522	17-3-123	17-3-123	17-3-123	17-3-123:LP-AF-DIR	LT-AF-Z		257.7	g	69.9	3.340e-06	1481	u	300	15e-3	0	300
