tab 	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	meas_temp	method_codes	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		0.1	250.2	-24.6	bg2.09:LP-AN-ARM		Bushveld	7.638e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	0.000e+00	0	0	13	2.730e+02
	This study		0.3	203.5	39.6	bg2.09:LP-AN-ARM		Bushveld	2.118e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	5.000e-05	180.0	45.0	14	2.730e+02
	This study		0.2	207.7	28.5	bg2.09:LP-AN-ARM		Bushveld	6.509e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	0.000e+00	0	0	15	2.730e+02
	This study		0.3	190.2	-38.2	bg2.09:LP-AN-ARM		Bushveld	2.368e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	5.000e-05	180.0	-45.0	16	2.730e+02
	This study		0.1	206.0	-8.9	bg2.09:LP-AN-ARM		Bushveld	6.337e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	0.000e+00	0	0	17	2.730e+02
	This study		0.4	218.6	-76.4	bg2.09:LP-AN-ARM		Bushveld	2.737e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.09	bg2	pmagpy-3.9.1-5	bg2.09	u	1.800e-01	5.000e-05	0.0	-90.0	18	2.730e+02
	This study		0.3	192.5	34.7	bg2.12:LP-AN-ARM		Bushveld	1.384e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	1	2.730e+02
	This study		0.2	316.6	-1.4	bg2.12:LP-AN-ARM		Bushveld	1.692e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	315.0	0.0	2	2.730e+02
	This study		0.2	311.9	-2.3	bg2.12:LP-AN-ARM		Bushveld	4.547e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	3	2.730e+02
	This study		0.2	242.5	6.2	bg2.12:LP-AN-ARM		Bushveld	1.870e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	225.0	0.0	4	2.730e+02
	This study		0.2	262.5	5.7	bg2.12:LP-AN-ARM		Bushveld	5.763e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	5	2.730e+02
	This study		0.1	199.9	10.6	bg2.12:LP-AN-ARM		Bushveld	1.937e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	180.0	0.0	6	2.730e+02
	This study		0.3	196.4	5.3	bg2.12:LP-AN-ARM		Bushveld	5.712e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	7	2.730e+02
	This study		0.4	113.9	-47.6	bg2.12:LP-AN-ARM		Bushveld	1.789e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	90.0	-45.0	8	2.730e+02
	This study		0.2	112.0	-46.0	bg2.12:LP-AN-ARM		Bushveld	4.515e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	9	2.730e+02
	This study		0.4	278.4	-58.0	bg2.12:LP-AN-ARM		Bushveld	1.989e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	270.0	-45.0	10	2.730e+02
	This study		0.4	239.3	-74.9	bg2.12:LP-AN-ARM		Bushveld	4.973e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	11	2.730e+02
	This study		0.2	273.2	-9.4	bg2.12:LP-AN-ARM		Bushveld	1.887e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	270.0	0.0	12	2.730e+02
	This study		0.2	259.5	-8.5	bg2.12:LP-AN-ARM		Bushveld	5.442e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	13	2.730e+02
	This study		0.2	199.8	39.6	bg2.12:LP-AN-ARM		Bushveld	2.036e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	180.0	45.0	14	2.730e+02
	This study		0.2	206.4	37.1	bg2.12:LP-AN-ARM		Bushveld	7.298e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	15	2.730e+02
	This study		0.2	190.0	-22.8	bg2.12:LP-AN-ARM		Bushveld	1.800e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	180.0	-45.0	16	2.730e+02
	This study		0.1	202.4	-0.0	bg2.12:LP-AN-ARM		Bushveld	5.682e-06	2.730e+02	LT-AF-Z:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	0.000e+00	0	0	17	2.730e+02
	This study		0.4	237.3	-80.3	bg2.12:LP-AN-ARM		Bushveld	1.921e-05	2.730e+02	LT-AF-I:LP-AN-ARM	g	bg2.12	bg2	pmagpy-3.9.1-5	bg2.12	u	1.800e-01	5.000e-05	0.0	-90.0	18	2.730e+02
