tab 	pmag_specimens
specimen_description	specimen_correction	er_site_name	er_sample_name	specimen_dec	er_citation_names	specimen_inferred_age_unit	er_location_name	specimen_inferred_age	specimen_inc	er_specimen_name	magic_method_codes	specimen_int_rel
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-045	18-3-045	2.8	This study	Ma	DSDP Site 522	26.0991	-65.9	18-3-045	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002208
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-047	18-3-047	351	This study	Ma	DSDP Site 522	26.1012	-62.2	18-3-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002307
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-051	18-3-051	2.8	This study	Ma	DSDP Site 522	26.1045	-60.9	18-3-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002234
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-054	18-3-054	356.4	This study	Ma	DSDP Site 522	26.1077	-49.7	18-3-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002007
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-058	18-3-058	355	This study	Ma	DSDP Site 522	26.112	-57.2	18-3-058	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002538
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-061	18-3-061	355.1	This study	Ma	DSDP Site 522	26.1153	-53.5	18-3-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002264
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-064	18-3-064	12.5	This study	Ma	DSDP Site 522	26.1185	-52.1	18-3-064	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001474
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-067	18-3-067	359.2	This study	Ma	DSDP Site 522	26.1217	-54.3	18-3-067	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002562
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-071	18-3-071	6.4	This study	Ma	DSDP Site 522	26.1271	-51.5	18-3-071	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002699
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-075	18-3-075	348.2	This study	Ma	DSDP Site 522	26.1315	-55.6	18-3-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002562
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-078	18-3-078	10.1	This study	Ma	DSDP Site 522	26.1347	-59.8	18-3-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002422
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-080	18-3-080	17.8	This study	Ma	DSDP Site 522	26.1369	-48	18-3-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00164
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-083	18-3-083	355.4	This study	Ma	DSDP Site 522	26.1401	-61	18-3-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002059
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-086	18-3-086	5.3	This study	Ma	DSDP Site 522	26.1433	-53.8	18-3-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00206
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-089	18-3-089	354.7	This study	Ma	DSDP Site 522	26.1466	-57.6	18-3-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001673
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-093	18-3-093	7.7	This study	Ma	DSDP Site 522	26.1498	-51.5	18-3-093	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002132
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-096	18-3-096	10.2	This study	Ma	DSDP Site 522	26.1531	-45.8	18-3-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002181
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-099	18-3-099	342.7	This study	Ma	DSDP Site 522	26.1563	-53.5	18-3-099	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001815
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-102	18-3-102	8.6	This study	Ma	DSDP Site 522	26.1595	-58.3	18-3-102	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001915
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-105	18-3-105	13	This study	Ma	DSDP Site 522	26.1628	-59	18-3-105	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002556
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	18-3-107	18-3-107	7.6	This study	Ma	DSDP Site 522	26.166	-55.6	18-3-107	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001619
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-024	19-1-024	152	This study	Ma	DSDP Site 522	26.2265	-9	19-1-024	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009643
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-028	19-1-028	173.8	This study	Ma	DSDP Site 522	26.2308	22	19-1-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001431
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-043	19-1-043	166.3	This study	Ma	DSDP Site 522	26.247	-30.4	19-1-043	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007864
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-046	19-1-046	123.8	This study	Ma	DSDP Site 522	26.2514	-67.9	19-1-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001517
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-049	19-1-049	100	This study	Ma	DSDP Site 522	26.2546	-57.8	19-1-049	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00161
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-053	19-1-053	67.9	This study	Ma	DSDP Site 522	26.2589	-56.3	19-1-053	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001486
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-057	19-1-057	55.4	This study	Ma	DSDP Site 522	26.2622	-58.9	19-1-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002702
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-061	19-1-061	56.8	This study	Ma	DSDP Site 522	26.2676	-49.5	19-1-061	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002107
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-064	19-1-064	88.4	This study	Ma	DSDP Site 522	26.2708	-61.6	19-1-064	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001572
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-071	19-1-071	60.3	This study	Ma	DSDP Site 522	26.2784	-74.2	19-1-071	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008727
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-074	19-1-074	224.8	This study	Ma	DSDP Site 522	26.2805	-83.2	19-1-074	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0006087
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-077	19-1-077	71.1	This study	Ma	DSDP Site 522	26.2848	-68.6	19-1-077	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001346
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-080	19-1-080	357.9	This study	Ma	DSDP Site 522	26.287	-73.7	19-1-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0009394
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-083	19-1-083	42.4	This study	Ma	DSDP Site 522	26.2913	-69.7	19-1-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001413
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-088	19-1-088	35.7	This study	Ma	DSDP Site 522	26.2956	-79.3	19-1-088	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001335
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-091	19-1-091	34.1	This study	Ma	DSDP Site 522	26.2989	-59.9	19-1-091	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001183
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-094	19-1-094	79.5	This study	Ma	DSDP Site 522	26.3021	-72.2	19-1-094	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001277
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-098	19-1-098	61.1	This study	Ma	DSDP Site 522	26.3064	-77.9	19-1-098	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001168
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-100	19-1-100	17.2	This study	Ma	DSDP Site 522	26.3086	-62.8	19-1-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001147
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-103	19-1-103	16.8	This study	Ma	DSDP Site 522	26.3129	-64.1	19-1-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001676
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-106	19-1-106	23.8	This study	Ma	DSDP Site 522	26.3162	-69.9	19-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001889
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-109	19-1-109	140.8	This study	Ma	DSDP Site 522	26.3194	-9.1	19-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0002062
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-113	19-1-113	349.8	This study	Ma	DSDP Site 522	26.3237	-45.8	19-1-113	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001252
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-117	19-1-117	335.6	This study	Ma	DSDP Site 522	26.328	-70.4	19-1-117	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001003
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-121	19-1-121	3.7	This study	Ma	DSDP Site 522	26.3313	-58.9	19-1-121	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001133
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-124	19-1-124	357.5	This study	Ma	DSDP Site 522	26.3356	-63.5	19-1-124	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00183
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-128	19-1-128	350.6	This study	Ma	DSDP Site 522	26.3389	-45.4	19-1-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002284
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-131	19-1-131	19	This study	Ma	DSDP Site 522	26.3432	-53.7	19-1-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002606
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-135	19-1-135	164.4	This study	Ma	DSDP Site 522	26.3464	39.1	19-1-135	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001298
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-137	19-1-137	332.1	This study	Ma	DSDP Site 522	26.3497	-50.1	19-1-137	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001773
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-140	19-1-140	342.2	This study	Ma	DSDP Site 522	26.3529	-65	19-1-140	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00226
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-144	19-1-144	335.4	This study	Ma	DSDP Site 522	26.3561	-57.9	19-1-144	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002147
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-147	19-1-147	296.9	This study	Ma	DSDP Site 522	26.3594	-84	19-1-147	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001411
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-1-150	19-1-150	206.7	This study	Ma	DSDP Site 522	26.3626	-65.3	19-1-150	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001165
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-001	19-2-001	359.1	This study	Ma	DSDP Site 522	26.3648	-48	19-2-001	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001338
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-004	19-2-004	358.6	This study	Ma	DSDP Site 522	26.368	-60.4	19-2-004	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001431
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-008	19-2-008	29	This study	Ma	DSDP Site 522	26.3713	-44.5	19-2-008	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00131
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-010	19-2-010	5.2	This study	Ma	DSDP Site 522	26.3745	-54.4	19-2-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001821
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-014	19-2-014	23.5	This study	Ma	DSDP Site 522	26.3777	-47.5	19-2-014	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001928
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-017	19-2-017	358.4	This study	Ma	DSDP Site 522	26.3821	-42.3	19-2-017	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001823
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-020	19-2-020	0.8	This study	Ma	DSDP Site 522	26.3842	-72.4	19-2-020	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00158
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-025	19-2-025	1.3	This study	Ma	DSDP Site 522	26.3896	-58.3	19-2-025	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0026
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-028	19-2-028	356.6	This study	Ma	DSDP Site 522	26.3929	-43.6	19-2-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002543
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-032	19-2-032	357.3	This study	Ma	DSDP Site 522	26.3983	-38.1	19-2-032	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002214
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-035	19-2-035	4.4	This study	Ma	DSDP Site 522	26.4015	-42.9	19-2-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002943
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-039	19-2-039	2.8	This study	Ma	DSDP Site 522	26.4047	-52.7	19-2-039	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003324
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-042	19-2-042	355.9	This study	Ma	DSDP Site 522	26.408	-49.5	19-2-042	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003079
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-045	19-2-045	352.2	This study	Ma	DSDP Site 522	26.4123	-65.6	19-2-045	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003659
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-048	19-2-048	5.2	This study	Ma	DSDP Site 522	26.4155	-49.2	19-2-048	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003236
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-051	19-2-051	342.4	This study	Ma	DSDP Site 522	26.4177	-54.6	19-2-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002067
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-055	19-2-055	11.6	This study	Ma	DSDP Site 522	26.422	-38.6	19-2-055	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002189
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-057	19-2-057	351.6	This study	Ma	DSDP Site 522	26.4253	-41.8	19-2-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002854
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-062	19-2-062	358.8	This study	Ma	DSDP Site 522	26.4296	-40	19-2-062	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002422
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-065	19-2-065	350.5	This study	Ma	DSDP Site 522	26.4328	-50.3	19-2-065	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002519
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-069	19-2-069	10.2	This study	Ma	DSDP Site 522	26.4371	-50.6	19-2-069	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00187
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-072	19-2-072	348.1	This study	Ma	DSDP Site 522	26.4404	-61.2	19-2-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001621
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-076	19-2-076	353.8	This study	Ma	DSDP Site 522	26.4447	-39.5	19-2-076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001513
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-079	19-2-079	3.3	This study	Ma	DSDP Site 522	26.4479	-53.5	19-2-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002182
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-082	19-2-082	358.5	This study	Ma	DSDP Site 522	26.4523	-54.3	19-2-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00183
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-085	19-2-085	327.5	This study	Ma	DSDP Site 522	26.4555	-67.1	19-2-085	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001786
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-090	19-2-090	354.6	This study	Ma	DSDP Site 522	26.4598	-61.8	19-2-090	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002609
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-092	19-2-092	350.9	This study	Ma	DSDP Site 522	26.4631	-61	19-2-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002489
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-096	19-2-096	350.1	This study	Ma	DSDP Site 522	26.4674	-61	19-2-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002137
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-100	19-2-100	2.5	This study	Ma	DSDP Site 522	26.4706	-72.1	19-2-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001964
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-102	19-2-102	8.2	This study	Ma	DSDP Site 522	26.4739	-59.3	19-2-102	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001235
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-106	19-2-106	345.5	This study	Ma	DSDP Site 522	26.4771	-41.8	19-2-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002519
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-109	19-2-109	339	This study	Ma	DSDP Site 522	26.4803	-42.5	19-2-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003206
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-112	19-2-112	348.6	This study	Ma	DSDP Site 522	26.4847	-55.6	19-2-112	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003133
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-115	19-2-115	326.1	This study	Ma	DSDP Site 522	26.4868	-62.5	19-2-115	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002319
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-118	19-2-118	356.5	This study	Ma	DSDP Site 522	26.4911	-66.7	19-2-118	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003186
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-122	19-2-122	348.1	This study	Ma	DSDP Site 522	26.4944	-54.4	19-2-122	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002559
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-125	19-2-125	346.3	This study	Ma	DSDP Site 522	26.4976	-56.6	19-2-125	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002966
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-128	19-2-128	321.6	This study	Ma	DSDP Site 522	26.502	-52.1	19-2-128	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002108
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-131	19-2-131	334.3	This study	Ma	DSDP Site 522	26.5052	-46.1	19-2-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002431
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-135	19-2-135	333.5	This study	Ma	DSDP Site 522	26.5095	-55	19-2-135	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003764
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-138	19-2-138	332.5	This study	Ma	DSDP Site 522	26.5128	-49.2	19-2-138	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002061
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-142	19-2-142	349.6	This study	Ma	DSDP Site 522	26.5171	-49.2	19-2-142	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001695
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-145	19-2-145	342.4	This study	Ma	DSDP Site 522	26.5203	-66.1	19-2-145	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001873
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-2-148	19-2-148	336.5	This study	Ma	DSDP Site 522	26.5236	-41.5	19-2-148	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002373
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-001	19-3-001	333.3	This study	Ma	DSDP Site 522	26.5257	-33.7	19-3-001	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002643
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-004	19-3-004	340.7	This study	Ma	DSDP Site 522	26.529	-42.3	19-3-004	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002492
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-007	19-3-007	332.7	This study	Ma	DSDP Site 522	26.5322	-39.2	19-3-007	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002111
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-010	19-3-010	336.9	This study	Ma	DSDP Site 522	26.5365	-34.4	19-3-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002181
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-013	19-3-013	337.8	This study	Ma	DSDP Site 522	26.5387	-37.9	19-3-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002077
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-017	19-3-017	312.7	This study	Ma	DSDP Site 522	26.543	-33.1	19-3-017	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002344
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-020	19-3-020	310.9	This study	Ma	DSDP Site 522	26.5473	-27.5	19-3-020	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002382
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-023	19-3-023	334.7	This study	Ma	DSDP Site 522	26.5506	-42.5	19-3-023	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002402
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-026	19-3-026	322.1	This study	Ma	DSDP Site 522	26.5538	-34.4	19-3-026	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001816
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-030	19-3-030	343.4	This study	Ma	DSDP Site 522	26.557	-43.1	19-3-030	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007475
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-034	19-3-034	278.8	This study	Ma	DSDP Site 522	26.5624	27.2	19-3-034	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0003669
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-038	19-3-038	328.4	This study	Ma	DSDP Site 522	26.5657	9.3	19-3-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0002931
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-041	19-3-041	269.1	This study	Ma	DSDP Site 522	26.57	67.2	19-3-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0008472
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-044	19-3-044	261.4	This study	Ma	DSDP Site 522	26.5756	72.8	19-3-044	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0007585
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-046	19-3-046	52.2	This study	Ma	DSDP Site 522	26.5793	61.4	19-3-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0005814
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-050	19-3-050	207.6	This study	Ma	DSDP Site 522	26.5868	70	19-3-050	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001119
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-053	19-3-053	178.3	This study	Ma	DSDP Site 522	26.5924	64.3	19-3-053	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002048
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-058	19-3-058	207.4	This study	Ma	DSDP Site 522	26.6017	57.1	19-3-058	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001486
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-060	19-3-060	149.5	This study	Ma	DSDP Site 522	26.6055	63.6	19-3-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001451
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-063	19-3-063	176.1	This study	Ma	DSDP Site 522	26.6111	59.3	19-3-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00214
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-066	19-3-066	177.3	This study	Ma	DSDP Site 522	26.6167	56.7	19-3-066	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002198
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-070	19-3-070	181.1	This study	Ma	DSDP Site 522	26.6223	61.9	19-3-070	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00152
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-072	19-3-072	177.7	This study	Ma	DSDP Site 522	26.6279	68.3	19-3-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001816
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-076	19-3-076	178.5	This study	Ma	DSDP Site 522	26.6354	64.1	19-3-076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001816
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-080	19-3-080	167.4	This study	Ma	DSDP Site 522	26.641	68.8	19-3-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001565
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	19-3-083	19-3-083	184.6	This study	Ma	DSDP Site 522	26.6484	54	19-3-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002239
