tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	method_codes	quality	sequence	standard	meas_temp	description	software_packages	magn_moment
is036c2:LP-DIR-AF11	is036c2:LP-DIR-AF	is036c2	0	160.6	6.9	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	314	u	2.730e+02		pmagpy-4.0.0	 7.374e-06
is036d2:LP-DIR-AF0	is036d2:LP-DIR-AF	is036d2	1	168.1	19.4	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	315	u	2.730e+02		pmagpy-4.0.0	 3.274e-05
is036d2:LP-DIR-AF1	is036d2:LP-DIR-AF	is036d2	1	168.0	19.7	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	316	u	2.730e+02		pmagpy-4.0.0	 3.284e-05
is036d2:LP-DIR-AF2	is036d2:LP-DIR-AF	is036d2	1	169.2	19.6	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	317	u	2.730e+02		pmagpy-4.0.0	 3.242e-05
is036d2:LP-DIR-AF3	is036d2:LP-DIR-AF	is036d2	1	168.6	19.6	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	318	u	2.730e+02		pmagpy-4.0.0	 3.156e-05
is036d2:LP-DIR-AF4	is036d2:LP-DIR-AF	is036d2	1	169.4	19.2	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	319	u	2.730e+02		pmagpy-4.0.0	 3.071e-05
is036d2:LP-DIR-AF5	is036d2:LP-DIR-AF	is036d2	1	169.6	19.3	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	320	u	2.730e+02		pmagpy-4.0.0	 2.993e-05
is036d2:LP-DIR-AF6	is036d2:LP-DIR-AF	is036d2	1	169.8	19.3	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	321	u	2.730e+02		pmagpy-4.0.0	 2.906e-05
is036d2:LP-DIR-AF7	is036d2:LP-DIR-AF	is036d2	0	169.3	19.8	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	322	u	2.730e+02		pmagpy-4.0.0	 2.710e-05
is036d2:LP-DIR-AF8	is036d2:LP-DIR-AF	is036d2	2	169.2	20.1	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	323	u	2.730e+02		pmagpy-4.0.0	 2.430e-05
is036d2:LP-DIR-AF9	is036d2:LP-DIR-AF	is036d2	0	170.4	19.9	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	324	u	2.730e+02		pmagpy-4.0.0	 2.136e-05
is036d2:LP-DIR-AF10	is036d2:LP-DIR-AF	is036d2	0	169.6	20.6	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	325	u	2.730e+02		pmagpy-4.0.0	 1.580e-05
is036d2:LP-DIR-AF11	is036d2:LP-DIR-AF	is036d2	0	170.0	21.0	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	326	u	2.730e+02		pmagpy-4.0.0	 9.582e-06
is036d2:LP-DIR-AF12	is036d2:LP-DIR-AF	is036d2	1	168.9	20.9	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	327	u	2.730e+02		pmagpy-4.0.0	 6.363e-06
is036h2:LP-DIR-AF0	is036h2:LP-DIR-AF	is036h2	1	171.7	0.8	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	328	u	2.730e+02		pmagpy-4.0.0	 1.469e-05
is036h2:LP-DIR-AF1	is036h2:LP-DIR-AF	is036h2	1	172.8	1.0	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	329	u	2.730e+02		pmagpy-4.0.0	 1.390e-05
is036h2:LP-DIR-AF2	is036h2:LP-DIR-AF	is036h2	0	173.2	-0.2	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	330	u	2.730e+02		pmagpy-4.0.0	 1.213e-05
is036h2:LP-DIR-AF3	is036h2:LP-DIR-AF	is036h2	0	173.8	-1.3	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	331	u	2.730e+02		pmagpy-4.0.0	 1.009e-05
is036h2:LP-DIR-AF4	is036h2:LP-DIR-AF	is036h2	0	175.5	-2.6	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	332	u	2.730e+02		pmagpy-4.0.0	 8.215e-06
is036h2:LP-DIR-AF5	is036h2:LP-DIR-AF	is036h2	0	175.9	-3.0	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	333	u	2.730e+02		pmagpy-4.0.0	 6.691e-06
is036h2:LP-DIR-AF6	is036h2:LP-DIR-AF	is036h2	1	175.5	-3.8	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	334	u	2.730e+02		pmagpy-4.0.0	 5.431e-06
is036h2:LP-DIR-AF7	is036h2:LP-DIR-AF	is036h2	0	177.0	-3.6	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	335	u	2.730e+02		pmagpy-4.0.0	 3.669e-06
is036h2:LP-DIR-AF8	is036h2:LP-DIR-AF	is036h2	0	177.2	-4.4	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	336	u	2.730e+02		pmagpy-4.0.0	 2.554e-06
is036h2:LP-DIR-AF9	is036h2:LP-DIR-AF	is036h2	0	178.4	-4.8	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	337	u	2.730e+02		pmagpy-4.0.0	 1.866e-06
is036h2:LP-DIR-AF10	is036h2:LP-DIR-AF	is036h2	1	178.9	-3.5	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	338	u	2.730e+02		pmagpy-4.0.0	 1.171e-06
is036h2:LP-DIR-AF11	is036h2:LP-DIR-AF	is036h2	2	179.9	-4.9	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	339	u	2.730e+02		pmagpy-4.0.0	 7.499e-07
is036h2:LP-DIR-AF12	is036h2:LP-DIR-AF	is036h2	3	180.1	-3.2	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	340	u	2.730e+02		pmagpy-4.0.0	 5.368e-07
is037b2:LP-DIR-AF0	is037b2:LP-DIR-AF	is037b2	0	159.5	1.0	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	341	u	2.730e+02		pmagpy-4.0.0	 1.657e-05
is037b2:LP-DIR-AF1	is037b2:LP-DIR-AF	is037b2	1	157.6	0.8	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	342	u	2.730e+02		pmagpy-4.0.0	 1.651e-05
is037b2:LP-DIR-AF2	is037b2:LP-DIR-AF	is037b2	1	156.3	0.7	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	343	u	2.730e+02		pmagpy-4.0.0	 1.611e-05
is037b2:LP-DIR-AF3	is037b2:LP-DIR-AF	is037b2	1	153.7	0.4	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	344	u	2.730e+02		pmagpy-4.0.0	 1.556e-05
is037b2:LP-DIR-AF4	is037b2:LP-DIR-AF	is037b2	1	152.2	-0.4	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	345	u	2.730e+02		pmagpy-4.0.0	 1.348e-05
is037b2:LP-DIR-AF5	is037b2:LP-DIR-AF	is037b2	1	151.3	-0.4	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	346	u	2.730e+02		pmagpy-4.0.0	 1.331e-05
is037b2:LP-DIR-AF6	is037b2:LP-DIR-AF	is037b2	1	149.6	-0.4	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	347	u	2.730e+02		pmagpy-4.0.0	 1.300e-05
is037b2:LP-DIR-AF7	is037b2:LP-DIR-AF	is037b2	0	149.0	-0.5	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	348	u	2.730e+02		pmagpy-4.0.0	 1.225e-05
is037b2:LP-DIR-AF8	is037b2:LP-DIR-AF	is037b2	0	147.6	-0.2	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	349	u	2.730e+02		pmagpy-4.0.0	 1.114e-05
is037b2:LP-DIR-AF9	is037b2:LP-DIR-AF	is037b2	0	148.4	-1.3	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	350	u	2.730e+02		pmagpy-4.0.0	 1.024e-05
is037b2:LP-DIR-AF10	is037b2:LP-DIR-AF	is037b2	0	149.0	-0.9	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	351	u	2.730e+02		pmagpy-4.0.0	 8.400e-06
is037b2:LP-DIR-AF11	is037b2:LP-DIR-AF	is037b2	0	147.5	-1.3	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	352	u	2.730e+02		pmagpy-4.0.0	 5.937e-06
is037b2:LP-DIR-AF12	is037b2:LP-DIR-AF	is037b2	1	148.2	-1.8	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	353	u	2.730e+02		pmagpy-4.0.0	 4.654e-06
is037c1:LP-DIR-AF0	is037c1:LP-DIR-AF	is037c1	0	166.1	-5.7	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	354	u	2.730e+02		pmagpy-4.0.0	 1.826e-05
is037c1:LP-DIR-AF1	is037c1:LP-DIR-AF	is037c1	0	165.2	-5.9	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	355	u	2.730e+02		pmagpy-4.0.0	 1.778e-05
is037c1:LP-DIR-AF2	is037c1:LP-DIR-AF	is037c1	1	163.9	-6.6	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	356	u	2.730e+02		pmagpy-4.0.0	 1.655e-05
is037c1:LP-DIR-AF3	is037c1:LP-DIR-AF	is037c1	1	163.4	-7.6	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	357	u	2.730e+02		pmagpy-4.0.0	 1.501e-05
is037c1:LP-DIR-AF4	is037c1:LP-DIR-AF	is037c1	0	162.4	-8.1	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	358	u	2.730e+02		pmagpy-4.0.0	 1.377e-05
is037c1:LP-DIR-AF5	is037c1:LP-DIR-AF	is037c1	0	161.1	-8.6	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	359	u	2.730e+02		pmagpy-4.0.0	 1.277e-05
is037c1:LP-DIR-AF6	is037c1:LP-DIR-AF	is037c1	0	160.3	-8.9	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	360	u	2.730e+02		pmagpy-4.0.0	 1.199e-05
is037c1:LP-DIR-AF7	is037c1:LP-DIR-AF	is037c1	0	160.3	-9.4	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	361	u	2.730e+02		pmagpy-4.0.0	 1.062e-05
is037c1:LP-DIR-AF8	is037c1:LP-DIR-AF	is037c1	1	160.7	-9.5	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	362	u	2.730e+02		pmagpy-4.0.0	 9.547e-06
is037c1:LP-DIR-AF9	is037c1:LP-DIR-AF	is037c1	1	159.4	-9.7	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	363	u	2.730e+02		pmagpy-4.0.0	 8.548e-06
is037c1:LP-DIR-AF10	is037c1:LP-DIR-AF	is037c1	0	160.0	-9.7	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	364	u	2.730e+02		pmagpy-4.0.0	 6.876e-06
is037c1:LP-DIR-AF11	is037c1:LP-DIR-AF	is037c1	0	160.6	-10.2	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	365	u	2.730e+02		pmagpy-4.0.0	 5.040e-06
is037c1:LP-DIR-AF12	is037c1:LP-DIR-AF	is037c1	0	160.7	-10.5	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	366	u	2.730e+02		pmagpy-4.0.0	 4.184e-06
is037e2:LP-DIR-AF0	is037e2:LP-DIR-AF	is037e2	1	156.8	-5.8	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	367	u	2.730e+02		pmagpy-4.0.0	 1.438e-05
is037e2:LP-DIR-AF1	is037e2:LP-DIR-AF	is037e2	2	155.5	-6.9	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	368	u	2.730e+02		pmagpy-4.0.0	 1.419e-05
is037e2:LP-DIR-AF2	is037e2:LP-DIR-AF	is037e2	1	154.4	-7.9	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	369	u	2.730e+02		pmagpy-4.0.0	 1.376e-05
is037e2:LP-DIR-AF3	is037e2:LP-DIR-AF	is037e2	1	153.4	-7.7	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	370	u	2.730e+02		pmagpy-4.0.0	 1.318e-05
is037e2:LP-DIR-AF4	is037e2:LP-DIR-AF	is037e2	1	154.4	-9.0	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	371	u	2.730e+02		pmagpy-4.0.0	 1.242e-05
is037e2:LP-DIR-AF5	is037e2:LP-DIR-AF	is037e2	1	153.2	-8.8	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	372	u	2.730e+02		pmagpy-4.0.0	 1.169e-05
is037e2:LP-DIR-AF6	is037e2:LP-DIR-AF	is037e2	0	154.3	-9.6	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	373	u	2.730e+02		pmagpy-4.0.0	 1.096e-05
is037e2:LP-DIR-AF7	is037e2:LP-DIR-AF	is037e2	1	153.4	-9.5	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	374	u	2.730e+02		pmagpy-4.0.0	 9.893e-06
is037e2:LP-DIR-AF8	is037e2:LP-DIR-AF	is037e2	1	153.7	-10.3	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	375	u	2.730e+02		pmagpy-4.0.0	 8.704e-06
is037e2:LP-DIR-AF9	is037e2:LP-DIR-AF	is037e2	0	153.1	-10.0	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	376	u	2.730e+02		pmagpy-4.0.0	 7.956e-06
is037e2:LP-DIR-AF10	is037e2:LP-DIR-AF	is037e2	0	152.9	-10.5	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	377	u	2.730e+02		pmagpy-4.0.0	 6.288e-06
is037e2:LP-DIR-AF11	is037e2:LP-DIR-AF	is037e2	1	153.8	-10.9	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	378	u	2.730e+02		pmagpy-4.0.0	 4.131e-06
is037e2:LP-DIR-AF12	is037e2:LP-DIR-AF	is037e2	2	154.7	-9.7	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	379	u	2.730e+02		pmagpy-4.0.0	 3.023e-06
is037h1:LP-DIR-AF0	is037h1:LP-DIR-AF	is037h1	0	149.5	-22.2	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	380	u	2.730e+02		pmagpy-4.0.0	 2.771e-05
is037h1:LP-DIR-AF1	is037h1:LP-DIR-AF	is037h1	0	150.0	-22.1	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	381	u	2.730e+02		pmagpy-4.0.0	 2.746e-05
is037h1:LP-DIR-AF2	is037h1:LP-DIR-AF	is037h1	1	149.5	-22.4	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	382	u	2.730e+02		pmagpy-4.0.0	 2.689e-05
is037h1:LP-DIR-AF3	is037h1:LP-DIR-AF	is037h1	0	149.6	-22.4	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	383	u	2.730e+02		pmagpy-4.0.0	 2.599e-05
is037h1:LP-DIR-AF4	is037h1:LP-DIR-AF	is037h1	0	149.5	-22.3	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	384	u	2.730e+02		pmagpy-4.0.0	 2.487e-05
is037h1:LP-DIR-AF5	is037h1:LP-DIR-AF	is037h1	1	149.3	-22.3	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	385	u	2.730e+02		pmagpy-4.0.0	 2.346e-05
is037h1:LP-DIR-AF6	is037h1:LP-DIR-AF	is037h1	0	149.8	-22.5	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	386	u	2.730e+02		pmagpy-4.0.0	 2.194e-05
is037h1:LP-DIR-AF7	is037h1:LP-DIR-AF	is037h1	0	148.9	-22.3	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	387	u	2.730e+02		pmagpy-4.0.0	 1.929e-05
is037h1:LP-DIR-AF8	is037h1:LP-DIR-AF	is037h1	1	149.9	-22.6	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	388	u	2.730e+02		pmagpy-4.0.0	 1.671e-05
is037h1:LP-DIR-AF9	is037h1:LP-DIR-AF	is037h1	0	149.8	-22.5	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	389	u	2.730e+02		pmagpy-4.0.0	 1.392e-05
is037h1:LP-DIR-AF10	is037h1:LP-DIR-AF	is037h1	1	149.6	-21.9	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	390	u	2.730e+02		pmagpy-4.0.0	 9.668e-06
is037h1:LP-DIR-AF11	is037h1:LP-DIR-AF	is037h1	1	150.5	-21.8	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	391	u	2.730e+02		pmagpy-4.0.0	 5.638e-06
is037h1:LP-DIR-AF12	is037h1:LP-DIR-AF	is037h1	1	151.2	-20.8	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	392	u	2.730e+02		pmagpy-4.0.0	 4.071e-06
is037i1:LP-DIR-AF0	is037i1:LP-DIR-AF	is037i1	2	180.2	31.0	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	393	u	2.730e+02		pmagpy-4.0.0	 1.888e-05
is037i1:LP-DIR-AF1	is037i1:LP-DIR-AF	is037i1	2	177.7	31.2	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	394	u	2.730e+02		pmagpy-4.0.0	 1.756e-05
is037i1:LP-DIR-AF2	is037i1:LP-DIR-AF	is037i1	2	176.6	30.7	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	395	u	2.730e+02		pmagpy-4.0.0	 1.576e-05
is037i1:LP-DIR-AF3	is037i1:LP-DIR-AF	is037i1	1	175.5	30.5	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	396	u	2.730e+02		pmagpy-4.0.0	 1.428e-05
is037i1:LP-DIR-AF4	is037i1:LP-DIR-AF	is037i1	1	175.4	29.9	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	397	u	2.730e+02		pmagpy-4.0.0	 1.281e-05
is037i1:LP-DIR-AF5	is037i1:LP-DIR-AF	is037i1	1	176.6	29.5	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	398	u	2.730e+02		pmagpy-4.0.0	 1.167e-05
is037i1:LP-DIR-AF6	is037i1:LP-DIR-AF	is037i1	2	175.9	29.0	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	399	u	2.730e+02		pmagpy-4.0.0	 1.064e-05
is037i1:LP-DIR-AF7	is037i1:LP-DIR-AF	is037i1	1	175.4	28.2	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	400	u	2.730e+02		pmagpy-4.0.0	 9.378e-06
is037i1:LP-DIR-AF8	is037i1:LP-DIR-AF	is037i1	2	176.8	27.8	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	401	u	2.730e+02		pmagpy-4.0.0	 8.404e-06
is037i1:LP-DIR-AF9	is037i1:LP-DIR-AF	is037i1	2	175.8	27.7	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	402	u	2.730e+02		pmagpy-4.0.0	 7.749e-06
is037i1:LP-DIR-AF10	is037i1:LP-DIR-AF	is037i1	0	174.7	27.8	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	403	u	2.730e+02		pmagpy-4.0.0	 6.724e-06
is037i1:LP-DIR-AF11	is037i1:LP-DIR-AF	is037i1	1	173.6	27.7	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	404	u	2.730e+02		pmagpy-4.0.0	 5.549e-06
is037i1:LP-DIR-AF12	is037i1:LP-DIR-AF	is037i1	1	174.2	27.4	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	405	u	2.730e+02		pmagpy-4.0.0	 4.845e-06
is038b1:LP-DIR-AF0	is038b1:LP-DIR-AF	is038b1	0	175.4	8.7	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	406	u	2.730e+02		pmagpy-4.0.0	 3.282e-05
is038b1:LP-DIR-AF1	is038b1:LP-DIR-AF	is038b1	0	175.3	8.5	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	407	u	2.730e+02		pmagpy-4.0.0	 3.278e-05
is038b1:LP-DIR-AF2	is038b1:LP-DIR-AF	is038b1	1	175.2	8.6	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	408	u	2.730e+02		pmagpy-4.0.0	 3.264e-05
is038b1:LP-DIR-AF3	is038b1:LP-DIR-AF	is038b1	1	174.6	8.4	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	409	u	2.730e+02		pmagpy-4.0.0	 3.244e-05
is038b1:LP-DIR-AF4	is038b1:LP-DIR-AF	is038b1	0	175.1	8.4	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	410	u	2.730e+02		pmagpy-4.0.0	 3.205e-05
is038b1:LP-DIR-AF5	is038b1:LP-DIR-AF	is038b1	1	174.7	8.3	1.250e-02	0	0	0	5	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	411	u	2.730e+02		pmagpy-4.0.0	 3.159e-05
is038b1:LP-DIR-AF6	is038b1:LP-DIR-AF	is038b1	1	174.3	8.2	1.500e-02	0	0	0	6	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	412	u	2.730e+02		pmagpy-4.0.0	 3.105e-05
is038b1:LP-DIR-AF7	is038b1:LP-DIR-AF	is038b1	1	174.2	8.2	2.000e-02	0	0	0	7	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	413	u	2.730e+02		pmagpy-4.0.0	 2.986e-05
is038b1:LP-DIR-AF8	is038b1:LP-DIR-AF	is038b1	2	174.8	8.0	2.500e-02	0	0	0	8	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	414	u	2.730e+02		pmagpy-4.0.0	 2.860e-05
is038b1:LP-DIR-AF9	is038b1:LP-DIR-AF	is038b1	1	174.7	8.2	3.000e-02	0	0	0	9	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	415	u	2.730e+02		pmagpy-4.0.0	 2.731e-05
is038b1:LP-DIR-AF10	is038b1:LP-DIR-AF	is038b1	0	174.5	8.3	4.000e-02	0	0	0	10	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	416	u	2.730e+02		pmagpy-4.0.0	 2.479e-05
is038b1:LP-DIR-AF11	is038b1:LP-DIR-AF	is038b1	0	174.0	8.3	6.000e-02	0	0	0	11	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	417	u	2.730e+02		pmagpy-4.0.0	 2.059e-05
is038b1:LP-DIR-AF12	is038b1:LP-DIR-AF	is038b1	0	173.4	8.4	8.000e-02	0	0	0	12	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	418	u	2.730e+02		pmagpy-4.0.0	 1.678e-05
is038b1:LP-DIR-AF13	is038b1:LP-DIR-AF	is038b1	0	173.5	8.2	1.000e-01	0	0	0	13	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	419	u	2.730e+02		pmagpy-4.0.0	 1.313e-05
is038b1:LP-DIR-AF14	is038b1:LP-DIR-AF	is038b1	0	173.6	8.5	1.200e-01	0	0	0	14	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	420	u	2.730e+02		pmagpy-4.0.0	 9.968e-06
is038d1:LP-DIR-AF0	is038d1:LP-DIR-AF	is038d1	1	166.3	7.1	0.000e+00	0	0	0	0	2.730e+02	This study	LT-NO:LP-DIR-AF	g	421	u	2.730e+02		pmagpy-4.0.0	 2.898e-05
is038d1:LP-DIR-AF1	is038d1:LP-DIR-AF	is038d1	1	168.4	7.2	2.500e-03	0	0	0	1	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	422	u	2.730e+02		pmagpy-4.0.0	 2.892e-05
is038d1:LP-DIR-AF2	is038d1:LP-DIR-AF	is038d1	1	167.0	7.0	5.000e-03	0	0	0	2	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	423	u	2.730e+02		pmagpy-4.0.0	 2.875e-05
is038d1:LP-DIR-AF3	is038d1:LP-DIR-AF	is038d1	2	167.4	6.9	7.500e-03	0	0	0	3	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	424	u	2.730e+02		pmagpy-4.0.0	 2.860e-05
is038d1:LP-DIR-AF4	is038d1:LP-DIR-AF	is038d1	2	166.9	6.8	1.000e-02	0	0	0	4	2.730e+02	This study	LT-AF-Z:LP-DIR-AF	g	425	u	2.730e+02		pmagpy-4.0.0	 2.833e-05
