tab	measurements
analysts	citation	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
	This study	This study		    2.2	299.0	 68.9 	PI47-4a:LP-DIR-T	hargrave 2015-09-16 18:24:44	7.87e-08	8.34e-10	2.81e-09	6.32e-10	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	273	PI47-4a:LP-DIR-T1
	This study	This study		    2.0	297.0	 69.2 	PI47-4a:LP-DIR-T	hargrave 2015-09-19 18:34:22	7.81e-08	1.00e-09	2.54e-09	6.13e-10	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  323.0	PI47-4a:LP-DIR-T2
	This study	This study		    2.2	294.4	 69.4 	PI47-4a:LP-DIR-T	hargrave 2015-09-21 22:17:47	7.76e-08	1.15e-09	2.64e-09	7.69e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  348.0	PI47-4a:LP-DIR-T3
	This study	This study		    2.8	297.9	 69.3 	PI47-4a:LP-DIR-T	hargrave 2015-09-24 09:51:45	7.52e-08	8.46e-10	3.41e-09	1.07e-09	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  373.0	PI47-4a:LP-DIR-T4
	This study	This study		    2.8	305.3	 66.5 	PI47-4a:LP-DIR-T	hargrave 2015-09-24 15:45:43	7.03e-08	2.95e-09	1.37e-09	1.33e-09	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  398.0	PI47-4a:LP-DIR-T5
	This study	This study		    2.4	312.3	 64.0 	PI47-4a:LP-DIR-T	hargrave 2015-09-25 12:28:47	6.28e-08	1.30e-09	1.90e-09	1.27e-09	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  423.0	PI47-4a:LP-DIR-T6
	This study	This study		    2.8	324.0	 60.4 	PI47-4a:LP-DIR-T	hargrave 2015-09-26 13:52:10	5.69e-08	1.75e-09	1.75e-09	1.31e-09	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  448.0	PI47-4a:LP-DIR-T7
	This study	This study		    2.5	318.5	 59.8 	PI47-4a:LP-DIR-T	hargrave 2015-09-26 19:50:25	5.46e-08	1.35e-09	1.58e-09	1.11e-09	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  473.0	PI47-4a:LP-DIR-T8
	This study	This study		    3.6	321.8	 60.2 	PI47-4a:LP-DIR-T	hargrave 2015-09-28 19:41:36	5.18e-08	1.38e-09	2.54e-09	1.43e-09	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  498.0	PI47-4a:LP-DIR-T9
	This study	This study		    2.5	317.9	 59.7 	PI47-4a:LP-DIR-T	hargrave 2015-10-01 12:00:21	5.07e-08	1.50e-09	1.15e-09	1.22e-09	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  523.0	PI47-4a:LP-DIR-T10
	This study	This study		    3.1	320.4	 59.4 	PI47-4a:LP-DIR-T	hargrave 2015-10-05 18:52:32	4.82e-08	5.26e-10	2.25e-09	1.19e-09	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  548.0	PI47-4a:LP-DIR-T11
	This study	This study		    2.5	321.0	 59.1 	PI47-4a:LP-DIR-T	hargrave 2015-10-06 02:27:43	4.49e-08	1.14e-09	1.11e-09	1.12e-09	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  573.0	PI47-4a:LP-DIR-T12
	This study	This study		    2.6	326.1	 59.2 	PI47-4a:LP-DIR-T	hargrave 2015-10-06 07:02:48	4.17e-08	9.59e-10	1.41e-09	9.02e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  598.0	PI47-4a:LP-DIR-T13
	This study	This study		    2.4	325.8	 58.6 	PI47-4a:LP-DIR-T	hargrave 2015-10-06 12:48:43	3.70e-08	8.57e-10	1.01e-09	7.89e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  623.0	PI47-4a:LP-DIR-T14
	This study	This study		    3.2	321.9	 57.5 	PI47-4a:LP-DIR-T	hargrave 2015-10-08 13:23:49	3.23e-08	1.11e-09	1.06e-09	9.49e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  648.0	PI47-4a:LP-DIR-T15
	This study	This study		    3.0	319.3	 58.4 	PI47-4a:LP-DIR-T	hargrave 2015-10-10 16:26:39	2.83e-08	8.88e-10	8.92e-10	8.04e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  673.0	PI47-4a:LP-DIR-T16
	This study	This study		    3.2	316.7	 58.3 	PI47-4a:LP-DIR-T	hargrave 2015-10-13 11:14:22	2.38e-08	1.17e-09	2.30e-10	6.55e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  698.0	PI47-4a:LP-DIR-T17
	This study	This study		    3.9	320.1	 57.8 	PI47-4a:LP-DIR-T	hargrave 2015-10-13 16:55:33	2.00e-08	1.17e-09	1.86e-10	6.86e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  723.0	PI47-4a:LP-DIR-T18
	This study	This study		    3.0	312.3	 57.5 	PI47-4a:LP-DIR-T	hargrave 2015-10-16 18:40:08	1.63e-08	6.21e-10	4.16e-10	4.57e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  748.0	PI47-4a:LP-DIR-T19
	This study	This study		    2.0	305.5	 58.4 	PI47-4a:LP-DIR-T	hargrave 2015-10-19 18:32:23	1.17e-08	2.51e-10	1.77e-10	3.06e-10	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  773.0	PI47-4a:LP-DIR-T20
	This study	This study		    2.7	295.3	 71.0 	PI47-4a:LP-DIR-T	hargrave 2015-10-20 13:33:34	9.84e-09	9.71e-11	4.24e-10	1.82e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  798.0	PI47-4a:LP-DIR-T21
	This study	This study		    4.6	307.7	 39.4 	PI47-4a:LP-DIR-T	hargrave 2015-10-26 14:30:18	5.13e-09	8.47e-11	3.47e-10	2.34e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  823.0	PI47-4a:LP-DIR-T22
	This study	This study	average of multiple measurements	   23.9	  283.0	   52.2	PI47-4a:LP-DIR-T	hargrave 2015-10-29 10:55:15	3.269e-09	1.23e-10	3.65e-10	1.70e-10	    3.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  833.0	PI47-4a:LP-DIR-T23
	This study	This study	average of multiple measurements	    2.7	  268.8	   22.4	PI47-4a:LP-DIR-T	hargrave 2015-10-29 17:37:24	4.673e-09	2.17e-10	1.21e-10	1.89e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  843.0	PI47-4a:LP-DIR-T24
	This study	This study	average of multiple measurements	    3.0	  300.9	   35.0	PI47-4a:LP-DIR-T	hargrave 2015-10-31 13:38:38	5.057e-09	1.37e-10	1.84e-10	4.29e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  848.0	PI47-4a:LP-DIR-T25
	This study	This study	average of multiple measurements	   77.9	  278.7	   53.8	PI47-4a:LP-DIR-T	hargrave 2015-11-03 10:34:28	2.349e-09	1.98e-10	2.42e-10	1.61e-10	    3.0	273	LT-T-Z:DE-VM:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  850.0	PI47-4a:LP-DIR-T26
	This study	This study		    3.4	295.8	 28.3 	PI47-4a:LP-DIR-T	hargrave 2015-11-05 12:11:15	6.34e-09	1.83e-10	1.53e-10	3.18e-10	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-4a	u	0	0	0.00	0.00	  852.0	PI47-4a:LP-DIR-T27
	This study	This study		    0.5	074.7	 77.8 	PI47-5a:LP-DIR-T	hargrave 2015-09-16 18:26:23	9.46e-08	5.08e-10	6.95e-10	5.72e-10	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	273	PI47-5a:LP-DIR-T1
	This study	This study		    0.6	073.0	 77.8 	PI47-5a:LP-DIR-T	hargrave 2015-09-19 18:36:07	9.41e-08	5.53e-10	8.14e-10	5.97e-10	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  323.0	PI47-5a:LP-DIR-T2
	This study	This study		    0.6	074.3	 77.1 	PI47-5a:LP-DIR-T	hargrave 2015-09-21 22:19:26	9.29e-08	5.65e-10	8.61e-10	3.08e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  348.0	PI47-5a:LP-DIR-T3
	This study	This study		    0.7	074.9	 76.9 	PI47-5a:LP-DIR-T	hargrave 2015-09-24 09:53:20	8.99e-08	7.48e-10	7.77e-10	3.52e-10	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  373.0	PI47-5a:LP-DIR-T4
	This study	This study		    1.1	071.5	 75.2 	PI47-5a:LP-DIR-T	hargrave 2015-09-24 15:47:19	8.42e-08	1.02e-09	1.08e-09	7.00e-10	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  398.0	PI47-5a:LP-DIR-T5
	This study	This study		    0.9	072.7	 71.5 	PI47-5a:LP-DIR-T	hargrave 2015-09-25 12:30:28	7.50e-08	1.00e-09	5.53e-10	4.15e-10	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  423.0	PI47-5a:LP-DIR-T6
	This study	This study		    0.9	071.9	 68.2 	PI47-5a:LP-DIR-T	hargrave 2015-09-26 13:53:57	6.80e-08	8.05e-10	6.60e-10	3.82e-10	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  448.0	PI47-5a:LP-DIR-T7
	This study	This study		    1.1	073.4	 68.1 	PI47-5a:LP-DIR-T	hargrave 2015-09-26 19:51:50	6.55e-08	1.16e-09	5.65e-10	3.20e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  473.0	PI47-5a:LP-DIR-T8
	This study	This study		    1.4	074.0	 67.3 	PI47-5a:LP-DIR-T	hargrave 2015-09-28 19:43:12	6.20e-08	1.30e-09	7.11e-10	3.17e-10	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  498.0	PI47-5a:LP-DIR-T9
	This study	This study		    0.7	072.2	 67.5 	PI47-5a:LP-DIR-T	hargrave 2015-10-01 12:01:58	6.04e-08	4.67e-10	4.88e-10	3.69e-10	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  523.0	PI47-5a:LP-DIR-T10
	This study	This study		    0.7	072.0	 67.0 	PI47-5a:LP-DIR-T	hargrave 2015-10-05 18:54:08	5.76e-08	3.94e-10	6.33e-10	3.22e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  548.0	PI47-5a:LP-DIR-T11
	This study	This study		    0.7	073.8	 66.4 	PI47-5a:LP-DIR-T	hargrave 2015-10-06 02:29:19	5.31e-08	4.90e-10	4.98e-10	2.83e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  573.0	PI47-5a:LP-DIR-T12
	This study	This study		    2.6	079.0	 67.3 	PI47-5a:LP-DIR-T	hargrave 2015-10-06 07:04:24	4.89e-08	2.17e-09	4.22e-10	2.80e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  598.0	PI47-5a:LP-DIR-T13
	This study	This study		    2.5	080.3	 67.2 	PI47-5a:LP-DIR-T	hargrave 2015-10-06 12:50:20	4.32e-08	1.83e-09	3.75e-10	2.76e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  623.0	PI47-5a:LP-DIR-T14
	This study	This study		    1.9	081.5	 67.9 	PI47-5a:LP-DIR-T	hargrave 2015-10-08 13:25:25	3.77e-08	1.18e-09	3.41e-10	2.99e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  648.0	PI47-5a:LP-DIR-T15
	This study	This study		    2.7	077.2	 68.0 	PI47-5a:LP-DIR-T	hargrave 2015-10-10 16:28:15	3.26e-08	1.50e-09	4.12e-10	2.44e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  673.0	PI47-5a:LP-DIR-T16
	This study	This study		    0.7	080.5	 67.6 	PI47-5a:LP-DIR-T	hargrave 2015-10-13 11:15:58	2.72e-08	2.10e-10	2.46e-10	2.13e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  698.0	PI47-5a:LP-DIR-T17
	This study	This study		    3.5	082.1	 68.8 	PI47-5a:LP-DIR-T	hargrave 2015-10-13 16:57:09	2.23e-08	1.31e-09	4.60e-10	2.11e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  723.0	PI47-5a:LP-DIR-T18
	This study	This study		    2.6	089.9	 69.6 	PI47-5a:LP-DIR-T	hargrave 2015-10-16 18:41:35	1.75e-08	7.53e-10	1.97e-10	1.47e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  748.0	PI47-5a:LP-DIR-T19
	This study	This study		    1.5	112.0	 69.3 	PI47-5a:LP-DIR-T	hargrave 2015-10-19 18:33:58	1.31e-08	3.33e-10	1.23e-10	8.11e-11	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  773.0	PI47-5a:LP-DIR-T20
	This study	This study		    1.3	188.7	 68.2 	PI47-5a:LP-DIR-T	hargrave 2015-10-20 13:35:11	9.97e-09	2.40e-10	1.03e-10	8.30e-11	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  798.0	PI47-5a:LP-DIR-T21
	This study	This study		    6.5	252.6	 65.6 	PI47-5a:LP-DIR-T	hargrave 2015-10-26 14:31:55	4.90e-09	2.57e-10	4.34e-10	2.74e-10	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  823.0	PI47-5a:LP-DIR-T22
	This study	This study	average of multiple measurements	    1.7	  157.3	   14.5	PI47-5a:LP-DIR-T	hargrave 2015-10-29 10:56:52	5.664e-09	2.16e-10	3.60e-10	2.51e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  833.0	PI47-5a:LP-DIR-T23
	This study	This study		    3.5	190.2	 42.2 	PI47-5a:LP-DIR-T	hargrave 2015-10-29 16:55:44	6.81e-09	1.15e-10	4.00e-10	9.21e-11	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  843.0	PI47-5a:LP-DIR-T24
	This study	This study	average of multiple measurements	    3.9	  268.5	  -24.3	PI47-5a:LP-DIR-T	hargrave 2015-10-31 13:40:15	3.776e-09	1.77e-10	2.12e-10	1.51e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  848.0	PI47-5a:LP-DIR-T25
	This study	This study	average of multiple measurements	   11.6	   65.8	   -1.1	PI47-5a:LP-DIR-T	hargrave 2015-11-03 10:35:59	1.452e-09	5.04e-11	3.18e-10	1.46e-10	    3.0	273	LT-T-Z:DE-VM:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  850.0	PI47-5a:LP-DIR-T26
	This study	This study	average of multiple measurements	    6.7	  251.8	   28.9	PI47-5a:LP-DIR-T	hargrave 2015-11-05 13:21:30	9.383e-10	4.63e-11	3.45e-10	1.86e-10	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-5a	u	0	0	0.00	0.00	  852.0	PI47-5a:LP-DIR-T27
	This study	This study		    1.5	081.6	 87.9 	PI47-6a:LP-DIR-T	hargrave 2015-09-16 18:27:58	5.16e-08	1.23e-09	6.10e-10	4.23e-10	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	273	PI47-6a:LP-DIR-T1
	This study	This study		    1.0	093.2	 88.0 	PI47-6a:LP-DIR-T	hargrave 2015-09-19 18:38:31	5.13e-08	7.70e-10	5.05e-10	3.95e-10	8	273	LT-T-Z:LP-DIR-T	2	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  323.0	PI47-6a:LP-DIR-T2
	This study	This study		    1.2	075.8	 87.3 	PI47-6a:LP-DIR-T	hargrave 2015-09-21 22:21:03	5.03e-08	9.52e-10	4.05e-10	4.55e-10	8	273	LT-T-Z:LP-DIR-T	3	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  348.0	PI47-6a:LP-DIR-T3
	This study	This study		    1.8	060.1	 86.5 	PI47-6a:LP-DIR-T	hargrave 2015-09-24 09:54:57	4.82e-08	1.39e-09	5.47e-10	4.54e-10	8	273	LT-T-Z:LP-DIR-T	4	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  373.0	PI47-6a:LP-DIR-T4
	This study	This study		    1.8	053.6	 83.8 	PI47-6a:LP-DIR-T	hargrave 2015-09-24 15:48:54	4.41e-08	1.29e-09	5.31e-10	3.36e-10	8	273	LT-T-Z:LP-DIR-T	5	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  398.0	PI47-6a:LP-DIR-T5
	This study	This study		    1.8	052.4	 79.7 	PI47-6a:LP-DIR-T	hargrave 2015-09-25 12:32:04	3.87e-08	1.09e-09	5.47e-10	2.61e-10	8	273	LT-T-Z:LP-DIR-T	6	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  423.0	PI47-6a:LP-DIR-T6
	This study	This study		    1.9	048.0	 76.0 	PI47-6a:LP-DIR-T	hargrave 2015-09-26 13:55:49	3.47e-08	1.09e-09	5.31e-10	4.11e-10	8	273	LT-T-Z:LP-DIR-T	7	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  448.0	PI47-6a:LP-DIR-T7
	This study	This study		    3.5	045.4	 75.7 	PI47-6a:LP-DIR-T	hargrave 2015-09-26 19:53:18	3.29e-08	1.83e-09	8.83e-10	3.26e-10	8	273	LT-T-Z:LP-DIR-T	8	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  473.0	PI47-6a:LP-DIR-T8
	This study	This study		    2.2	038.6	 75.4 	PI47-6a:LP-DIR-T	hargrave 2015-09-28 19:44:52	3.11e-08	1.05e-09	5.79e-10	3.31e-10	8	273	LT-T-Z:LP-DIR-T	9	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  498.0	PI47-6a:LP-DIR-T9
	This study	This study		    3.2	040.3	 74.9 	PI47-6a:LP-DIR-T	hargrave 2015-10-01 12:03:39	3.00e-08	1.41e-09	9.08e-10	3.07e-10	8	273	LT-T-Z:LP-DIR-T	10	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  523.0	PI47-6a:LP-DIR-T10
	This study	This study		    2.1	040.9	 75.0 	PI47-6a:LP-DIR-T	hargrave 2015-10-05 18:55:44	2.85e-08	9.00e-10	5.07e-10	2.84e-10	8	273	LT-T-Z:LP-DIR-T	11	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  548.0	PI47-6a:LP-DIR-T11
	This study	This study		    2.4	036.0	 75.7 	PI47-6a:LP-DIR-T	hargrave 2015-10-06 02:30:56	2.58e-08	9.37e-10	5.50e-10	2.78e-10	8	273	LT-T-Z:LP-DIR-T	12	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  573.0	PI47-6a:LP-DIR-T12
	This study	This study		    1.7	037.1	 77.1 	PI47-6a:LP-DIR-T	hargrave 2015-10-06 07:06:00	2.40e-08	6.83e-10	2.39e-10	2.38e-10	8	273	LT-T-Z:LP-DIR-T	13	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  598.0	PI47-6a:LP-DIR-T13
	This study	This study		    1.9	029.9	 76.6 	PI47-6a:LP-DIR-T	hargrave 2015-10-06 12:51:57	2.06e-08	5.74e-10	3.43e-10	2.13e-10	8	273	LT-T-Z:LP-DIR-T	14	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  623.0	PI47-6a:LP-DIR-T14
	This study	This study		    2.0	031.5	 76.1 	PI47-6a:LP-DIR-T	hargrave 2015-10-08 13:27:02	1.76e-08	6.06e-10	1.60e-10	2.39e-10	8	273	LT-T-Z:LP-DIR-T	15	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  648.0	PI47-6a:LP-DIR-T15
	This study	This study		    2.1	040.4	 74.6 	PI47-6a:LP-DIR-T	hargrave 2015-10-10 16:29:51	1.54e-08	5.21e-10	2.46e-10	2.51e-10	8	273	LT-T-Z:LP-DIR-T	16	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  673.0	PI47-6a:LP-DIR-T16
	This study	This study		    3.3	032.5	 73.7 	PI47-6a:LP-DIR-T	hargrave 2015-10-13 11:17:35	1.29e-08	7.22e-10	2.37e-10	2.33e-10	8	273	LT-T-Z:LP-DIR-T	17	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  698.0	PI47-6a:LP-DIR-T17
	This study	This study		    2.6	032.4	 72.1 	PI47-6a:LP-DIR-T	hargrave 2015-10-13 16:58:44	1.04e-08	4.45e-10	1.70e-10	2.46e-10	8	273	LT-T-Z:LP-DIR-T	18	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  723.0	PI47-6a:LP-DIR-T18
	This study	This study		    2.8	010.1	 71.2 	PI47-6a:LP-DIR-T	hargrave 2015-10-16 18:44:08	8.43e-09	4.55e-10	9.29e-11	1.77e-10	8	273	LT-T-Z:LP-DIR-T	19	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  748.0	PI47-6a:LP-DIR-T19
	This study	This study		    3.1	002.6	 70.1 	PI47-6a:LP-DIR-T	hargrave 2015-10-19 18:35:34	6.82e-09	3.35e-10	1.49e-10	9.70e-11	8	273	LT-T-Z:LP-DIR-T	20	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  773.0	PI47-6a:LP-DIR-T20
	This study	This study		    3.9	350.4	 48.9 	PI47-6a:LP-DIR-T	hargrave 2015-10-20 13:36:47	6.25e-09	2.29e-10	2.92e-10	2.24e-10	8	273	LT-T-Z:LP-DIR-T	21	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  798.0	PI47-6a:LP-DIR-T21
	This study	This study		    4.5	084.8	 69.3 	PI47-6a:LP-DIR-T	hargrave 2015-10-26 14:33:32	5.26e-09	3.94e-10	1.30e-10	4.78e-11	8	273	LT-T-Z:LP-DIR-T	22	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  823.0	PI47-6a:LP-DIR-T22
	This study	This study	average of multiple measurements	    1.1	  236.2	   56.2	PI47-6a:LP-DIR-T	hargrave 2015-10-29 10:58:33	3.655e-09	1.28e-10	3.51e-11	8.54e-11	    2.0	273	LT-T-Z:DE-VM:LP-DIR-T	23	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  833.0	PI47-6a:LP-DIR-T23
	This study	This study		    2.2	147.0	 62.7 	PI47-6a:LP-DIR-T	hargrave 2015-10-29 16:57:20	1.79e-09	6.05e-11	5.50e-11	1.63e-11	8	273	LT-T-Z:LP-DIR-T	24	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  843.0	PI47-6a:LP-DIR-T24
	This study	This study		    6.3	338.9	 49.9 	PI47-6a:LP-DIR-T	hargrave 2015-10-31 12:29:27	1.57e-09	4.83e-11	1.28e-10	1.09e-10	8	273	LT-T-Z:LP-DIR-T	25	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  848.0	PI47-6a:LP-DIR-T25
	This study	This study		    5.2	198.2	 69.7 	PI47-6a:LP-DIR-T	hargrave 2015-10-31 19:33:51	1.10e-09	5.60e-11	8.57e-11	5.15e-11	8	273	LT-T-Z:LP-DIR-T	26	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  850.0	PI47-6a:LP-DIR-T26
	This study	This study		    7.1	351.0	 49.2 	PI47-6a:LP-DIR-T	hargrave 2015-11-05 12:14:33	1.29e-09	1.63e-11	1.46e-10	8.38e-11	8	273	LT-T-Z:LP-DIR-T	27	g	pmagpy-3.8.9-2	PI47-6a	u	0	0	0.00	0.00	  852.0	PI47-6a:LP-DIR-T27
	This study	This study		    1.7	205.0	 24.1 	PI47-7a:LP-DIR-T	hargrave 2015-09-16 18:29:29	1.01e-07	1.67e-09	1.28e-09	2.14e-09	8	273	LT-NO:LP-DIR-T	1	g	pmagpy-3.8.9-2	PI47-7a	u	0	0	0.00	0.00	273	PI47-7a:LP-DIR-T1
