tab	ages
age	location	site	age_unit	citations	description	method_codes
29-3-006:LP-ARM5742	29-3-006:LP-ARM	29-3-006			0.08	5e-05	5742	300	8.512e-05	This study		LT-AF-I	g		u	300	
29-3-006:LP-IRM5743	29-3-006:LP-IRM	29-3-006			0.0	1.0	5743	300	0.001691	This study		LT-IRM	g		u	300	
29-3-006:LP-X5744	29-3-006:LP-X	29-3-006			0.01	0.0	5744	300		This study		LP-X				300	1.206e-07
29-3-009:LP-AF-DIR5745	29-3-009:LP-AF-DIR	29-3-009	166.8	59.5	0.015	0.0	5745	300	6.5870000000000015e-06	This study		LT-AF-Z	g		u	300	
29-3-009:LP-ARM5746	29-3-009:LP-ARM	29-3-009			0.08	5e-05	5746	300	9.097e-05	This study		LT-AF-I	g		u	300	
29-3-009:LP-IRM5747	29-3-009:LP-IRM	29-3-009			0.0	1.0	5747	300	0.0017629999999999996	This study		LT-IRM	g		u	300	
29-3-009:LP-X5748	29-3-009:LP-X	29-3-009			0.01	0.0	5748	300		This study		LP-X				300	1.274e-07
29-3-013:LP-AF-DIR5749	29-3-013:LP-AF-DIR	29-3-013	175.9	54.3	0.015	0.0	5749	300	7.984e-06	This study		LT-AF-Z	g		u	300	
29-3-013:LP-ARM5750	29-3-013:LP-ARM	29-3-013			0.08	5e-05	5750	300	9.514e-05	This study		LT-AF-I	g		u	300	
29-3-013:LP-IRM5751	29-3-013:LP-IRM	29-3-013			0.0	1.0	5751	300	0.001896	This study		LT-IRM	g		u	300	
29-3-013:LP-X5752	29-3-013:LP-X	29-3-013			0.01	0.0	5752	300		This study		LP-X				300	1.397e-07
29-3-016:LP-AF-DIR5753	29-3-016:LP-AF-DIR	29-3-016	173.6	52.8	0.015	0.0	5753	300	7.679e-06	This study		LT-AF-Z	g		u	300	
29-3-016:LP-ARM5754	29-3-016:LP-ARM	29-3-016			0.08	5e-05	5754	300	9.44e-05	This study		LT-AF-I	g		u	300	
29-3-016:LP-IRM5755	29-3-016:LP-IRM	29-3-016			0.0	1.0	5755	300	0.001824	This study		LT-IRM	g		u	300	
29-3-016:LP-X5756	29-3-016:LP-X	29-3-016			0.01	0.0	5756	300		This study		LP-X				300	1.351e-07
29-3-020:LP-AF-DIR5757	29-3-020:LP-AF-DIR	29-3-020	179.5	46.3	0.015	0.0	5757	300	8.014e-06	This study		LT-AF-Z	g		u	300	
29-3-020:LP-ARM5758	29-3-020:LP-ARM	29-3-020			0.08	5e-05	5758	300	8.343e-05	This study		LT-AF-I	g		u	300	
29-3-020:LP-IRM5759	29-3-020:LP-IRM	29-3-020			0.0	1.0	5759	300	0.0016809999999999998	This study		LT-IRM	g		u	300	
29-3-020:LP-X5760	29-3-020:LP-X	29-3-020			0.01	0.0	5760	300		This study		LP-X				300	1.2140000000000002e-07
29-3-023:LP-AF-DIR5761	29-3-023:LP-AF-DIR	29-3-023	173.3	58.4	0.015	0.0	5761	300	4.379e-06	This study		LT-AF-Z	g		u	300	
29-3-023:LP-ARM5762	29-3-023:LP-ARM	29-3-023			0.08	5e-05	5762	300	7.845e-05	This study		LT-AF-I	g		u	300	
29-3-023:LP-IRM5763	29-3-023:LP-IRM	29-3-023			0.0	1.0	5763	300	0.0015	This study		LT-IRM	g		u	300	
29-3-023:LP-X5764	29-3-023:LP-X	29-3-023			0.01	0.0	5764	300		This study		LP-X				300	1.071e-07
29-3-030:LP-AF-DIR5765	29-3-030:LP-AF-DIR	29-3-030	174.4	65.7	0.015	0.0	5765	300	4.288e-06	This study		LT-AF-Z	g		u	300	
29-3-030:LP-ARM5766	29-3-030:LP-ARM	29-3-030			0.08	5e-05	5766	300	6.438e-05	This study		LT-AF-I	g		u	300	
29-3-030:LP-IRM5767	29-3-030:LP-IRM	29-3-030			0.0	1.0	5767	300	0.00124	This study		LT-IRM	g		u	300	
29-3-030:LP-X5768	29-3-030:LP-X	29-3-030			0.01	0.0	5768	300		This study		LP-X				300	8.506000000000001e-08
29-3-033:LP-AF-DIR5769	29-3-033:LP-AF-DIR	29-3-033	162.2	53.6	0.015	0.0	5769	300	3.32e-06	This study		LT-AF-Z	g		u	300	
29-3-033:LP-ARM5770	29-3-033:LP-ARM	29-3-033			0.08	5e-05	5770	300	6.474e-05	This study		LT-AF-I	g		u	300	
29-3-033:LP-IRM5771	29-3-033:LP-IRM	29-3-033			0.0	1.0	5771	300	0.001219	This study		LT-IRM	g		u	300	
29-3-033:LP-X5772	29-3-033:LP-X	29-3-033			0.01	0.0	5772	300		This study		LP-X				300	8.263999999999999e-08
29-3-038:LP-AF-DIR5773	29-3-038:LP-AF-DIR	29-3-038	187.5	55.3	0.015	0.0	5773	300	4.247e-06	This study		LT-AF-Z	g		u	300	
29-3-038:LP-ARM5774	29-3-038:LP-ARM	29-3-038			0.08	5e-05	5774	300	6.509e-05	This study		LT-AF-I	g		u	300	
29-3-038:LP-IRM5775	29-3-038:LP-IRM	29-3-038			0.0	1.0	5775	300	0.001245	This study		LT-IRM	g		u	300	
29-3-038:LP-X5776	29-3-038:LP-X	29-3-038			0.01	0.0	5776	300		This study		LP-X				300	8.414e-08
29-3-041:LP-AF-DIR5777	29-3-041:LP-AF-DIR	29-3-041	177.5	54.5	0.015	0.0	5777	300	2.321e-06	This study		LT-AF-Z	g		u	300	
29-3-041:LP-ARM5778	29-3-041:LP-ARM	29-3-041			0.08	5e-05	5778	300	6.387e-05	This study		LT-AF-I	g		u	300	
29-3-041:LP-IRM5779	29-3-041:LP-IRM	29-3-041			0.0	1.0	5779	300	0.001212	This study		LT-IRM	g		u	300	
29-3-041:LP-X5780	29-3-041:LP-X	29-3-041			0.01	0.0	5780	300		This study		LP-X				300	8.54e-08
29-3-044:LP-AF-DIR5781	29-3-044:LP-AF-DIR	29-3-044	183.1	58.6	0.015	0.0	5781	300	4.295e-06	This study		LT-AF-Z	g		u	300	
29-3-044:LP-ARM5782	29-3-044:LP-ARM	29-3-044			0.08	5e-05	5782	300	6.368e-05	This study		LT-AF-I	g		u	300	
29-3-044:LP-IRM5783	29-3-044:LP-IRM	29-3-044			0.0	1.0	5783	300	0.001194	This study		LT-IRM	g		u	300	
29-3-044:LP-X5784	29-3-044:LP-X	29-3-044			0.01	0.0	5784	300		This study		LP-X				300	8.109999999999999e-08
29-3-047:LP-AF-DIR5785	29-3-047:LP-AF-DIR	29-3-047	179.1	48.0	0.015	0.0	5785	300	4.2539999999999986e-06	This study		LT-AF-Z	g		u	300	
29-3-047:LP-ARM5786	29-3-047:LP-ARM	29-3-047			0.08	5e-05	5786	300	5.985e-05	This study		LT-AF-I	g		u	300	
29-3-047:LP-IRM5787	29-3-047:LP-IRM	29-3-047			0.0	1.0	5787	300	0.001099	This study		LT-IRM	g		u	300	
29-3-047:LP-X5788	29-3-047:LP-X	29-3-047			0.01	0.0	5788	300		This study		LP-X				300	7.612e-08
29-3-050:LP-AF-DIR5789	29-3-050:LP-AF-DIR	29-3-050	185.1	47.4	0.015	0.0	5789	300	3.9039999999999985e-06	This study		LT-AF-Z	g		u	300	
29-3-050:LP-ARM5790	29-3-050:LP-ARM	29-3-050			0.08	5e-05	5790	300	5.608e-05	This study		LT-AF-I	g		u	300	
29-3-050:LP-IRM5791	29-3-050:LP-IRM	29-3-050			0.0	1.0	5791	300	0.001058	This study		LT-IRM	g		u	300	
29-3-050:LP-X5792	29-3-050:LP-X	29-3-050			0.01	0.0	5792	300		This study		LP-X				300	7.224e-08
29-3-053:LP-AF-DIR5793	29-3-053:LP-AF-DIR	29-3-053	183.7	51.0	0.015	0.0	5793	300	3.83e-06	This study		LT-AF-Z	g		u	300	
29-3-053:LP-ARM5794	29-3-053:LP-ARM	29-3-053			0.08	5e-05	5794	300	5.762e-05	This study		LT-AF-I	g		u	300	
29-3-053:LP-IRM5795	29-3-053:LP-IRM	29-3-053			0.0	1.0	5795	300	0.001047	This study		LT-IRM	g		u	300	
29-3-053:LP-X5796	29-3-053:LP-X	29-3-053			0.01	0.0	5796	300		This study		LP-X				300	7.098e-08
29-3-056:LP-AF-DIR5797	29-3-056:LP-AF-DIR	29-3-056	186.6	40.9	0.015	0.0	5797	300	3.35e-06	This study		LT-AF-Z	g		u	300	
29-3-056:LP-ARM5798	29-3-056:LP-ARM	29-3-056			0.08	5e-05	5798	300	5.946e-05	This study		LT-AF-I	g		u	300	
29-3-056:LP-IRM5799	29-3-056:LP-IRM	29-3-056			0.0	1.0	5799	300	0.001109	This study		LT-IRM	g		u	300	
29-3-056:LP-X5800	29-3-056:LP-X	29-3-056			0.01	0.0	5800	300		This study		LP-X				300	7.468999999999999e-08
29-3-059:LP-AF-DIR5801	29-3-059:LP-AF-DIR	29-3-059	171.1	59.0	0.015	0.0	5801	300	5.093e-06	This study		LT-AF-Z	g		u	300	
29-3-059:LP-ARM5802	29-3-059:LP-ARM	29-3-059			0.08	5e-05	5802	300	5.901e-05	This study		LT-AF-I	g		u	300	
29-3-059:LP-IRM5803	29-3-059:LP-IRM	29-3-059			0.0	1.0	5803	300	0.001093	This study		LT-IRM	g		u	300	
29-3-059:LP-X5804	29-3-059:LP-X	29-3-059			0.01	0.0	5804	300		This study		LP-X				300	7.516e-08
29-3-061:LP-AF-DIR5805	29-3-061:LP-AF-DIR	29-3-061	178.4	53.0	0.015	0.0	5805	300	7.965e-06	This study		LT-AF-Z	g		u	300	
29-3-061:LP-ARM5806	29-3-061:LP-ARM	29-3-061			0.08	5e-05	5806	300	6.542e-05	This study		LT-AF-I	g		u	300	
29-3-061:LP-IRM5807	29-3-061:LP-IRM	29-3-061			0.0	1.0	5807	300	0.001277	This study		LT-IRM	g		u	300	
29-3-061:LP-X5808	29-3-061:LP-X	29-3-061			0.01	0.0	5808	300		This study		LP-X				300	8.913e-08
29-3-065:LP-AF-DIR5809	29-3-065:LP-AF-DIR	29-3-065	174.7	48.2	0.015	0.0	5809	300	8.378e-06	This study		LT-AF-Z	g		u	300	
29-3-065:LP-ARM5810	29-3-065:LP-ARM	29-3-065			0.08	5e-05	5810	300	6.995e-05	This study		LT-AF-I	g		u	300	
29-3-065:LP-IRM5811	29-3-065:LP-IRM	29-3-065			0.0	1.0	5811	300	0.001376	This study		LT-IRM	g		u	300	
29-3-065:LP-X5812	29-3-065:LP-X	29-3-065			0.01	0.0	5812	300		This study		LP-X				300	9.685e-08
29-3-068:LP-AF-DIR5813	29-3-068:LP-AF-DIR	29-3-068	184.1	50.8	0.015	0.0	5813	300	1.026e-05	This study		LT-AF-Z	g		u	300	
29-3-068:LP-ARM5814	29-3-068:LP-ARM	29-3-068			0.08	5e-05	5814	300	7.787e-05	This study		LT-AF-I	g		u	300	
29-3-068:LP-IRM5815	29-3-068:LP-IRM	29-3-068			0.0	1.0	5815	300	0.001471	This study		LT-IRM	g		u	300	
29-3-068:LP-X5816	29-3-068:LP-X	29-3-068			0.01	0.0	5816	300		This study		LP-X				300	1.038e-07
29-3-071:LP-AF-DIR5817	29-3-071:LP-AF-DIR	29-3-071	170.2	48.9	0.015	0.0	5817	300	8.199e-06	This study		LT-AF-Z	g		u	300	
29-3-071:LP-ARM5818	29-3-071:LP-ARM	29-3-071			0.08	5e-05	5818	300	7.829e-05	This study		LT-AF-I	g		u	300	
29-3-071:LP-IRM5819	29-3-071:LP-IRM	29-3-071			0.0	1.0	5819	300	0.001458	This study		LT-IRM	g		u	300	
29-3-071:LP-X5820	29-3-071:LP-X	29-3-071			0.01	0.0	5820	300		This study		LP-X				300	9.879e-08
29-3-075:LP-AF-DIR5821	29-3-075:LP-AF-DIR	29-3-075	191.2	55.7	0.015	0.0	5821	300	8.217000000000001e-06	This study		LT-AF-Z	g		u	300	
29-3-075:LP-ARM5822	29-3-075:LP-ARM	29-3-075			0.08	5e-05	5822	300	7.067e-05	This study		LT-AF-I	g		u	300	
29-3-075:LP-IRM5823	29-3-075:LP-IRM	29-3-075			0.0	1.0	5823	300	0.001598	This study		LT-IRM	g		u	300	
29-3-075:LP-X5824	29-3-075:LP-X	29-3-075			0.01	0.0	5824	300		This study		LP-X				300	9.511e-08
29-3-077:LP-AF-DIR5825	29-3-077:LP-AF-DIR	29-3-077	185.4	53.9	0.015	0.0	5825	300	6.277e-06	This study		LT-AF-Z	g		u	300	
29-3-077:LP-ARM5826	29-3-077:LP-ARM	29-3-077			0.08	5e-05	5826	300	7.111e-05	This study		LT-AF-I	g		u	300	
29-3-077:LP-IRM5827	29-3-077:LP-IRM	29-3-077			0.0	1.0	5827	300	0.001351	This study		LT-IRM	g		u	300	
29-3-077:LP-X5828	29-3-077:LP-X	29-3-077			0.01	0.0	5828	300		This study		LP-X				300	9.567e-08
29-3-080:LP-AF-DIR5829	29-3-080:LP-AF-DIR	29-3-080	180.1	52.9	0.015	0.0	5829	300	4.901e-06	This study		LT-AF-Z	g		u	300	
29-3-080:LP-ARM5830	29-3-080:LP-ARM	29-3-080			0.08	5e-05	5830	300	6.273e-05	This study		LT-AF-I	g		u	300	
29-3-080:LP-IRM5831	29-3-080:LP-IRM	29-3-080			0.0	1.0	5831	300	0.001167	This study		LT-IRM	g		u	300	
29-3-080:LP-X5832	29-3-080:LP-X	29-3-080			0.01	0.0	5832	300		This study		LP-X				300	7.777e-08
29-3-083:LP-AF-DIR5833	29-3-083:LP-AF-DIR	29-3-083	181.7	57.7	0.015	0.0	5833	300	4.872e-06	This study		LT-AF-Z	g		u	300	
29-3-083:LP-ARM5834	29-3-083:LP-ARM	29-3-083			0.08	5e-05	5834	300	6.102e-05	This study		LT-AF-I	g		u	300	
29-3-083:LP-IRM5835	29-3-083:LP-IRM	29-3-083			0.0	1.0	5835	300	0.0011710000000000002	This study		LT-IRM	g		u	300	
29-3-083:LP-X5836	29-3-083:LP-X	29-3-083			0.01	0.0	5836	300		This study		LP-X				300	7.677e-08
29-3-086:LP-AF-DIR5837	29-3-086:LP-AF-DIR	29-3-086	186.5	39.3	0.015	0.0	5837	300	4.189e-06	This study		LT-AF-Z	g		u	300	
29-3-086:LP-ARM5838	29-3-086:LP-ARM	29-3-086			0.08	5e-05	5838	300	6.904e-05	This study		LT-AF-I	g		u	300	
29-3-086:LP-IRM5839	29-3-086:LP-IRM	29-3-086			0.0	1.0	5839	300	0.001275	This study		LT-IRM	g		u	300	
29-3-086:LP-X5840	29-3-086:LP-X	29-3-086			0.01	0.0	5840	300		This study		LP-X				300	8.988999999999998e-08
29-3-089:LP-AF-DIR5841	29-3-089:LP-AF-DIR	29-3-089	175.3	48.2	0.015	0.0	5841	300	5.7999999999999995e-06	This study		LT-AF-Z	g		u	300	
29-3-089:LP-ARM5842	29-3-089:LP-ARM	29-3-089			0.08	5e-05	5842	300	7.579e-05	This study		LT-AF-I	g		u	300	
29-3-089:LP-IRM5843	29-3-089:LP-IRM	29-3-089			0.0	1.0	5843	300	0.001456	This study		LT-IRM	g		u	300	
29-3-089:LP-X5844	29-3-089:LP-X	29-3-089			0.01	0.0	5844	300		This study		LP-X				300	1.013e-07
29-3-092:LP-AF-DIR5845	29-3-092:LP-AF-DIR	29-3-092	188.4	43.6	0.015	0.0	5845	300	7.200000000000001e-06	This study		LT-AF-Z	g		u	300	
29-3-092:LP-ARM5846	29-3-092:LP-ARM	29-3-092			0.08	5e-05	5846	300	8.023e-05	This study		LT-AF-I	g		u	300	
29-3-092:LP-IRM5847	29-3-092:LP-IRM	29-3-092			0.0	1.0	5847	300	0.001574	This study		LT-IRM	g		u	300	
29-3-092:LP-X5848	29-3-092:LP-X	29-3-092			0.01	0.0	5848	300		This study		LP-X				300	1.153e-07
29-3-095:LP-AF-DIR5849	29-3-095:LP-AF-DIR	29-3-095	184.2	45.6	0.015	0.0	5849	300	8.996e-06	This study		LT-AF-Z	g		u	300	
29-3-095:LP-ARM5850	29-3-095:LP-ARM	29-3-095			0.08	5e-05	5850	300	8.164e-05	This study		LT-AF-I	g		u	300	
29-3-095:LP-IRM5851	29-3-095:LP-IRM	29-3-095			0.0	1.0	5851	300	0.001602	This study		LT-IRM	g		u	300	
29-3-095:LP-X5852	29-3-095:LP-X	29-3-095			0.01	0.0	5852	300		This study		LP-X				300	1.146e-07
29-3-095:LP-AF-DIR5853	29-3-095:LP-AF-DIR	29-3-095	200.5	50.6	0.015	0.0	5853	300	5.355e-06	This study		LT-AF-Z	g		u	300	
29-3-095:LP-ARM5854	29-3-095:LP-ARM	29-3-095			0.08	5e-05	5854	300	7.704e-05	This study		LT-AF-I	g		u	300	
29-3-095:LP-IRM5855	29-3-095:LP-IRM	29-3-095			0.0	1.0	5855	300	0.0014869999999999998	This study		LT-IRM	g		u	300	
29-3-095:LP-X5856	29-3-095:LP-X	29-3-095			0.01	0.0	5856	300		This study		LP-X				300	1.014e-07
29-3-098:LP-AF-DIR5857	29-3-098:LP-AF-DIR	29-3-098	175.8	52.9	0.015	0.0	5857	300	7.209e-06	This study		LT-AF-Z	g		u	300	
29-3-098:LP-ARM5858	29-3-098:LP-ARM	29-3-098			0.08	5e-05	5858	300	6.418e-05	This study		LT-AF-I	g		u	300	
29-3-098:LP-IRM5859	29-3-098:LP-IRM	29-3-098			0.0	1.0	5859	300	0.001201	This study		LT-IRM	g		u	300	
29-3-098:LP-X5860	29-3-098:LP-X	29-3-098			0.01	0.0	5860	300		This study		LP-X				300	7.91e-08
29-3-102:LP-AF-DIR5861	29-3-102:LP-AF-DIR	29-3-102	183.4	52.0	0.015	0.0	5861	300	4.276e-06	This study		LT-AF-Z	g		u	300	
29-3-102:LP-ARM5862	29-3-102:LP-ARM	29-3-102			0.08	5e-05	5862	300	6.574e-05	This study		LT-AF-I	g		u	300	
29-3-102:LP-IRM5863	29-3-102:LP-IRM	29-3-102			0.0	1.0	5863	300	0.001187	This study		LT-IRM	g		u	300	
29-3-102:LP-X5864	29-3-102:LP-X	29-3-102			0.01	0.0	5864	300		This study		LP-X				300	7.737e-08
29-3-104:LP-AF-DIR5865	29-3-104:LP-AF-DIR	29-3-104	167.6	47.9	0.015	0.0	5865	300	4.6989999999999985e-06	This study		LT-AF-Z	g		u	300	
29-3-104:LP-ARM5866	29-3-104:LP-ARM	29-3-104			0.08	5e-05	5866	300	5.758e-05	This study		LT-AF-I	g		u	300	
29-3-104:LP-IRM5867	29-3-104:LP-IRM	29-3-104			0.0	1.0	5867	300	0.001019	This study		LT-IRM	g		u	300	
29-3-104:LP-X5868	29-3-104:LP-X	29-3-104			0.01	0.0	5868	300		This study		LP-X				300	6.353e-08
29-3-109:LP-AF-DIR5869	29-3-109:LP-AF-DIR	29-3-109	187.5	54.3	0.015	0.0	5869	300	7.397e-06	This study		LT-AF-Z	g		u	300	
29-3-109:LP-ARM5870	29-3-109:LP-ARM	29-3-109			0.08	5e-05	5870	300	5.862e-05	This study		LT-AF-I	g		u	300	
29-3-109:LP-IRM5871	29-3-109:LP-IRM	29-3-109			0.0	1.0	5871	300	0.001061	This study		LT-IRM	g		u	300	
29-3-109:LP-X5872	29-3-109:LP-X	29-3-109			0.01	0.0	5872	300		This study		LP-X				300	6.873999999999999e-08
29-3-112:LP-AF-DIR5873	29-3-112:LP-AF-DIR	29-3-112	188.8	51.1	0.015	0.0	5873	300	3.901e-06	This study		LT-AF-Z	g		u	300	
29-3-112:LP-ARM5874	29-3-112:LP-ARM	29-3-112			0.08	5e-05	5874	300	6.502e-05	This study		LT-AF-I	g		u	300	
29-3-112:LP-IRM5875	29-3-112:LP-IRM	29-3-112			0.0	1.0	5875	300	0.0012109999999999998	This study		LT-IRM	g		u	300	
29-3-112:LP-X5876	29-3-112:LP-X	29-3-112			0.01	0.0	5876	300		This study		LP-X				300	8.136000000000001e-08
30-1-010:LP-AF-DIR5877	30-1-010:LP-AF-DIR	30-1-010	277.0	54.8	0.015	0.0	5877	300	3.452e-06	This study		LT-AF-Z	g		u	300	
30-1-010:LP-ARM5878	30-1-010:LP-ARM	30-1-010			0.08	5e-05	5878	300	7.117e-05	This study		LT-AF-I	g		u	300	
30-1-010:LP-IRM5879	30-1-010:LP-IRM	30-1-010			0.0	1.0	5879	300	0.001381	This study		LT-IRM	g		u	300	
30-1-010:LP-X5880	30-1-010:LP-X	30-1-010			0.01	0.0	5880	300		This study		LP-X				300	9.537e-08
30-1-013:LP-AF-DIR5881	30-1-013:LP-AF-DIR	30-1-013	181.1	45.8	0.015	0.0	5881	300	3.433e-06	This study		LT-AF-Z	g		u	300	
30-1-013:LP-ARM5882	30-1-013:LP-ARM	30-1-013			0.08	5e-05	5882	300	7.52e-05	This study		LT-AF-I	g		u	300	
30-1-013:LP-IRM5883	30-1-013:LP-IRM	30-1-013			0.0	1.0	5883	300	0.001433	This study		LT-IRM	g		u	300	
30-1-013:LP-X5884	30-1-013:LP-X	30-1-013			0.01	0.0	5884	300		This study		LP-X				300	9.843e-08
30-1-016:LP-AF-DIR5885	30-1-016:LP-AF-DIR	30-1-016	201.0	48.2	0.015	0.0	5885	300	6.458e-06	This study		LT-AF-Z	g		u	300	
30-1-016:LP-ARM5886	30-1-016:LP-ARM	30-1-016			0.08	5e-05	5886	300	7.926e-05	This study		LT-AF-I	g		u	300	
30-1-016:LP-IRM5887	30-1-016:LP-IRM	30-1-016			0.0	1.0	5887	300	0.00154	This study		LT-IRM	g		u	300	
30-1-016:LP-X5888	30-1-016:LP-X	30-1-016			0.01	0.0	5888	300		This study		LP-X				300	1.069e-07
30-1-019:LP-AF-DIR5889	30-1-019:LP-AF-DIR	30-1-019	129.0	62.0	0.015	0.0	5889	300	6.599e-06	This study		LT-AF-Z	g		u	300	
30-1-019:LP-ARM5890	30-1-019:LP-ARM	30-1-019			0.08	5e-05	5890	300	7.626e-05	This study		LT-AF-I	g		u	300	
30-1-019:LP-IRM5891	30-1-019:LP-IRM	30-1-019			0.0	1.0	5891	300	0.001525	This study		LT-IRM	g		u	300	
30-1-019:LP-X5892	30-1-019:LP-X	30-1-019			0.01	0.0	5892	300		This study		LP-X				300	1.043e-07
30-1-022:LP-AF-DIR5893	30-1-022:LP-AF-DIR	30-1-022	184.5	51.8	0.015	0.0	5893	300	8.646e-06	This study		LT-AF-Z	g		u	300	
30-1-022:LP-ARM5894	30-1-022:LP-ARM	30-1-022			0.08	5e-05	5894	300	7.311e-05	This study		LT-AF-I	g		u	300	
30-1-022:LP-IRM5895	30-1-022:LP-IRM	30-1-022			0.0	1.0	5895	300	0.001449	This study		LT-IRM	g		u	300	
30-1-022:LP-X5896	30-1-022:LP-X	30-1-022			0.01	0.0	5896	300		This study		LP-X				300	9.981e-08
30-1-025:LP-AF-DIR5897	30-1-025:LP-AF-DIR	30-1-025	189.8	58.4	0.015	0.0	5897	300	7.031e-06	This study		LT-AF-Z	g		u	300	
30-1-025:LP-ARM5898	30-1-025:LP-ARM	30-1-025			0.08	5e-05	5898	300	7.219e-05	This study		LT-AF-I	g		u	300	
30-1-025:LP-IRM5899	30-1-025:LP-IRM	30-1-025			0.0	1.0	5899	300	0.001387	This study		LT-IRM	g		u	300	
30-1-025:LP-X5900	30-1-025:LP-X	30-1-025			0.01	0.0	5900	300		This study		LP-X				300	9.479e-08
30-1-029:LP-AF-DIR5901	30-1-029:LP-AF-DIR	30-1-029	207.5	53.8	0.015	0.0	5901	300	9.136e-06	This study		LT-AF-Z	g		u	300	
30-1-029:LP-ARM5902	30-1-029:LP-ARM	30-1-029			0.08	5e-05	5902	300	7.101e-05	This study		LT-AF-I	g		u	300	
30-1-029:LP-IRM5903	30-1-029:LP-IRM	30-1-029			0.0	1.0	5903	300	0.001429	This study		LT-IRM	g		u	300	
30-1-029:LP-X5904	30-1-029:LP-X	30-1-029			0.01	0.0	5904	300		This study		LP-X				300	9.967e-08
30-1-032:LP-AF-DIR5905	30-1-032:LP-AF-DIR	30-1-032	197.7	68.5	0.015	0.0	5905	300	7.911000000000001e-06	This study		LT-AF-Z	g		u	300	
30-1-032:LP-ARM5906	30-1-032:LP-ARM	30-1-032			0.08	5e-05	5906	300	8.362e-05	This study		LT-AF-I	g		u	300	
30-1-032:LP-IRM5907	30-1-032:LP-IRM	30-1-032			0.0	1.0	5907	300	0.001589	This study		LT-IRM	g		u	300	
30-1-032:LP-X5908	30-1-032:LP-X	30-1-032			0.01	0.0	5908	300		This study		LP-X				300	1.152e-07
30-1-035:LP-AF-DIR5909	30-1-035:LP-AF-DIR	30-1-035	155.0	59.4	0.015	0.0	5909	300	9.044e-06	This study		LT-AF-Z	g		u	300	
30-1-035:LP-ARM5910	30-1-035:LP-ARM	30-1-035			0.08	5e-05	5910	300	7.338e-05	This study		LT-AF-I	g		u	300	
30-1-035:LP-IRM5911	30-1-035:LP-IRM	30-1-035			0.0	1.0	5911	300	0.001553	This study		LT-IRM	g		u	300	
30-1-035:LP-X5912	30-1-035:LP-X	30-1-035			0.01	0.0	5912	300		This study		LP-X				300	1.075e-07
30-1-038:LP-AF-DIR5913	30-1-038:LP-AF-DIR	30-1-038	185.1	57.2	0.015	0.0	5913	300	1.013e-05	This study		LT-AF-Z	g		u	300	
30-1-038:LP-ARM5914	30-1-038:LP-ARM	30-1-038			0.08	5e-05	5914	300	7.428e-05	This study		LT-AF-I	g		u	300	
30-1-038:LP-IRM5915	30-1-038:LP-IRM	30-1-038			0.0	1.0	5915	300	0.001508	This study		LT-IRM	g		u	300	
30-1-038:LP-X5916	30-1-038:LP-X	30-1-038			0.01	0.0	5916	300		This study		LP-X				300	1.027e-07
30-1-041:LP-AF-DIR5917	30-1-041:LP-AF-DIR	30-1-041	176.7	51.1	0.015	0.0	5917	300	8.333e-06	This study		LT-AF-Z	g		u	300	
30-1-041:LP-ARM5918	30-1-041:LP-ARM	30-1-041			0.08	5e-05	5918	300	7.326e-05	This study		LT-AF-I	g		u	300	
30-1-041:LP-IRM5919	30-1-041:LP-IRM	30-1-041			0.0	1.0	5919	300	0.001472	This study		LT-IRM	g		u	300	
30-1-041:LP-X5920	30-1-041:LP-X	30-1-041			0.01	0.0	5920	300		This study		LP-X				300	1.021e-07
30-1-044:LP-AF-DIR5921	30-1-044:LP-AF-DIR	30-1-044	186.6	53.9	0.015	0.0	5921	300	9.856e-06	This study		LT-AF-Z	g		u	300	
30-1-044:LP-ARM5922	30-1-044:LP-ARM	30-1-044			0.08	5e-05	5922	300	6.982e-05	This study		LT-AF-I	g		u	300	
30-1-044:LP-IRM5923	30-1-044:LP-IRM	30-1-044			0.0	1.0	5923	300	0.001458	This study		LT-IRM	g		u	300	
30-1-044:LP-X5924	30-1-044:LP-X	30-1-044			0.01	0.0	5924	300		This study		LP-X				300	1.013e-07
30-1-047:LP-AF-DIR5925	30-1-047:LP-AF-DIR	30-1-047	189.3	69.3	0.015	0.0	5925	300	7.372000000000003e-06	This study		LT-AF-Z	g		u	300	
30-1-047:LP-ARM5926	30-1-047:LP-ARM	30-1-047			0.08	5e-05	5926	300	7.08e-05	This study		LT-AF-I	g		u	300	
30-1-047:LP-IRM5927	30-1-047:LP-IRM	30-1-047			0.0	1.0	5927	300	0.001453	This study		LT-IRM	g		u	300	
30-1-047:LP-X5928	30-1-047:LP-X	30-1-047			0.01	0.0	5928	300		This study		LP-X				300	1.022e-07
30-1-051:LP-AF-DIR5929	30-1-051:LP-AF-DIR	30-1-051	192.9	50.0	0.015	0.0	5929	300	9.694e-06	This study		LT-AF-Z	g		u	300	
30-1-051:LP-ARM5930	30-1-051:LP-ARM	30-1-051			0.08	5e-05	5930	300	7.494e-05	This study		LT-AF-I	g		u	300	
30-1-051:LP-IRM5931	30-1-051:LP-IRM	30-1-051			0.0	1.0	5931	300	0.001582	This study		LT-IRM	g		u	300	
30-1-051:LP-X5932	30-1-051:LP-X	30-1-051			0.01	0.0	5932	300		This study		LP-X				300	1.11e-07
30-1-054:LP-AF-DIR5933	30-1-054:LP-AF-DIR	30-1-054	196.1	54.8	0.015	0.0	5933	300	9.898e-06	This study		LT-AF-Z	g		u	300	
