tab 	measurements
citations	dir_dec	dir_inc	experiment	magn_mass	meas_temp	measurement	method_codes	quality	specimen	standard	susc_chi_mass	treat_ac_field	treat_dc_field	treat_step_num	treat_temp
This study			19-1-077:LP-X		300	2016	LP-X		19-1-077		1.09E-07	1.00E-02	0		300
This study	357.9	-73.7	19-1-080:LP-AF-DIR	1.75E-06	300	2017	LT-AF-Z	g	19-1-080	u		1.50E-02	0		300
This study			19-1-080:LP-ARM	1.03E-04	300	2018	LT-AF-I	g	19-1-080	u		8.00E-02	5.00E-05		300
This study			19-1-080:LP-IRM	1.86E-03	300	2019	LT-IRM	g	19-1-080	u		0	1		300
This study			19-1-080:LP-X		300	2020	LP-X		19-1-080		1.31E-07	1.00E-02	0		300
This study	42.4	-69.7	19-1-083:LP-AF-DIR	2.54E-06	300	2021	LT-AF-Z	g	19-1-083	u		1.50E-02	0		300
This study			19-1-083:LP-ARM	9.63E-05	300	2022	LT-AF-I	g	19-1-083	u		8.00E-02	5.00E-05		300
This study			19-1-083:LP-IRM	1.80E-03	300	2023	LT-IRM	g	19-1-083	u		0	1		300
This study			19-1-083:LP-X		300	2024	LP-X		19-1-083		1.24E-07	1.00E-02	0		300
This study	35.7	-79.3	19-1-088:LP-AF-DIR	2.30E-06	300	2025	LT-AF-Z	g	19-1-088	u		1.50E-02	0		300
This study			19-1-088:LP-ARM	9.55E-05	300	2026	LT-AF-I	g	19-1-088	u		8.00E-02	5.00E-05		300
This study			19-1-088:LP-IRM	1.72E-03	300	2027	LT-IRM	g	19-1-088	u		0	1		300
This study			19-1-088:LP-X		300	2028	LP-X		19-1-088		1.19E-07	1.00E-02	0		300
This study	34.1	-59.9	19-1-091:LP-AF-DIR	2.23E-06	300	2029	LT-AF-Z	g	19-1-091	u		1.50E-02	0		300
This study			19-1-091:LP-ARM	1.06E-04	300	2030	LT-AF-I	g	19-1-091	u		8.00E-02	5.00E-05		300
This study			19-1-091:LP-IRM	1.88E-03	300	2031	LT-IRM	g	19-1-091	u		0	1		300
This study			19-1-091:LP-X		300	2032	LP-X		19-1-091		1.34E-07	1.00E-02	0		300
This study	79.5	-72.2	19-1-094:LP-AF-DIR	2.45E-06	300	2033	LT-AF-Z	g	19-1-094	u		1.50E-02	0		300
This study			19-1-094:LP-ARM	1.07E-04	300	2034	LT-AF-I	g	19-1-094	u		8.00E-02	5.00E-05		300
This study			19-1-094:LP-IRM	1.92E-03	300	2035	LT-IRM	g	19-1-094	u		0	1		300
This study			19-1-094:LP-X		300	2036	LP-X		19-1-094		1.35E-07	1.00E-02	0		300
This study	61.1	-77.9	19-1-098:LP-AF-DIR	2.33E-06	300	2037	LT-AF-Z	g	19-1-098	u		1.50E-02	0		300
This study			19-1-098:LP-ARM	1.16E-04	300	2038	LT-AF-I	g	19-1-098	u		8.00E-02	5.00E-05		300
This study			19-1-098:LP-IRM	2.00E-03	300	2039	LT-IRM	g	19-1-098	u		0	1		300
This study			19-1-098:LP-X		300	2040	LP-X		19-1-098		1.37E-07	1.00E-02	0		300
This study	17.2	-62.8	19-1-100:LP-AF-DIR	2.26E-06	300	2041	LT-AF-Z	g	19-1-100	u		1.50E-02	0		300
This study			19-1-100:LP-ARM	1.25E-04	300	2042	LT-AF-I	g	19-1-100	u		8.00E-02	5.00E-05		300
This study			19-1-100:LP-IRM	1.97E-03	300	2043	LT-IRM	g	19-1-100	u		0	1		300
This study			19-1-100:LP-X		300	2044	LP-X		19-1-100		1.30E-07	1.00E-02	0		300
This study	16.8	-64.1	19-1-103:LP-AF-DIR	3.15E-06	300	2045	LT-AF-Z	g	19-1-103	u		1.50E-02	0		300
This study			19-1-103:LP-ARM	1.08E-04	300	2046	LT-AF-I	g	19-1-103	u		8.00E-02	5.00E-05		300
This study			19-1-103:LP-IRM	1.88E-03	300	2047	LT-IRM	g	19-1-103	u		0	1		300
This study			19-1-103:LP-X		300	2048	LP-X		19-1-103		1.25E-07	1.00E-02	0		300
This study	23.8	-69.9	19-1-106:LP-AF-DIR	3.87E-06	300	2049	LT-AF-Z	g	19-1-106	u		1.50E-02	0		300
This study			19-1-106:LP-ARM	1.20E-04	300	2050	LT-AF-I	g	19-1-106	u		8.00E-02	5.00E-05		300
This study			19-1-106:LP-IRM	2.05E-03	300	2051	LT-IRM	g	19-1-106	u		0	1		300
This study			19-1-106:LP-X		300	2052	LP-X		19-1-106		1.47E-07	1.00E-02	0		300
This study	140.8	-9.1	19-1-109:LP-AF-DIR	4.51E-07	300	2053	LT-AF-Z	g	19-1-109	u		1.50E-02	0		300
This study			19-1-109:LP-ARM	1.25E-04	300	2054	LT-AF-I	g	19-1-109	u		8.00E-02	5.00E-05		300
This study			19-1-109:LP-IRM	2.19E-03	300	2055	LT-IRM	g	19-1-109	u		0	1		300
This study			19-1-109:LP-X		300	2056	LP-X		19-1-109		1.63E-07	1.00E-02	0		300
This study	349.8	-45.8	19-1-113:LP-AF-DIR	2.46E-06	300	2057	LT-AF-Z	g	19-1-113	u		1.50E-02	0		300
This study			19-1-113:LP-ARM	1.00E-04	300	2058	LT-AF-I	g	19-1-113	u		8.00E-02	5.00E-05		300
This study			19-1-113:LP-IRM	1.96E-03	300	2059	LT-IRM	g	19-1-113	u		0	1		300
This study			19-1-113:LP-X		300	2060	LP-X		19-1-113		1.43E-07	1.00E-02	0		300
This study	335.6	-70.4	19-1-117:LP-AF-DIR	2.09E-06	300	2061	LT-AF-Z	g	19-1-117	u		1.50E-02	0		300
This study			19-1-117:LP-ARM	1.12E-04	300	2062	LT-AF-I	g	19-1-117	u		8.00E-02	5.00E-05		300
This study			19-1-117:LP-IRM	2.08E-03	300	2063	LT-IRM	g	19-1-117	u		0	1		300
This study			19-1-117:LP-X		300	2064	LP-X		19-1-117		1.46E-07	1.00E-02	0		300
This study	3.7	-58.9	19-1-121:LP-AF-DIR	2.38E-06	300	2065	LT-AF-Z	g	19-1-121	u		1.50E-02	0		300
This study			19-1-121:LP-ARM	1.08E-04	300	2066	LT-AF-I	g	19-1-121	u		8.00E-02	5.00E-05		300
This study			19-1-121:LP-IRM	2.10E-03	300	2067	LT-IRM	g	19-1-121	u		0	1		300
This study			19-1-121:LP-X		300	2068	LP-X		19-1-121		1.49E-07	1.00E-02	0		300
This study	357.5	-63.5	19-1-124:LP-AF-DIR	4.70E-06	300	2069	LT-AF-Z	g	19-1-124	u		1.50E-02	0		300
This study			19-1-124:LP-ARM	1.31E-04	300	2070	LT-AF-I	g	19-1-124	u		8.00E-02	5.00E-05		300
This study			19-1-124:LP-IRM	2.57E-03	300	2071	LT-IRM	g	19-1-124	u		0	1		300
This study			19-1-124:LP-X		300	2072	LP-X		19-1-124		1.79E-07	1.00E-02	0		300
This study	350.6	-45.4	19-1-128:LP-AF-DIR	5.66E-06	300	2073	LT-AF-Z	g	19-1-128	u		1.50E-02	0		300
This study			19-1-128:LP-ARM	1.26E-04	300	2074	LT-AF-I	g	19-1-128	u		8.00E-02	5.00E-05		300
This study			19-1-128:LP-IRM	2.48E-03	300	2075	LT-IRM	g	19-1-128	u		0	1		300
This study			19-1-128:LP-X		300	2076	LP-X		19-1-128		1.84E-07	1.00E-02	0		300
This study	19	-53.7	19-1-131:LP-AF-DIR	5.27E-06	300	2077	LT-AF-Z	g	19-1-131	u		1.50E-02	0		300
This study			19-1-131:LP-ARM	1.12E-04	300	2078	LT-AF-I	g	19-1-131	u		8.00E-02	5.00E-05		300
This study			19-1-131:LP-IRM	2.02E-03	300	2079	LT-IRM	g	19-1-131	u		0	1		300
This study			19-1-131:LP-X		300	2080	LP-X		19-1-131		1.76E-07	1.00E-02	0		300
This study	164.4	39.1	19-1-135:LP-AF-DIR	3.28E-06	300	2081	LT-AF-Z	g	19-1-135	u		1.50E-02	0		300
This study			19-1-135:LP-ARM	1.50E-04	300	2082	LT-AF-I	g	19-1-135	u		8.00E-02	5.00E-05		300
This study			19-1-135:LP-IRM	2.53E-03	300	2083	LT-IRM	g	19-1-135	u		0	1		300
This study			19-1-135:LP-X		300	2084	LP-X		19-1-135		1.88E-07	1.00E-02	0		300
This study	332.1	-50.1	19-1-137:LP-AF-DIR	4.03E-06	300	2085	LT-AF-Z	g	19-1-137	u		1.50E-02	0		300
This study			19-1-137:LP-ARM	1.19E-04	300	2086	LT-AF-I	g	19-1-137	u		8.00E-02	5.00E-05		300
This study			19-1-137:LP-IRM	2.27E-03	300	2087	LT-IRM	g	19-1-137	u		0	1		300
This study			19-1-137:LP-X		300	2088	LP-X		19-1-137		1.66E-07	1.00E-02	0		300
This study	342.2	-65	19-1-140:LP-AF-DIR	4.89E-06	300	2089	LT-AF-Z	g	19-1-140	u		1.50E-02	0		300
This study			19-1-140:LP-ARM	1.22E-04	300	2090	LT-AF-I	g	19-1-140	u		8.00E-02	5.00E-05		300
This study			19-1-140:LP-IRM	2.17E-03	300	2091	LT-IRM	g	19-1-140	u		0	1		300
This study			19-1-140:LP-X		300	2092	LP-X		19-1-140		1.51E-07	1.00E-02	0		300
This study	335.4	-57.9	19-1-144:LP-AF-DIR	3.67E-06	300	2093	LT-AF-Z	g	19-1-144	u		1.50E-02	0		300
This study			19-1-144:LP-ARM	1.00E-04	300	2094	LT-AF-I	g	19-1-144	u		8.00E-02	5.00E-05		300
This study			19-1-144:LP-IRM	1.71E-03	300	2095	LT-IRM	g	19-1-144	u		0	1		300
This study			19-1-144:LP-X		300	2096	LP-X		19-1-144		1.27E-07	1.00E-02	0		300
This study	296.9	-84	19-1-147:LP-AF-DIR	2.49E-06	300	2097	LT-AF-Z	g	19-1-147	u		1.50E-02	0		300
This study			19-1-147:LP-ARM	1.01E-04	300	2098	LT-AF-I	g	19-1-147	u		8.00E-02	5.00E-05		300
This study			19-1-147:LP-IRM	1.76E-03	300	2099	LT-IRM	g	19-1-147	u		0	1		300
This study			19-1-147:LP-X		300	2100	LP-X		19-1-147		1.23E-07	1.00E-02	0		300
This study	206.7	-65.3	19-1-150:LP-AF-DIR	1.79E-06	300	2101	LT-AF-Z	g	19-1-150	u		1.50E-02	0		300
This study			19-1-150:LP-ARM	8.60E-05	300	2102	LT-AF-I	g	19-1-150	u		8.00E-02	5.00E-05		300
This study			19-1-150:LP-IRM	1.54E-03	300	2103	LT-IRM	g	19-1-150	u		0	1		300
This study			19-1-150:LP-X		300	2104	LP-X		19-1-150		1.06E-07	1.00E-02	0		300
This study	359.1	-48	19-2-001:LP-AF-DIR	2.26E-06	300	2105	LT-AF-Z	g	19-2-001	u		1.50E-02	0		300
This study			19-2-001:LP-ARM	9.24E-05	300	2106	LT-AF-I	g	19-2-001	u		8.00E-02	5.00E-05		300
This study			19-2-001:LP-IRM	1.69E-03	300	2107	LT-IRM	g	19-2-001	u		0	1		300
This study			19-2-001:LP-X		300	2108	LP-X		19-2-001		1.21E-07	1.00E-02	0		300
This study	358.6	-60.4	19-2-004:LP-AF-DIR	2.85E-06	300	2109	LT-AF-Z	g	19-2-004	u		1.50E-02	0		300
This study			19-2-004:LP-ARM	1.04E-04	300	2110	LT-AF-I	g	19-2-004	u		8.00E-02	5.00E-05		300
This study			19-2-004:LP-IRM	1.99E-03	300	2111	LT-IRM	g	19-2-004	u		0	1		300
This study			19-2-004:LP-X		300	2112	LP-X		19-2-004		1.40E-07	1.00E-02	0		300
This study	29	-44.5	19-2-008:LP-AF-DIR	2.61E-06	300	2113	LT-AF-Z	g	19-2-008	u		1.50E-02	0		300
This study			19-2-008:LP-ARM	1.03E-04	300	2114	LT-AF-I	g	19-2-008	u		8.00E-02	5.00E-05		300
This study			19-2-008:LP-IRM	1.99E-03	300	2115	LT-IRM	g	19-2-008	u		0	1		300
This study			19-2-008:LP-X		300	2116	LP-X		19-2-008		1.43E-07	1.00E-02	0		300
This study	5.2	-54.4	19-2-010:LP-AF-DIR	3.66E-06	300	2117	LT-AF-Z	g	19-2-010	u		1.50E-02	0		300
This study			19-2-010:LP-ARM	1.08E-04	300	2118	LT-AF-I	g	19-2-010	u		8.00E-02	5.00E-05		300
This study			19-2-010:LP-IRM	2.01E-03	300	2119	LT-IRM	g	19-2-010	u		0	1		300
This study			19-2-010:LP-X		300	2120	LP-X		19-2-010		1.42E-07	1.00E-02	0		300
This study	23.5	-47.5	19-2-014:LP-AF-DIR	3.85E-06	300	2121	LT-AF-Z	g	19-2-014	u		1.50E-02	0		300
This study			19-2-014:LP-ARM	1.07E-04	300	2122	LT-AF-I	g	19-2-014	u		8.00E-02	5.00E-05		300
This study			19-2-014:LP-IRM	2.00E-03	300	2123	LT-IRM	g	19-2-014	u		0	1		300
This study			19-2-014:LP-X		300	2124	LP-X		19-2-014		1.40E-07	1.00E-02	0		300
This study	358.4	-42.3	19-2-017:LP-AF-DIR	3.99E-06	300	2125	LT-AF-Z	g	19-2-017	u		1.50E-02	0		300
This study			19-2-017:LP-ARM	1.18E-04	300	2126	LT-AF-I	g	19-2-017	u		8.00E-02	5.00E-05		300
This study			19-2-017:LP-IRM	2.19E-03	300	2127	LT-IRM	g	19-2-017	u		0	1		300
This study			19-2-017:LP-X		300	2128	LP-X		19-2-017		1.55E-07	1.00E-02	0		300
This study	0.8	-72.4	19-2-020:LP-AF-DIR	3.76E-06	300	2129	LT-AF-Z	g	19-2-020	u		1.50E-02	0		300
This study			19-2-020:LP-ARM	1.30E-04	300	2130	LT-AF-I	g	19-2-020	u		8.00E-02	5.00E-05		300
This study			19-2-020:LP-IRM	2.38E-03	300	2131	LT-IRM	g	19-2-020	u		0	1		300
This study			19-2-020:LP-X		300	2132	LP-X		19-2-020		1.69E-07	1.00E-02	0		300
This study	1.3	-58.3	19-2-025:LP-AF-DIR	5.66E-06	300	2133	LT-AF-Z	g	19-2-025	u		1.50E-02	0		300
This study			19-2-025:LP-ARM	1.18E-04	300	2134	LT-AF-I	g	19-2-025	u		8.00E-02	5.00E-05		300
This study			19-2-025:LP-IRM	2.18E-03	300	2135	LT-IRM	g	19-2-025	u		0	1		300
This study			19-2-025:LP-X		300	2136	LP-X		19-2-025		1.49E-07	1.00E-02	0		300
This study	356.6	-43.6	19-2-028:LP-AF-DIR	5.14E-06	300	2137	LT-AF-Z	g	19-2-028	u		1.50E-02	0		300
This study			19-2-028:LP-ARM	1.13E-04	300	2138	LT-AF-I	g	19-2-028	u		8.00E-02	5.00E-05		300
This study			19-2-028:LP-IRM	2.02E-03	300	2139	LT-IRM	g	19-2-028	u		0	1		300
This study			19-2-028:LP-X		300	2140	LP-X		19-2-028		1.37E-07	1.00E-02	0		300
This study	357.3	-38.1	19-2-032:LP-AF-DIR	4.25E-06	300	2141	LT-AF-Z	g	19-2-032	u		1.50E-02	0		300
This study			19-2-032:LP-ARM	1.08E-04	300	2142	LT-AF-I	g	19-2-032	u		8.00E-02	5.00E-05		300
This study			19-2-032:LP-IRM	1.92E-03	300	2143	LT-IRM	g	19-2-032	u		0	1		300
This study			19-2-032:LP-X		300	2144	LP-X		19-2-032		1.34E-07	1.00E-02	0		300
This study	4.4	-42.9	19-2-035:LP-AF-DIR	6.05E-06	300	2145	LT-AF-Z	g	19-2-035	u		1.50E-02	0		300
This study			19-2-035:LP-ARM	1.16E-04	300	2146	LT-AF-I	g	19-2-035	u		8.00E-02	5.00E-05		300
This study			19-2-035:LP-IRM	2.05E-03	300	2147	LT-IRM	g	19-2-035	u		0	1		300
This study			19-2-035:LP-X		300	2148	LP-X		19-2-035		1.39E-07	1.00E-02	0		300
This study	2.8	-52.7	19-2-039:LP-AF-DIR	7.20E-06	300	2149	LT-AF-Z	g	19-2-039	u		1.50E-02	0		300
This study			19-2-039:LP-ARM	1.20E-04	300	2150	LT-AF-I	g	19-2-039	u		8.00E-02	5.00E-05		300
This study			19-2-039:LP-IRM	2.17E-03	300	2151	LT-IRM	g	19-2-039	u		0	1		300
This study			19-2-039:LP-X		300	2152	LP-X		19-2-039		1.47E-07	1.00E-02	0		300
This study	355.9	-49.5	19-2-042:LP-AF-DIR	6.52E-06	300	2153	LT-AF-Z	g	19-2-042	u		1.50E-02	0		300
This study			19-2-042:LP-ARM	1.15E-04	300	2154	LT-AF-I	g	19-2-042	u		8.00E-02	5.00E-05		300
This study			19-2-042:LP-IRM	2.12E-03	300	2155	LT-IRM	g	19-2-042	u		0	1		300
This study			19-2-042:LP-X		300	2156	LP-X		19-2-042		1.44E-07	1.00E-02	0		300
This study	352.2	-65.6	19-2-045:LP-AF-DIR	6.49E-06	300	2157	LT-AF-Z	g	19-2-045	u		1.50E-02	0		300
This study			19-2-045:LP-ARM	9.95E-05	300	2158	LT-AF-I	g	19-2-045	u		8.00E-02	5.00E-05		300
This study			19-2-045:LP-IRM	1.78E-03	300	2159	LT-IRM	g	19-2-045	u		0	1		300
This study			19-2-045:LP-X		300	2160	LP-X		19-2-045		1.18E-07	1.00E-02	0		300
This study	5.2	-49.2	19-2-048:LP-AF-DIR	5.91E-06	300	2161	LT-AF-Z	g	19-2-048	u		1.50E-02	0		300
This study			19-2-048:LP-ARM	1.08E-04	300	2162	LT-AF-I	g	19-2-048	u		8.00E-02	5.00E-05		300
This study			19-2-048:LP-IRM	1.83E-03	300	2163	LT-IRM	g	19-2-048	u		0	1		300
This study			19-2-048:LP-X		300	2164	LP-X		19-2-048		1.23E-07	1.00E-02	0		300
This study	342.4	-54.6	19-2-051:LP-AF-DIR	3.74E-06	300	2165	LT-AF-Z	g	19-2-051	u		1.50E-02	0		300
This study			19-2-051:LP-ARM	1.11E-04	300	2166	LT-AF-I	g	19-2-051	u		8.00E-02	5.00E-05		300
This study			19-2-051:LP-IRM	1.81E-03	300	2167	LT-IRM	g	19-2-051	u		0	1		300
This study			19-2-051:LP-X		300	2168	LP-X		19-2-051		1.22E-07	1.00E-02	0		300
This study	11.6	-38.6	19-2-055:LP-AF-DIR	4.52E-06	300	2169	LT-AF-Z	g	19-2-055	u		1.50E-02	0		300
This study			19-2-055:LP-ARM	1.23E-04	300	2170	LT-AF-I	g	19-2-055	u		8.00E-02	5.00E-05		300
This study			19-2-055:LP-IRM	2.07E-03	300	2171	LT-IRM	g	19-2-055	u		0	1		300
This study			19-2-055:LP-X		300	2172	LP-X		19-2-055		1.38E-07	1.00E-02	0		300
This study	351.6	-41.8	19-2-057:LP-AF-DIR	5.68E-06	300	2173	LT-AF-Z	g	19-2-057	u		1.50E-02	0		300
This study			19-2-057:LP-ARM	1.18E-04	300	2174	LT-AF-I	g	19-2-057	u		8.00E-02	5.00E-05		300
This study			19-2-057:LP-IRM	1.99E-03	300	2175	LT-IRM	g	19-2-057	u		0	1		300
This study			19-2-057:LP-X		300	2176	LP-X		19-2-057		1.40E-07	1.00E-02	0		300
This study	358.8	-40	19-2-062:LP-AF-DIR	5.55E-06	300	2177	LT-AF-Z	g	19-2-062	u		1.50E-02	0		300
This study			19-2-062:LP-ARM	1.36E-04	300	2178	LT-AF-I	g	19-2-062	u		8.00E-02	5.00E-05		300
This study			19-2-062:LP-IRM	2.29E-03	300	2179	LT-IRM	g	19-2-062	u		0	1		300
This study			19-2-062:LP-X		300	2180	LP-X		19-2-062		1.64E-07	1.00E-02	0		300
This study	350.5	-50.3	19-2-065:LP-AF-DIR	6.05E-06	300	2181	LT-AF-Z	g	19-2-065	u		1.50E-02	0		300
This study			19-2-065:LP-ARM	1.46E-04	300	2182	LT-AF-I	g	19-2-065	u		8.00E-02	5.00E-05		300
This study			19-2-065:LP-IRM	2.40E-03	300	2183	LT-IRM	g	19-2-065	u		0	1		300
This study			19-2-065:LP-X		300	2184	LP-X		19-2-065		1.72E-07	1.00E-02	0		300
This study	10.2	-50.6	19-2-069:LP-AF-DIR	4.24E-06	300	2185	LT-AF-Z	g	19-2-069	u		1.50E-02	0		300
This study			19-2-069:LP-ARM	1.38E-04	300	2186	LT-AF-I	g	19-2-069	u		8.00E-02	5.00E-05		300
This study			19-2-069:LP-IRM	2.27E-03	300	2187	LT-IRM	g	19-2-069	u		0	1		300
This study			19-2-069:LP-X		300	2188	LP-X		19-2-069		1.65E-07	1.00E-02	0		300
This study	348.1	-61.2	19-2-072:LP-AF-DIR	3.30E-06	300	2189	LT-AF-Z	g	19-2-072	u		1.50E-02	0		300
This study			19-2-072:LP-ARM	1.25E-04	300	2190	LT-AF-I	g	19-2-072	u		8.00E-02	5.00E-05		300
This study			19-2-072:LP-IRM	2.04E-03	300	2191	LT-IRM	g	19-2-072	u		0	1		300
This study			19-2-072:LP-X		300	2192	LP-X		19-2-072		1.49E-07	1.00E-02	0		300
This study	353.8	-39.5	19-2-076:LP-AF-DIR	2.69E-06	300	2193	LT-AF-Z	g	19-2-076	u		1.50E-02	0		300
This study			19-2-076:LP-ARM	1.06E-04	300	2194	LT-AF-I	g	19-2-076	u		8.00E-02	5.00E-05		300
This study			19-2-076:LP-IRM	1.78E-03	300	2195	LT-IRM	g	19-2-076	u		0	1		300
This study			19-2-076:LP-X		300	2196	LP-X		19-2-076		1.30E-07	1.00E-02	0		300
This study	3.3	-53.5	19-2-079:LP-AF-DIR	3.84E-06	300	2197	LT-AF-Z	g	19-2-079	u		1.50E-02	0		300
This study			19-2-079:LP-ARM	1.09E-04	300	2198	LT-AF-I	g	19-2-079	u		8.00E-02	5.00E-05		300
This study			19-2-079:LP-IRM	1.76E-03	300	2199	LT-IRM	g	19-2-079	u		0	1		300
This study			19-2-079:LP-X		300	2200	LP-X		19-2-079		1.26E-07	1.00E-02	0		300
This study	358.5	-54.3	19-2-082:LP-AF-DIR	3.32E-06	300	2201	LT-AF-Z	g	19-2-082	u		1.50E-02	0		300
This study			19-2-082:LP-ARM	1.07E-04	300	2202	LT-AF-I	g	19-2-082	u		8.00E-02	5.00E-05		300
This study			19-2-082:LP-IRM	1.82E-03	300	2203	LT-IRM	g	19-2-082	u		0	1		300
This study			19-2-082:LP-X		300	2204	LP-X		19-2-082		1.31E-07	1.00E-02	0		300
This study	327.5	-67.1	19-2-085:LP-AF-DIR	4.03E-06	300	2205	LT-AF-Z	g	19-2-085	u		1.50E-02	0		300
This study			19-2-085:LP-ARM	1.31E-04	300	2206	LT-AF-I	g	19-2-085	u		8.00E-02	5.00E-05		300
This study			19-2-085:LP-IRM	2.26E-03	300	2207	LT-IRM	g	19-2-085	u		0	1		300
This study			19-2-085:LP-X		300	2208	LP-X		19-2-085		1.67E-07	1.00E-02	0		300
This study	354.6	-61.8	19-2-090:LP-AF-DIR	6.01E-06	300	2209	LT-AF-Z	g	19-2-090	u		1.50E-02	0		300
This study			19-2-090:LP-ARM	1.37E-04	300	2210	LT-AF-I	g	19-2-090	u		8.00E-02	5.00E-05		300
This study			19-2-090:LP-IRM	2.30E-03	300	2211	LT-IRM	g	19-2-090	u		0	1		300
This study			19-2-090:LP-X		300	2212	LP-X		19-2-090		1.68E-07	1.00E-02	0		300
This study	350.9	-61	19-2-092:LP-AF-DIR	6.11E-06	300	2213	LT-AF-Z	g	19-2-092	u		1.50E-02	0		300
This study			19-2-092:LP-ARM	1.49E-04	300	2214	LT-AF-I	g	19-2-092	u		8.00E-02	5.00E-05		300
This study			19-2-092:LP-IRM	2.45E-03	300	2215	LT-IRM	g	19-2-092	u		0	1		300
This study			19-2-092:LP-X		300	2216	LP-X		19-2-092		1.76E-07	1.00E-02	0		300
This study	350.1	-61	19-2-096:LP-AF-DIR	5.14E-06	300	2217	LT-AF-Z	g	19-2-096	u		1.50E-02	0		300
This study			19-2-096:LP-ARM	1.45E-04	300	2218	LT-AF-I	g	19-2-096	u		8.00E-02	5.00E-05		300
This study			19-2-096:LP-IRM	2.40E-03	300	2219	LT-IRM	g	19-2-096	u		0	1		300
This study			19-2-096:LP-X		300	2220	LP-X		19-2-096		1.76E-07	1.00E-02	0		300
This study	2.5	-72.1	19-2-100:LP-AF-DIR	4.77E-06	300	2221	LT-AF-Z	g	19-2-100	u		1.50E-02	0		300
This study			19-2-100:LP-ARM	1.45E-04	300	2222	LT-AF-I	g	19-2-100	u		8.00E-02	5.00E-05		300
This study			19-2-100:LP-IRM	2.43E-03	300	2223	LT-IRM	g	19-2-100	u		0	1		300
This study			19-2-100:LP-X		300	2224	LP-X		19-2-100		1.78E-07	1.00E-02	0		300
This study	8.2	-59.3	19-2-102:LP-AF-DIR	2.97E-06	300	2225	LT-AF-Z	g	19-2-102	u		1.50E-02	0		300
This study			19-2-102:LP-ARM	1.40E-04	300	2226	LT-AF-I	g	19-2-102	u		8.00E-02	5.00E-05		300
This study			19-2-102:LP-IRM	2.41E-03	300	2227	LT-IRM	g	19-2-102	u		0	1		300
This study			19-2-102:LP-X		300	2228	LP-X		19-2-102		1.74E-07	1.00E-02	0		300
This study	345.5	-41.8	19-2-106:LP-AF-DIR	5.99E-06	300	2229	LT-AF-Z	g	19-2-106	u		1.50E-02	0		300
This study			19-2-106:LP-ARM	1.40E-04	300	2230	LT-AF-I	g	19-2-106	u		8.00E-02	5.00E-05		300
This study			19-2-106:LP-IRM	2.38E-03	300	2231	LT-IRM	g	19-2-106	u		0	1		300
This study			19-2-106:LP-X		300	2232	LP-X		19-2-106		1.71E-07	1.00E-02	0		300
This study	339	-42.5	19-2-109:LP-AF-DIR	7.03E-06	300	2233	LT-AF-Z	g	19-2-109	u		1.50E-02	0		300
This study			19-2-109:LP-ARM	1.22E-04	300	2234	LT-AF-I	g	19-2-109	u		8.00E-02	5.00E-05		300
This study			19-2-109:LP-IRM	2.19E-03	300	2235	LT-IRM	g	19-2-109	u		0	1		300
This study			19-2-109:LP-X		300	2236	LP-X		19-2-109		1.60E-07	1.00E-02	0		300
This study	348.6	-55.6	19-2-112:LP-AF-DIR	7.16E-06	300	2237	LT-AF-Z	g	19-2-112	u		1.50E-02	0		300
This study			19-2-112:LP-ARM	1.27E-04	300	2238	LT-AF-I	g	19-2-112	u		8.00E-02	5.00E-05		300
This study			19-2-112:LP-IRM	2.28E-03	300	2239	LT-IRM	g	19-2-112	u		0	1		300
This study			19-2-112:LP-X		300	2240	LP-X		19-2-112		1.63E-07	1.00E-02	0		300
This study	326.1	-62.5	19-2-115:LP-AF-DIR	5.13E-06	300	2241	LT-AF-Z	g	19-2-115	u		1.50E-02	0		300
This study			19-2-115:LP-ARM	1.24E-04	300	2242	LT-AF-I	g	19-2-115	u		8.00E-02	5.00E-05		300
This study			19-2-115:LP-IRM	2.21E-03	300	2243	LT-IRM	g	19-2-115	u		0	1		300
This study			19-2-115:LP-X		300	2244	LP-X		19-2-115		1.58E-07	1.00E-02	0		300
This study	356.5	-66.7	19-2-118:LP-AF-DIR	6.93E-06	300	2245	LT-AF-Z	g	19-2-118	u		1.50E-02	0		300
This study			19-2-118:LP-ARM	1.22E-04	300	2246	LT-AF-I	g	19-2-118	u		8.00E-02	5.00E-05		300
This study			19-2-118:LP-IRM	2.17E-03	300	2247	LT-IRM	g	19-2-118	u		0	1		300
This study			19-2-118:LP-X		300	2248	LP-X		19-2-118		1.58E-07	1.00E-02	0		300
This study	348.1	-54.4	19-2-122:LP-AF-DIR	4.88E-06	300	2249	LT-AF-Z	g	19-2-122	u		1.50E-02	0		300
This study			19-2-122:LP-ARM	1.12E-04	300	2250	LT-AF-I	g	19-2-122	u		8.00E-02	5.00E-05		300
This study			19-2-122:LP-IRM	1.91E-03	300	2251	LT-IRM	g	19-2-122	u		0	1		300
This study			19-2-122:LP-X		300	2252	LP-X		19-2-122		1.36E-07	1.00E-02	0		300
This study	346.3	-56.6	19-2-125:LP-AF-DIR	5.51E-06	300	2253	LT-AF-Z	g	19-2-125	u		1.50E-02	0		300
This study			19-2-125:LP-ARM	1.10E-04	300	2254	LT-AF-I	g	19-2-125	u		8.00E-02	5.00E-05		300
This study			19-2-125:LP-IRM	1.86E-03	300	2255	LT-IRM	g	19-2-125	u		0	1		300
This study			19-2-125:LP-X		300	2256	LP-X		19-2-125		1.33E-07	1.00E-02	0		300
