tab	measurements																		
citations	dir_dec	dir_inc	er_analyst_mail_names	experiment	flag	instrument_codes	location	magn_moment	meas_temp	method_codes	treat_step_num	sample	site	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	159.5	26.8		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	8.980e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	15	sr01c	sr01	sr01c2		0	0	0	673
This study	160.2	29.5		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.240e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	16	sr01c	sr01	sr01c2		4.000e-05	0	90	573
This study	159.3	32.9		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.440e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	17	sr01c	sr01	sr01c2		4.000e-05	0	90	673
This study	159.8	27.1		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	8.190e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	18	sr01c	sr01	sr01c2		0	0	0	723
This study	160.1	39.3		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.310e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	19	sr01c	sr01	sr01c2		4.000e-05	0	90	723
This study	160.6	27.3		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	6.940e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	20	sr01c	sr01	sr01c2		0	0	0	773
This study	160.3	35.4		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	7.560e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	21	sr01c	sr01	sr01c2		4.000e-05	0	90	673
This study	160.4	47.1		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	8.790e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	22	sr01c	sr01	sr01c2		4.000e-05	0	90	773
This study	159.2	27.8		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	5.280e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	23	sr01c	sr01	sr01c2		0	0	0	798
This study	158.4	60.4		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	9.170e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	24	sr01c	sr01	sr01c2		4.000e-05	0	90	798
This study	159.6	28.31		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.759e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	25	sr01c	sr01	sr01c2		0	0	0	823
This study	159	61.9		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	5.230e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26	sr01c	sr01	sr01c2		4.000e-05	0	90	773
This study	156.9	77.3		sr01c2:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.060e-04	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27	sr01c	sr01	sr01c2		4.000e-05	0	90	823
This study	186.8	38.8		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.530e-05	273	LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	0	sr01d	sr01	sr01d1		0	0	0	273
This study	186.6	38.6		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.490e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	1	sr01d	sr01	sr01d1		0	0	0	373
This study	186.9	39.3		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.500e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	2	sr01d	sr01	sr01d1		4.000e-05	0	90	373
This study	187.4	38.7		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.450e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	3	sr01d	sr01	sr01d1		0	0	0	423
This study	187.5	39.9		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.490e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	4	sr01d	sr01	sr01d1		4.000e-05	0	90	423
This study	187.9	38.6		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.410e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	5	sr01d	sr01	sr01d1		0	0	0	473
This study	188.2	39.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.440e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	6	sr01d	sr01	sr01d1		4.000e-05	0	90	373
This study	187.6	40.7		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.480e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	7	sr01d	sr01	sr01d1		4.000e-05	0	90	473
This study	187.5	38.7		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.360e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	8	sr01d	sr01	sr01d1		0	0	0	523
This study	187.7	41.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.440e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	9	sr01d	sr01	sr01d1		4.000e-05	0	90	523
This study	188.1	38.8		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.280e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	10	sr01d	sr01	sr01d1		0	0	0	573
This study	188.3	40.5		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.330e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	11	sr01d	sr01	sr01d1		4.000e-05	0	90	473
This study	187.9	42.2		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.370e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	12	sr01d	sr01	sr01d1		4.000e-05	0	90	573
This study	188.4	39		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.170e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	13	sr01d	sr01	sr01d1		0	0	0	623
This study	187.9	43.1		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.280e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	14	sr01d	sr01	sr01d1		4.000e-05	0	90	623
This study	188.3	38.9		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.030e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	15	sr01d	sr01	sr01d1		0	0	0	673
This study	188.2	42.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.130e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	16	sr01d	sr01	sr01d1		4.000e-05	0	90	573
This study	188.7	45.8		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.220e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	17	sr01d	sr01	sr01d1		4.000e-05	0	90	673
This study	188.2	39.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.700e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	18	sr01d	sr01	sr01d1		0	0	0	723
This study	190.5	54.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.200e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	19	sr01d	sr01	sr01d1		4.000e-05	0	90	723
This study	188	39.2		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.330e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	20	sr01d	sr01	sr01d1		0	0	0	773
This study	188.1	49.6		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.610e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	21	sr01d	sr01	sr01d1		4.000e-05	0	90	673
This study	187.3	62.1		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.110e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	22	sr01d	sr01	sr01d1		4.000e-05	0	90	773
This study	187.6	39.5		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.020e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	23	sr01d	sr01	sr01d1		0	0	0	798
This study	186.3	71.3		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.280e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	24	sr01d	sr01	sr01d1		4.000e-05	0	90	798
This study	187.1	39.5		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	5.130e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	25	sr01d	sr01	sr01d1		0	0	0	823
This study	186	75.2		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.530e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26	sr01d	sr01	sr01d1		4.000e-05	0	90	773
This study	182.2	81.9		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.550e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27	sr01d	sr01	sr01d1		4.000e-05	0	90	823
This study	188.2	40.8		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.390e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	28	sr01d	sr01	sr01d1		0	0	0	848
This study	189.4	86.4		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.820e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	29	sr01d	sr01	sr01d1		4.000e-05	0	90	848
This study	187.1	44.2		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.200e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	30	sr01d	sr01	sr01d1		0	0	0	873
This study	180.7	87.8		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.570e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	31	sr01d	sr01	sr01d1		4.000e-05	0	90	823
This study	170.5	88.1		sr01d1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.740e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	32	sr01d	sr01	sr01d1		4.000e-05	0	90	873
This study	205.8	53.5		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.260e-05	273	LT-NO:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	0	sr01i	sr01	sr01i1		0	0	0	273
This study	206.1	53.4		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.920e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	1	sr01i	sr01	sr01i1		0	0	0	373
This study	207.2	57.1		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.110e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	2	sr01i	sr01	sr01i1		4.000e-05	0	90	373
This study	205.7	53.2		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.820e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	3	sr01i	sr01	sr01i1		0	0	0	423
This study	207.3	59.2		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.120e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	4	sr01i	sr01	sr01i1		4.000e-05	0	90	423
This study	206.1	53.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.740e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	5	sr01i	sr01	sr01i1		0	0	0	473
This study	205.3	58.1		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.970e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	6	sr01i	sr01	sr01i1		4.000e-05	0	90	373
This study	207.3	61.7		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.180e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	7	sr01i	sr01	sr01i1		4.000e-05	0	90	473
This study	211.7	53.4		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.640e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	8	sr01i	sr01	sr01i1		0	0	0	523
This study	206.6	63.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.150e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	9	sr01i	sr01	sr01i1		4.000e-05	0	90	523
This study	207.4	53.6		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.450e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	10	sr01i	sr01	sr01i1		0	0	0	573
This study	207.3	62.4		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.840e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	11	sr01i	sr01	sr01i1		4.000e-05	0	90	473
This study	206.7	66.1		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.060e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	12	sr01i	sr01	sr01i1		4.000e-05	0	90	573
This study	209.9	54.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.270e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	13	sr01i	sr01	sr01i1		0	0	0	623
This study	207	68.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.990e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	14	sr01i	sr01	sr01i1		4.000e-05	0	90	623
This study	208.1	54.2		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.080e-05	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	15	sr01i	sr01	sr01i1		0	0	0	673
This study	210	69.8		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.820e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	16	sr01i	sr01	sr01i1		4.000e-05	0	90	573
This study	207.2	73.1		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.050e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	17	sr01i	sr01	sr01i1		4.000e-05	0	90	673
This study	209	55.1		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	8.520e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	18	sr01i	sr01	sr01i1		0	0	0	723
This study	206.6	77.2		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.240e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	19	sr01i	sr01	sr01i1		4.000e-05	0	90	723
This study	208.2	55		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	5.640e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	20	sr01i	sr01	sr01i1		0	0	0	773
This study	209.6	79.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	1.730e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	21	sr01i	sr01	sr01i1		4.000e-05	0	90	673
This study	210.4	83.6		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.640e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	22	sr01i	sr01	sr01i1		4.000e-05	0	90	773
This study	209.5	56.2		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.710e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	23	sr01i	sr01	sr01i1		0	0	0	798
This study	207.7	86.3		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	3.310e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	24	sr01i	sr01	sr01i1		4.000e-05	0	90	798
This study	210.2	56.6		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.170e-06	273	LT-T-Z:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	25	sr01i	sr01	sr01i1		0	0	0	823
This study	206.9	87.4		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	2.890e-05	273	LT-PTRM-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	26	sr01i	sr01	sr01i1		4.000e-05	0	90	773
This study	202.4	88.4		sr01i1:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	g		Snake River	4.060e-05	273	LT-T-I:LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM	27	sr01i	sr01	sr01i1		4.000e-05	0	90	823
This study	202.7	22.4		sr01f2:LP-DIR-T	g		Snake River	2.790e-05	273	LT-NO:LP-DIR-T	0	sr01f	sr01	sr01f2					273
This study	198.7	22.1		sr01f2:LP-DIR-T	g		Snake River	2.750e-05	273	LT-T-Z:LP-DIR-T	1	sr01f	sr01	sr01f2					373
This study	200.8	22		sr01f2:LP-DIR-T	g		Snake River	2.710e-05	273	LT-T-Z:LP-DIR-T	2	sr01f	sr01	sr01f2					423
This study	202.8	21.9		sr01f2:LP-DIR-T	g		Snake River	2.670e-05	273	LT-T-Z:LP-DIR-T	3	sr01f	sr01	sr01f2					473
This study	201.6	21.5		sr01f2:LP-DIR-T	g		Snake River	2.610e-05	273	LT-T-Z:LP-DIR-T	4	sr01f	sr01	sr01f2					523
This study	202.3	21.8		sr01f2:LP-DIR-T	g		Snake River	2.500e-05	273	LT-T-Z:LP-DIR-T	5	sr01f	sr01	sr01f2					573
This study	201.8	21.6		sr01f2:LP-DIR-T	g		Snake River	2.370e-05	273	LT-T-Z:LP-DIR-T	6	sr01f	sr01	sr01f2					623
This study	199.9	21.8		sr01f2:LP-DIR-T	g		Snake River	2.200e-05	273	LT-T-Z:LP-DIR-T	7	sr01f	sr01	sr01f2					673
This study	202.3	21.5		sr01f2:LP-DIR-T	g		Snake River	1.830e-05	273	LT-T-Z:LP-DIR-T	8	sr01f	sr01	sr01f2					723
This study	201.5	21.6		sr01f2:LP-DIR-T	g		Snake River	1.640e-05	273	LT-T-Z:LP-DIR-T	9	sr01f	sr01	sr01f2					748
This study	199.7	21.7		sr01f2:LP-DIR-T	g		Snake River	1.400e-05	273	LT-T-Z:LP-DIR-T	10	sr01f	sr01	sr01f2					773
This study	201.8	21.5		sr01f2:LP-DIR-T	g		Snake River	1.080e-05	273	LT-T-Z:LP-DIR-T	11	sr01f	sr01	sr01f2					798
This study	203	21.4		sr01f2:LP-DIR-T	g		Snake River	5.620e-06	273	LT-T-Z:LP-DIR-T	12	sr01f	sr01	sr01f2					823
This study	201.8	21.6		sr01f2:LP-DIR-T	g		Snake River	2.290e-06	273	LT-T-Z:LP-DIR-T	13	sr01f	sr01	sr01f2					848
This study	200.3	21		sr01f2:LP-DIR-T	g		Snake River	1.180e-06	273	LT-T-Z:LP-DIR-T	14	sr01f	sr01	sr01f2					873
This study	199.7	20.8		sr01f2:LP-DIR-T	g		Snake River	4.740e-07	273	LT-T-Z:LP-DIR-T	15	sr01f	sr01	sr01f2					898
This study	201.2	18.2		sr01f2:LP-DIR-T	g		Snake River	2.860e-07	273	LT-T-Z:LP-DIR-T	16	sr01f	sr01	sr01f2					923
