tab 	specimens
aniso_alt	aniso_ftest	aniso_ftest12	aniso_ftest23	aniso_n	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	int_abs	int_b_beta	int_corr	int_corr_anisotropy	int_corr_cooling_rate	int_dang	int_drats	int_f	int_fvds	int_g	int_mad_free	int_n_measurements	int_n_ptrm	int_q	int_treat_dc_field	lithologies	magic_method_codes	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	1.464083	0.899124	0.930848	6.000000	0.345372:0.321282:0.333346:0.003400:-0.001685:0.001965		0.009448					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e4			6.42e-05	0.06	c	0.99	0.94	1.13	4.22	0.95	0.90	0.87	2.27	11	6	14.67	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e		hz13e4
1.45	2.431020	1.015022	2.087507	6.000000	0.344174:0.336425:0.319401:-0.002049:0.005609:-0.017118	6.000000	0.012689	ATRM				This study	Critical F: 3.1059									hz13e5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz13e		hz13e5
	2.431020	1.015022	2.087507	6.000000	0.344174:0.336425:0.319401:-0.002049:0.005609:-0.017118		0.012689					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e5			6.56e-05	0.07	c	0.97	0.94	1.71	5.53	0.90	0.81	0.87	2.40	10	6	11.21	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	523	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e		hz13e5
	2.079694	1.021806	1.599317	9.000000	0.345551:0.336060:0.318389:0.002831:-0.008466:-0.021870	9.000000	0.016963	AARM				This study	Critical F: 2.6848									hz13e6;AARM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-ARM				AE-H:LP-AN-ARM		hz13e		hz13e6
	2.079694	1.021806	1.599317	9.000000	0.345551:0.336060:0.318389:0.002831:-0.008466:-0.021870		0.016963					This study	Critical F: 2.6848									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13e6			6.31e-05	0.04	c	1.00	0.94	1.60	1.07	0.87	0.84	0.87	3.54	11	5	18.81	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13e		hz13e6
1.80	5.469588	6.212003	1.252984	6.000000	0.340922:0.326532:0.332546:0.011399:0.020943:0.015559	6.000000	0.011234	ATRM				This study	Critical F: 3.1059									hz13f1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz13f		hz13f1
	5.469588	6.212003	1.252984	6.000000	0.340922:0.326532:0.332546:0.011399:0.020943:0.015559		0.011234					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13f1			6.36e-05	0.03	c	0.93	0.96	0.68	1.78	0.88	0.88	0.90	2.61	12	6	28.15	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13f		hz13f1
2.49	4.477899	4.129510	1.653523	6.000000	0.354855:0.311429:0.333716:-0.022909:0.013193:-0.012683	6.000000	0.015422	ATRM				This study	Critical F: 3.1059									hz13f2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz13f		hz13f2
	4.477899	4.129510	1.653523	6.000000	0.354855:0.311429:0.333716:-0.022909:0.013193:-0.012683		0.015422					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13f2			6.40e-05	0.01	c	0.91	0.97	1.46	4.37	0.77	0.78	0.88	3.37	10	5	46.99	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13f		hz13f2
1.70	7.635418	7.784577	2.299962	6.000000	0.331506:0.333774:0.334721:0.008940:-0.026006:-0.006820	6.000000	0.009187	ATRM				This study	Critical F: 3.1059									hz13f3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz13f		hz13f3
	7.635418	7.784577	2.299962	6.000000	0.331506:0.333774:0.334721:0.008940:-0.026006:-0.006820		0.009187					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz13f3			6.00e-05	0.04	c	0.96	0.98	2.71	3.04	0.79	0.78	0.89	4.46	11	5	18.48	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz13f		hz13f3
1.43	1.607763	1.839364	0.360682	6.000000	0.330536:0.342917:0.326546:0.005532:0.012613:0.007520	6.000000	0.012601	ATRM				This study	Critical F: 3.1059									hz15a1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15a		hz15a1
	1.607763	1.839364	0.360682	6.000000	0.330536:0.342917:0.326546:0.005532:0.012613:0.007520		0.012601					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15a1			5.44e-05	0.02	c	0.97	0.95	1.00	4.11	0.90	0.86	0.85	2.34	10	5	38.38	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15a		hz15a1
1.20	1.365288	1.319806	0.460478	6.000000	0.323690:0.332510:0.343800:-0.013338:-0.008893:0.011284	6.000000	0.016874	ATRM				This study	Critical F: 3.1059									hz15a2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15a		hz15a2
	1.365288	1.319806	0.460478	6.000000	0.323690:0.332510:0.343800:-0.013338:-0.008893:0.011284		0.016874					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15a2			5.08e-05	0.02	c	1.04	0.95	1.75	7.37	1.01	0.95	0.89	3.29	14	6	36.48	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15a		hz15a2
3.47	0.346413	0.128487	0.318684	6.000000	0.328862:0.328776:0.342362:0.006887:-0.007484:0.004429	6.000000	0.020626	ATRM				This study	Critical F: 3.1059									hz15a3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15a		hz15a3
	0.346413	0.128487	0.318684	6.000000	0.328862:0.328776:0.342362:0.006887:-0.007484:0.004429		0.020626					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15a3			5.24e-05	0.04	c	1.00	0.95	1.71	0.29	0.89	0.77	0.83	2.98	9	5	20.33	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	523	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15a		hz15a3
4.57	2.226683	2.218655	0.705379	6.000000	0.334722:0.337149:0.328129:0.023788:-0.003900:0.001356	6.000000	0.014740	ATRM				This study	Critical F: 3.1059									hz15b1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15b		hz15b1
	2.226683	2.218655	0.705379	6.000000	0.334722:0.337149:0.328129:0.023788:-0.003900:0.001356		0.014740					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15b1			5.48e-05	0.02	c	0.98	0.92	1.52	5.35	0.89	0.85	0.89	2.04	11	5	34.05	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15b		hz15b1
5.71	2.832009	2.251603	1.328783	6.000000	0.318106:0.330494:0.351400:-0.002831:0.005672:0.018867	6.000000	0.013853	ATRM				This study	Critical F: 3.1059									hz15b2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15b		hz15b2
	2.832009	2.251603	1.328783	6.000000	0.318106:0.330494:0.351400:-0.002831:0.005672:0.018867		0.013853					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15b2			5.16e-05	0.02	c	1.00	0.91	1.15	6.27	0.95	0.91	0.89	2.27	13	6	55.18	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15b		hz15b2
4.36	2.294828	1.364548	1.505095	6.000000	0.331708:0.316228:0.352064:0.010806:0.015742:0.002519	6.000000	0.015554	ATRM				This study	Critical F: 3.1059									hz15b3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15b		hz15b3
	2.294828	1.364548	1.505095	6.000000	0.331708:0.316228:0.352064:0.010806:0.015742:0.002519		0.015554					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15b3			5.23e-05	0.03	c	1.05	0.91	0.84	6.92	0.89	0.84	0.90	2.24	11	5	29.97	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15b		hz15b3
5.90	2.995082	4.116657	0.331222	6.000000	0.314354:0.324422:0.361224:0.004609:-0.014446:0.003743	6.000000	0.015092	ATRM				This study	Critical F: 3.1059									hz15c1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15c		hz15c1
	2.995082	4.116657	0.331222	6.000000	0.314354:0.324422:0.361224:0.004609:-0.014446:0.003743		0.015092					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15c1			5.05e-05	0.04	c	1.00	0.98	1.70	1.87	0.81	0.85	0.90	3.66	11	5	20.71	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15c		hz15c1
7.55	1.809828	1.190612	1.072670	6.000000	0.305468:0.340401:0.354130:0.002640:-0.012692:-0.004487	6.000000	0.019012	ATRM				This study	Critical F: 3.1059									hz15c2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz15c		hz15c2
	1.809828	1.190612	1.072670	6.000000	0.305468:0.340401:0.354130:0.002640:-0.012692:-0.004487		0.019012					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz15c2			5.15e-05	0.04	c	1.00	0.97	1.51	1.97	0.78	0.84	0.88	2.15	10	5	18.06	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	423	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15c		hz15c2
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study										LP-PI-ALT-PTRM: LP-PI-BT-IZZI : LP-PI-TRM :hz15c3	Archeologic	Ceramic	5.14e-05	0.03	c	1.00	0.98	1.96	4.31	0.89	0.97	0.91	3.27	13	6	29.88	6.00e-05	Not Specified	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	373	K	DA-CR:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz15c		hz15c3
7.65	0.936372	1.126593	0.179435	6.000000	0.328167:0.352117:0.319715:-0.000622:-0.000101:-0.002052	6.000000	0.015662	ATRM				This study	Critical F: 3.1059									hz18a1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18a		hz18a1
	0.936372	1.126593	0.179435	6.000000	0.328167:0.352117:0.319715:-0.000622:-0.000101:-0.002052		0.015662					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18a1			4.72e-05	0.02	c	1.00	0.95	4.97	6.59	1.01	0.94	0.90	4.03	14	6	44.32	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18a		hz18a1
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18a		hz18a2
6.16	0.787722	0.746130	0.276562	6.000000	0.319636:0.326373:0.353992:0.008355:-0.011649:0.002306	6.000000	0.023467	ATRM				This study	Critical F: 3.1059									hz18a3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18a		hz18a3
	0.787722	0.746130	0.276562	6.000000	0.319636:0.326373:0.353992:0.008355:-0.011649:0.002306		0.023467					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18a3			4.61e-05	0.01	c	1.00	0.96	6.06	6.45	0.77	0.75	0.89	4.90	11	5	49.41	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18a		hz18a3
1.05	2.616919	1.407881	1.874263	6.000000	0.324222:0.348558:0.327220:-0.004745:0.002455:-0.010013	6.000000	0.009654	ATRM				This study	Critical F: 3.1059									hz18a4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18a		hz18a4
	2.616919	1.407881	1.874263	6.000000	0.324222:0.348558:0.327220:-0.004745:0.002455:-0.010013		0.009654					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18a4			4.60e-05	0.02	c	1.03	0.95	6.64	8.42	0.79	0.76	0.88	4.34	11	6	30.18	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18a		hz18a4
4.88	10.405092	7.344136	5.697040	6.000000	0.329806:0.323328:0.346866:-0.010215:-0.005088:-0.018469	6.000000	0.006900	ATRM				This study	Critical F: 3.1059									hz18a5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18a		hz18a5
	10.405092	7.344136	5.697040	6.000000	0.329806:0.323328:0.346866:-0.010215:-0.005088:-0.018469		0.006900					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18a5			4.37e-05	0.02	c	1.10	0.94	4.49	8.84	0.92	0.89	0.90	2.75	12	5	37.80	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	373	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18a		hz18a5
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18a		hz18a6
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18b		hz18b1
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18b		hz18b2
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18b		hz18b3
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18c		hz18c1
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18c		hz18c2
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18c		hz18c3
				6.000000	0.360148:0.294333:0.345518:-0.002345:0.012559:-0.007869		0.015499					This study											Archeologic	Ceramic																Not Specified							hz18d		hz18d1
2.47	0.470976	0.368599	0.225895	6.000000	0.324419:0.347173:0.328408:0.008293:-0.002533:-0.008291	6.000000	0.022254	ATRM				This study	Critical F: 3.1059									hz18d2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18d		hz18d2
	0.470976	0.368599	0.225895	6.000000	0.324419:0.347173:0.328408:0.008293:-0.002533:-0.008291		0.022254					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18d2			5.17e-05	0.03	c	0.98	0.94	2.51	5.54	0.97	0.94	0.91	4.54	14	6	30.78	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18d		hz18d2
1.43	0.710474	1.200917	0.011849	6.000000	0.333039:0.339490:0.327471:-0.013754:0.006468:-0.006354	6.000000	0.018610	ATRM				This study	Critical F: 3.1059									hz18d3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18d		hz18d3
	0.710474	1.200917	0.011849	6.000000	0.333039:0.339490:0.327471:-0.013754:0.006468:-0.006354		0.018610					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18d3			5.06e-05	0.03	c	1.01	0.94	1.30	4.94	0.99	0.98	0.90	3.76	14	6	30.27	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18d		hz18d3
2.36	11.746958	1.671579	15.297236	6.000000	0.331193:0.319571:0.349236:-0.016697:0.013561:0.004915	6.000000	0.006955	ATRM				This study	Critical F: 3.1059									hz18d4;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18d		hz18d4
	11.746958	1.671579	15.297236	6.000000	0.331193:0.319571:0.349236:-0.016697:0.013561:0.004915		0.006955					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18d4			4.94e-05	0.04	c	1.02	0.94	1.03	4.31	0.80	0.79	0.88	2.13	10	5	17.71	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18d		hz18d4
2.65	1.720924	1.452976	0.738141	6.000000	0.331680:0.333921:0.334399:-0.000934:0.016588:-0.002533	6.000000	0.011501	ATRM				This study	Critical F: 3.1059									hz18d5;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18d		hz18d5
	1.720924	1.452976	0.738141	6.000000	0.331680:0.333921:0.334399:-0.000934:0.016588:-0.002533		0.011501					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18d5			5.17e-05	0.03	c	1.00	0.93	2.32	11.58	0.86	0.79	0.89	3.75	11	6	26.10	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	473	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18d		hz18d5
3.38	3.738109	4.756860	0.584501	6.000000	0.333496:0.335907:0.330598:-0.014936:0.006847:-0.014646	6.000000	0.010257	ATRM				This study	Critical F: 3.1059									hz18e1;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18e		hz18e1
	3.738109	4.756860	0.584501	6.000000	0.333496:0.335907:0.330598:-0.014936:0.006847:-0.014646		0.010257					This study	Critical F: 3.1059									LP-AN-TRM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18e1			4.79e-05	0.03	c	1.02	0.95	3.16	8.36	0.82	0.82	0.90	4.01	12	5	21.55	6.00e-05		AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	803	273	K	AE-H:DA-AC-ATRM:DA-CR:IE-TT:LP-AN-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18e		hz18e1
5.72	1.127992	0.547801	0.874816	6.000000	0.319964:0.341903:0.338133:-0.000118:-0.006173:-0.004351	6.000000	0.011750	ATRM				This study	Critical F: 3.1059									hz18e2;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18e		hz18e2
	1.127992	0.547801	0.874816	6.000000	0.319964:0.341903:0.338133:-0.000118:-0.006173:-0.004351		0.011750					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18e2			4.98e-05	0.04	c	0.98	0.95	2.08	5.65	0.87	0.87	0.90	2.47	11	5	17.86	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	833	423	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18e		hz18e2
6.13	1.122698	0.012342	1.938060	6.000000	0.324680:0.331516:0.343804:0.014153:-0.000441:0.002108	6.000000	0.014593	ATRM				This study	Critical F: 3.1059									hz18e3;ATRM	Archeologic	Ceramic																Not Specified	AE-H:LP-AN-TRM				AE-H:LP-AN-TRM		hz18e		hz18e3
	1.122698	0.012342	1.938060	6.000000	0.324680:0.331516:0.343804:0.014153:-0.000441:0.002108		0.014593					This study	Critical F: 3.1059									LP-AN-ARM: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : LP-PI-TRM :hz18e3			4.80e-05	0.04	c	1.02	0.95	1.11	7.41	0.92	0.93	0.90	2.09	12	6	19.42	6.00e-05		AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	863	423	K	AE-H:DA-AC-AARM:DA-CR:IE-TT:LP-AN-ARM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM		hz18e		hz18e3
