tab 	specimens
aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	dir_alpha95	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_measurements	dir_nrm_origin	dir_polarity	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	specimen_alternatives	volume
						This study																		XXX-UTESTA-003H_3A-100		XXX-UTESTA-003H_3A-100	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-105		XXX-UTESTA-003H_3A-105	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-110		XXX-UTESTA-003H_3A-110	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-115		XXX-UTESTA-003H_3A-115	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-120		XXX-UTESTA-003H_3A-120	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-125		XXX-UTESTA-003H_3A-125	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-130		XXX-UTESTA-003H_3A-130	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-135		XXX-UTESTA-003H_3A-135	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-140		XXX-UTESTA-003H_3A-140	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-145		XXX-UTESTA-003H_3A-145	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-15		XXX-UTESTA-003H_3A-15	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-150		XXX-UTESTA-003H_3A-150	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-20		XXX-UTESTA-003H_3A-20	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-25		XXX-UTESTA-003H_3A-25	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-30		XXX-UTESTA-003H_3A-30	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-35		XXX-UTESTA-003H_3A-35	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-40		XXX-UTESTA-003H_3A-40	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-45		XXX-UTESTA-003H_3A-45	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-5		XXX-UTESTA-003H_3A-5	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-50		XXX-UTESTA-003H_3A-50	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-55		XXX-UTESTA-003H_3A-55	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-60		XXX-UTESTA-003H_3A-60	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-65		XXX-UTESTA-003H_3A-65	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-70		XXX-UTESTA-003H_3A-70	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-75		XXX-UTESTA-003H_3A-75	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-80		XXX-UTESTA-003H_3A-80	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-85		XXX-UTESTA-003H_3A-85	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-90		XXX-UTESTA-003H_3A-90	SHLF6602111	
						This study																		XXX-UTESTA-003H_3A-95		XXX-UTESTA-003H_3A-95	SHLF6602111	
						This study																		XXX-UTESTA-003H_4A-0		XXX-UTESTA-003H_4A-0	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-10		XXX-UTESTA-003H_4A-10	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-100		XXX-UTESTA-003H_4A-100	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-105		XXX-UTESTA-003H_4A-105	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-110		XXX-UTESTA-003H_4A-110	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-115		XXX-UTESTA-003H_4A-115	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-120		XXX-UTESTA-003H_4A-120	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-125		XXX-UTESTA-003H_4A-125	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-130		XXX-UTESTA-003H_4A-130	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-135		XXX-UTESTA-003H_4A-135	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-140		XXX-UTESTA-003H_4A-140	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-145		XXX-UTESTA-003H_4A-145	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-15		XXX-UTESTA-003H_4A-15	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-150		XXX-UTESTA-003H_4A-150	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-20		XXX-UTESTA-003H_4A-20	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-25		XXX-UTESTA-003H_4A-25	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-30		XXX-UTESTA-003H_4A-30	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-35		XXX-UTESTA-003H_4A-35	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-40		XXX-UTESTA-003H_4A-40	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-45		XXX-UTESTA-003H_4A-45	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-5		XXX-UTESTA-003H_4A-5	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-50		XXX-UTESTA-003H_4A-50	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-55		XXX-UTESTA-003H_4A-55	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-60		XXX-UTESTA-003H_4A-60	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-65		XXX-UTESTA-003H_4A-65	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-70		XXX-UTESTA-003H_4A-70	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-75		XXX-UTESTA-003H_4A-75	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-80		XXX-UTESTA-003H_4A-80	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-85		XXX-UTESTA-003H_4A-85	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-90		XXX-UTESTA-003H_4A-90	SHLF6602141	
						This study																		XXX-UTESTA-003H_4A-95		XXX-UTESTA-003H_4A-95	SHLF6602141	
						This study																		XXX-UTESTA-003H_5A-0		XXX-UTESTA-003H_5A-0	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-10		XXX-UTESTA-003H_5A-10	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-100		XXX-UTESTA-003H_5A-100	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-105		XXX-UTESTA-003H_5A-105	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-110		XXX-UTESTA-003H_5A-110	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-115		XXX-UTESTA-003H_5A-115	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-120		XXX-UTESTA-003H_5A-120	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-125		XXX-UTESTA-003H_5A-125	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-130		XXX-UTESTA-003H_5A-130	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-135		XXX-UTESTA-003H_5A-135	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-140		XXX-UTESTA-003H_5A-140	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-145		XXX-UTESTA-003H_5A-145	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-15		XXX-UTESTA-003H_5A-15	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-150		XXX-UTESTA-003H_5A-150	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-20		XXX-UTESTA-003H_5A-20	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-25		XXX-UTESTA-003H_5A-25	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-30		XXX-UTESTA-003H_5A-30	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-35		XXX-UTESTA-003H_5A-35	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-40		XXX-UTESTA-003H_5A-40	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-45		XXX-UTESTA-003H_5A-45	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-5		XXX-UTESTA-003H_5A-5	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-50		XXX-UTESTA-003H_5A-50	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-55		XXX-UTESTA-003H_5A-55	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-60		XXX-UTESTA-003H_5A-60	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-65		XXX-UTESTA-003H_5A-65	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-70		XXX-UTESTA-003H_5A-70	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-75		XXX-UTESTA-003H_5A-75	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-80		XXX-UTESTA-003H_5A-80	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-85		XXX-UTESTA-003H_5A-85	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-90		XXX-UTESTA-003H_5A-90	SHLF6602171	
						This study																		XXX-UTESTA-003H_5A-95		XXX-UTESTA-003H_5A-95	SHLF6602171	
						This study																		XXX-UTESTA-003H_6A-0		XXX-UTESTA-003H_6A-0	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-10		XXX-UTESTA-003H_6A-10	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-100		XXX-UTESTA-003H_6A-100	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-15		XXX-UTESTA-003H_6A-15	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-20		XXX-UTESTA-003H_6A-20	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-25		XXX-UTESTA-003H_6A-25	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-30		XXX-UTESTA-003H_6A-30	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-35		XXX-UTESTA-003H_6A-35	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-40		XXX-UTESTA-003H_6A-40	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-45		XXX-UTESTA-003H_6A-45	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-5		XXX-UTESTA-003H_6A-5	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-50		XXX-UTESTA-003H_6A-50	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-55		XXX-UTESTA-003H_6A-55	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-60		XXX-UTESTA-003H_6A-60	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-65		XXX-UTESTA-003H_6A-65	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-70		XXX-UTESTA-003H_6A-70	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-75		XXX-UTESTA-003H_6A-75	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-80		XXX-UTESTA-003H_6A-80	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-85		XXX-UTESTA-003H_6A-85	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-90		XXX-UTESTA-003H_6A-90	SHLF6602201	
						This study																		XXX-UTESTA-003H_6A-95		XXX-UTESTA-003H_6A-95	SHLF6602201	
						This study																		XXX-UTESTA-003H_7A-0		XXX-UTESTA-003H_7A-0	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-10		XXX-UTESTA-003H_7A-10	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-15		XXX-UTESTA-003H_7A-15	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-20		XXX-UTESTA-003H_7A-20	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-25		XXX-UTESTA-003H_7A-25	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-30		XXX-UTESTA-003H_7A-30	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-35		XXX-UTESTA-003H_7A-35	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-40		XXX-UTESTA-003H_7A-40	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-45		XXX-UTESTA-003H_7A-45	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-5		XXX-UTESTA-003H_7A-5	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-50		XXX-UTESTA-003H_7A-50	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-55		XXX-UTESTA-003H_7A-55	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-60		XXX-UTESTA-003H_7A-60	SHLF6602231	
						This study																		XXX-UTESTA-003H_7A-65		XXX-UTESTA-003H_7A-65	SHLF6602231	
						This study																		XXX-UTESTA-004H_1A-0		XXX-UTESTA-004H_1A-0	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-10		XXX-UTESTA-004H_1A-10	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-100		XXX-UTESTA-004H_1A-100	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-105		XXX-UTESTA-004H_1A-105	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-110		XXX-UTESTA-004H_1A-110	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-115		XXX-UTESTA-004H_1A-115	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-120		XXX-UTESTA-004H_1A-120	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-125		XXX-UTESTA-004H_1A-125	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-130		XXX-UTESTA-004H_1A-130	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-135		XXX-UTESTA-004H_1A-135	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-140		XXX-UTESTA-004H_1A-140	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-145		XXX-UTESTA-004H_1A-145	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-15		XXX-UTESTA-004H_1A-15	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-150		XXX-UTESTA-004H_1A-150	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-20		XXX-UTESTA-004H_1A-20	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-25		XXX-UTESTA-004H_1A-25	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-30		XXX-UTESTA-004H_1A-30	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-35		XXX-UTESTA-004H_1A-35	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-40		XXX-UTESTA-004H_1A-40	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-45		XXX-UTESTA-004H_1A-45	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-5		XXX-UTESTA-004H_1A-5	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-50		XXX-UTESTA-004H_1A-50	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-55		XXX-UTESTA-004H_1A-55	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-60		XXX-UTESTA-004H_1A-60	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-65		XXX-UTESTA-004H_1A-65	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-70		XXX-UTESTA-004H_1A-70	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-75		XXX-UTESTA-004H_1A-75	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-80		XXX-UTESTA-004H_1A-80	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-85		XXX-UTESTA-004H_1A-85	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-90		XXX-UTESTA-004H_1A-90	SHLF6602491	
						This study																		XXX-UTESTA-004H_1A-95		XXX-UTESTA-004H_1A-95	SHLF6602491	
						This study																		XXX-UTESTA-004H_2A-0		XXX-UTESTA-004H_2A-0	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-10		XXX-UTESTA-004H_2A-10	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-100		XXX-UTESTA-004H_2A-100	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-105		XXX-UTESTA-004H_2A-105	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-110		XXX-UTESTA-004H_2A-110	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-115		XXX-UTESTA-004H_2A-115	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-120		XXX-UTESTA-004H_2A-120	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-125		XXX-UTESTA-004H_2A-125	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-130		XXX-UTESTA-004H_2A-130	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-135		XXX-UTESTA-004H_2A-135	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-140		XXX-UTESTA-004H_2A-140	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-145		XXX-UTESTA-004H_2A-145	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-15		XXX-UTESTA-004H_2A-15	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-150		XXX-UTESTA-004H_2A-150	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-20		XXX-UTESTA-004H_2A-20	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-25		XXX-UTESTA-004H_2A-25	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-30		XXX-UTESTA-004H_2A-30	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-35		XXX-UTESTA-004H_2A-35	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-40		XXX-UTESTA-004H_2A-40	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-45		XXX-UTESTA-004H_2A-45	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-5		XXX-UTESTA-004H_2A-5	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-50		XXX-UTESTA-004H_2A-50	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-55		XXX-UTESTA-004H_2A-55	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-60		XXX-UTESTA-004H_2A-60	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-65		XXX-UTESTA-004H_2A-65	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-70		XXX-UTESTA-004H_2A-70	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-75		XXX-UTESTA-004H_2A-75	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-80		XXX-UTESTA-004H_2A-80	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-85		XXX-UTESTA-004H_2A-85	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-90		XXX-UTESTA-004H_2A-90	SHLF6602521	
						This study																		XXX-UTESTA-004H_2A-95		XXX-UTESTA-004H_2A-95	SHLF6602521	
						This study																		XXX-UTESTA-004H_3A-0		XXX-UTESTA-004H_3A-0	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-10		XXX-UTESTA-004H_3A-10	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-100		XXX-UTESTA-004H_3A-100	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-105		XXX-UTESTA-004H_3A-105	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-110		XXX-UTESTA-004H_3A-110	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-115		XXX-UTESTA-004H_3A-115	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-120		XXX-UTESTA-004H_3A-120	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-125		XXX-UTESTA-004H_3A-125	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-130		XXX-UTESTA-004H_3A-130	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-135		XXX-UTESTA-004H_3A-135	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-140		XXX-UTESTA-004H_3A-140	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-145		XXX-UTESTA-004H_3A-145	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-15		XXX-UTESTA-004H_3A-15	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-150		XXX-UTESTA-004H_3A-150	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-20		XXX-UTESTA-004H_3A-20	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-25		XXX-UTESTA-004H_3A-25	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-30		XXX-UTESTA-004H_3A-30	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-35		XXX-UTESTA-004H_3A-35	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-40		XXX-UTESTA-004H_3A-40	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-45		XXX-UTESTA-004H_3A-45	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-5		XXX-UTESTA-004H_3A-5	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-50		XXX-UTESTA-004H_3A-50	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-55		XXX-UTESTA-004H_3A-55	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-60		XXX-UTESTA-004H_3A-60	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-65		XXX-UTESTA-004H_3A-65	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-70		XXX-UTESTA-004H_3A-70	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-75		XXX-UTESTA-004H_3A-75	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-80		XXX-UTESTA-004H_3A-80	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-85		XXX-UTESTA-004H_3A-85	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-90		XXX-UTESTA-004H_3A-90	SHLF6602551	
						This study																		XXX-UTESTA-004H_3A-95		XXX-UTESTA-004H_3A-95	SHLF6602551	
						This study																		XXX-UTESTA-004H_4A-0		XXX-UTESTA-004H_4A-0	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-10		XXX-UTESTA-004H_4A-10	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-100		XXX-UTESTA-004H_4A-100	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-105		XXX-UTESTA-004H_4A-105	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-110		XXX-UTESTA-004H_4A-110	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-115		XXX-UTESTA-004H_4A-115	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-120		XXX-UTESTA-004H_4A-120	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-125		XXX-UTESTA-004H_4A-125	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-130		XXX-UTESTA-004H_4A-130	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-135		XXX-UTESTA-004H_4A-135	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-140		XXX-UTESTA-004H_4A-140	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-145		XXX-UTESTA-004H_4A-145	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-15		XXX-UTESTA-004H_4A-15	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-150		XXX-UTESTA-004H_4A-150	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-20		XXX-UTESTA-004H_4A-20	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-25		XXX-UTESTA-004H_4A-25	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-30		XXX-UTESTA-004H_4A-30	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-35		XXX-UTESTA-004H_4A-35	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-40		XXX-UTESTA-004H_4A-40	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-45		XXX-UTESTA-004H_4A-45	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-5		XXX-UTESTA-004H_4A-5	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-50		XXX-UTESTA-004H_4A-50	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-55		XXX-UTESTA-004H_4A-55	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-60		XXX-UTESTA-004H_4A-60	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-65		XXX-UTESTA-004H_4A-65	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-70		XXX-UTESTA-004H_4A-70	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-75		XXX-UTESTA-004H_4A-75	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-80		XXX-UTESTA-004H_4A-80	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-85		XXX-UTESTA-004H_4A-85	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-90		XXX-UTESTA-004H_4A-90	SHLF6602581	
						This study																		XXX-UTESTA-004H_4A-95		XXX-UTESTA-004H_4A-95	SHLF6602581	
						This study																		XXX-UTESTA-004H_5A-0		XXX-UTESTA-004H_5A-0	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-10		XXX-UTESTA-004H_5A-10	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-100		XXX-UTESTA-004H_5A-100	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-105		XXX-UTESTA-004H_5A-105	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-110		XXX-UTESTA-004H_5A-110	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-115		XXX-UTESTA-004H_5A-115	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-120		XXX-UTESTA-004H_5A-120	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-125		XXX-UTESTA-004H_5A-125	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-130		XXX-UTESTA-004H_5A-130	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-135		XXX-UTESTA-004H_5A-135	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-140		XXX-UTESTA-004H_5A-140	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-145		XXX-UTESTA-004H_5A-145	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-15		XXX-UTESTA-004H_5A-15	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-150		XXX-UTESTA-004H_5A-150	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-20		XXX-UTESTA-004H_5A-20	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-25		XXX-UTESTA-004H_5A-25	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-30		XXX-UTESTA-004H_5A-30	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-35		XXX-UTESTA-004H_5A-35	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-40		XXX-UTESTA-004H_5A-40	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-45		XXX-UTESTA-004H_5A-45	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-5		XXX-UTESTA-004H_5A-5	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-50		XXX-UTESTA-004H_5A-50	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-55		XXX-UTESTA-004H_5A-55	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-60		XXX-UTESTA-004H_5A-60	SHLF6602611	
						This study																		XXX-UTESTA-004H_5A-65		XXX-UTESTA-004H_5A-65	SHLF6602611	
